-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  40.2837   Longitude 15.5382 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 569.37 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.28374,15.53816,T2M,1981,    2.48,    4.43,    9.26,   11.59,   15.02,   21.01,   21.83,   22.82,   19.54,   16.17,    8.01,    7.03,   13.32
40.28374,15.53816,T2M,1982,    6.88,    4.56,    6.67,   10.11,   15.54,   21.65,   24.32,   23.11,   21.34,   14.93,   10.58,    7.31,   13.97
40.28374,15.53816,T2M,1983,    5.73,    3.96,    7.94,   11.80,   16.32,   19.38,   24.74,   22.77,   19.57,   14.47,    9.62,    6.62,   13.64
40.28374,15.53816,T2M,1984,    6.02,    5.02,    6.33,    9.50,   14.36,   18.63,   23.22,   21.70,   18.32,   15.10,   11.33,    7.05,   13.08
40.28374,15.53816,T2M,1985,    3.95,    5.36,    7.55,   10.94,   16.05,   19.84,   24.38,   23.83,   20.82,   14.97,   10.88,    8.18,   13.95
40.28374,15.53816,T2M,1986,    5.73,    5.29,    8.56,   11.53,   17.58,   18.99,   22.78,   24.52,   20.30,   15.94,   10.42,    5.63,   14.00
40.28374,15.53816,T2M,1987,    5.29,    6.16,    3.98,   10.62,   13.34,   20.00,   24.74,   23.93,   22.96,   16.46,   10.55,    7.86,   13.86
40.28374,15.53816,T2M,1988,    7.81,    5.75,    7.19,   11.39,   16.71,   20.11,   26.68,   25.01,   19.02,   15.89,    7.64,    5.36,   14.09
40.28374,15.53816,T2M,1989,    5.42,    6.87,   10.20,   11.73,   14.68,   18.23,   23.20,   23.01,   19.21,   13.24,    9.08,    6.95,   13.53
40.28374,15.53816,T2M,1990,    5.92,    8.71,   10.02,   10.80,   16.10,   20.60,   23.80,   22.50,   19.08,   17.14,   10.60,    5.28,   14.25
40.28374,15.53816,T2M,1991,    4.87,    4.59,    9.93,    8.95,   11.82,   20.04,   23.24,   23.61,   20.33,   14.73,    9.91,    2.91,   12.96
40.28374,15.53816,T2M,1992,    5.27,    5.14,    8.20,   11.25,   16.01,   19.02,   22.19,   25.17,   20.25,   15.76,   11.71,    6.89,   13.94
40.28374,15.53816,T2M,1993,    5.08,    3.71,    6.81,   11.02,   16.61,   21.04,   23.29,   25.55,   19.87,   16.51,    9.97,    8.53,   14.07
40.28374,15.53816,T2M,1994,    6.93,    6.30,    9.87,   10.46,   16.84,   20.39,   24.19,   26.03,   21.77,   15.46,   11.30,    7.37,   14.80
40.28374,15.53816,T2M,1995,    4.88,    7.84,    6.54,   10.02,   15.20,   19.76,   24.25,   21.85,   17.84,   14.98,    8.08,    8.83,   13.38
40.28374,15.53816,T2M,1996,    6.76,    4.54,    6.51,   10.47,   15.45,   20.27,   22.44,   23.60,   16.75,   12.87,   10.82,    7.43,   13.19
40.28374,15.53816,T2M,1997,    7.57,    6.49,    7.70,    7.91,   16.71,   22.18,   23.18,   22.22,   20.01,   14.55,   11.07,    7.14,   13.94
40.28374,15.53816,T2M,1998,    6.45,    7.46,    6.11,   11.21,   15.08,   22.05,   25.20,   25.14,   18.89,   14.93,    8.84,    5.00,   13.90
40.28374,15.53816,T2M,1999,    5.81,    4.48,    8.24,   11.03,   17.71,   21.57,   23.03,   25.15,   20.28,   16.24,   10.53,    7.61,   14.37
40.28374,15.53816,T2M,2000,    3.98,    5.61,    8.05,   12.53,   18.11,   21.66,   23.28,   25.24,   19.16,   15.18,   11.74,    8.80,   14.47
40.28374,15.53816,T2M,2001,    7.54,    6.22,   10.97,   10.37,   17.16,   20.46,   24.14,   24.65,   18.61,   17.55,   10.01,    3.65,   14.34
40.28374,15.53816,T2M,2002,    4.35,    8.18,    9.92,   11.42,   16.33,   22.36,   23.44,   22.26,   17.71,   14.43,   12.00,    8.09,   14.24
40.28374,15.53816,T2M,2003,    6.76,    2.82,    7.21,   10.63,   18.64,   24.15,   25.44,   25.90,   18.80,   15.21,   11.41,    6.80,   14.56
40.28374,15.53816,T2M,2004,    4.73,    6.04,    7.47,   11.43,   13.21,   19.56,   23.89,   23.37,   19.56,   17.45,   10.43,    8.95,   13.87
40.28374,15.53816,T2M,2005,    4.43,    3.36,    7.70,   10.47,   16.40,   20.46,   24.02,   22.24,   19.16,   14.40,   10.12,    6.17,   13.31
40.28374,15.53816,T2M,2006,    4.09,    5.24,    7.22,   12.05,   16.45,   20.62,   23.63,   22.27,   19.77,   16.09,   10.15,    7.92,   13.84
40.28374,15.53816,T2M,2007,    7.38,    7.64,    8.99,   12.81,   16.24,   21.25,   25.18,   24.54,   18.16,   14.70,    9.18,    5.63,   14.35
40.28374,15.53816,T2M,2008,    6.66,    5.90,    8.75,   11.04,   16.36,   21.27,   24.05,   25.19,   18.84,   15.71,   11.23,    6.81,   14.35
40.28374,15.53816,T2M,2009,    6.88,    4.11,    7.28,   11.77,   17.53,   20.13,   24.15,   25.23,   19.84,   13.83,   10.88,    7.78,   14.18
40.28374,15.53816,T2M,2010,    5.28,    6.21,    8.05,   11.51,   14.72,   19.57,   23.81,   24.04,   18.35,   14.10,   11.33,    6.09,   13.63
40.28374,15.53816,T2M,2011,    6.00,    5.91,    7.52,   11.53,   15.04,   20.32,   23.18,   25.10,   22.21,   14.30,   10.60,    7.42,   14.14
40.28374,15.53816,T2M,2012,    4.52,    4.14,    9.56,   11.38,   15.41,   23.07,   25.51,   26.04,   20.47,   16.66,   12.47,    6.31,   14.66
40.28374,15.53816,T2M,2013,    6.17,    5.10,    8.38,   12.44,   15.37,   19.62,   23.14,   24.42,   19.69,   16.89,   11.06,    7.43,   14.20
40.28374,15.53816,T2M,2014,    7.49,    8.35,    8.50,   10.78,   14.36,   20.18,   21.73,   23.34,   19.11,   15.96,   12.45,    7.20,   14.15
40.28374,15.53816,T2M,2015,    5.72,    5.23,    7.94,   10.79,   16.28,   20.20,   26.09,   24.51,   20.59,   15.18,   11.48,    7.73,   14.37
40.28374,15.53816,T2M,2016,    6.56,    8.72,    8.31,   13.22,   14.73,   19.72,   24.31,   22.77,   18.62,   15.11,   10.94,    6.15,   14.11
40.28374,15.53816,T2M,2017,    3.15,    7.75,    9.49,   11.56,   16.76,   22.97,   25.15,   26.31,   18.36,   15.10,    9.89,    5.83,   14.40
40.28374,15.53816,T2M,2018,    7.46,    5.66,    8.49,   14.15,   16.89,   20.21,   24.24,   23.57,   20.42,   16.29,   11.61,    7.28,   14.74
40.28374,15.53816,T2M,2019,    3.66,    5.97,    9.32,   11.87,   13.23,   23.76,   25.00,   26.37,   20.70,   17.13,   12.13,    8.29,   14.83
