-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  37.731   Longitude 13.1831 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 230.84 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
37.73099,13.18315,T2M,1981,    8.61,    9.25,   12.55,   15.19,   17.84,   23.00,   23.95,   25.59,   23.26,   20.03,   13.39,   12.15,   17.11
37.73099,13.18315,T2M,1982,   11.61,   10.09,   10.92,   13.62,   17.84,   23.51,   26.80,   25.99,   24.45,   19.27,   14.89,   11.16,   17.56
37.73099,13.18315,T2M,1983,   10.29,    9.44,   11.55,   14.81,   18.37,   21.99,   26.87,   25.52,   22.50,   18.49,   15.31,   11.00,   17.23
37.73099,13.18315,T2M,1984,   10.50,    9.76,   10.72,   13.24,   17.42,   21.19,   25.23,   24.65,   21.59,   18.58,   16.00,   11.78,   16.75
37.73099,13.18315,T2M,1985,    9.42,   11.20,   11.22,   14.02,   18.00,   22.48,   25.96,   25.56,   23.36,   19.00,   15.31,   12.48,   17.37
37.73099,13.18315,T2M,1986,   10.37,   10.07,   11.85,   13.93,   19.35,   21.44,   24.63,   26.73,   23.24,   19.90,   14.56,   10.93,   17.30
37.73099,13.18315,T2M,1987,    9.90,   10.60,    9.20,   13.57,   15.94,   21.31,   26.68,   26.67,   25.67,   20.72,   15.15,   13.00,   17.41
37.73099,13.18315,T2M,1988,   11.93,   10.66,   11.65,   15.17,   19.37,   22.58,   27.41,   26.62,   22.40,   20.18,   14.24,   10.70,   17.77
37.73099,13.18315,T2M,1989,   10.14,   10.76,   12.92,   14.55,   17.36,   21.33,   25.16,   25.87,   22.96,   17.59,   14.99,   13.02,   17.26
37.73099,13.18315,T2M,1990,   10.88,   12.61,   12.87,   14.12,   18.48,   22.95,   25.45,   25.42,   23.53,   21.08,   15.12,   10.70,   17.80
37.73099,13.18315,T2M,1991,   10.23,    9.74,   13.29,   12.80,   15.21,   21.54,   25.24,   26.24,   23.47,   19.39,   14.28,    9.46,   16.78
37.73099,13.18315,T2M,1992,   10.16,    9.72,   11.71,   13.77,   17.62,   20.60,   23.75,   26.32,   23.01,   19.68,   16.18,   12.17,   17.08
