-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  45.3485   Longitude 11.9572 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 60.9 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.34853,11.95719,T2M,1981,    1.48,    3.24,    9.73,   12.65,   16.63,   21.51,   23.08,   23.55,   19.85,   14.43,    7.05,    3.57,   13.12
45.34853,11.95719,T2M,1982,    2.91,    3.22,    7.55,   11.83,   17.86,   23.28,   25.50,   23.79,   21.67,   14.60,    9.61,    5.61,   14.01
45.34853,11.95719,T2M,1983,    5.08,    2.62,    8.80,   12.60,   16.74,   21.45,   27.43,   24.26,   20.36,   14.81,    7.24,    3.99,   13.86
45.34853,11.95719,T2M,1984,    3.36,    3.64,    6.63,   11.37,   14.03,   19.78,   24.15,   22.40,   18.64,   14.16,    8.68,    4.96,   12.68
45.34853,11.95719,T2M,1985,   -0.44,    3.06,    7.14,   11.78,   16.68,   20.34,   25.39,   25.17,   22.32,   15.68,    6.90,    5.33,   13.34
45.34853,11.95719,T2M,1986,    2.89,    1.21,    6.76,   11.71,   19.58,   20.69,   23.20,   24.73,   19.71,   15.09,    8.72,    3.36,   13.21
45.34853,11.95719,T2M,1987,    0.81,    3.89,    4.66,   12.60,   15.69,   20.92,   25.41,   24.27,   22.89,   14.71,    8.81,    4.63,   13.32
45.34853,11.95719,T2M,1988,    5.27,    5.12,    8.01,   12.72,   17.65,   20.25,   25.72,   25.62,   20.23,   16.01,    5.39,    3.69,   13.85
45.34853,11.95719,T2M,1989,    2.83,    6.10,   11.13,   12.81,   17.99,   20.65,   23.35,   23.74,   18.84,   13.38,    7.03,    4.17,   13.55
45.34853,11.95719,T2M,1990,    3.39,    7.40,   11.06,   11.80,   19.11,   21.76,   24.58,   24.40,   19.84,   14.97,    8.28,    2.39,   14.12
45.34853,11.95719,T2M,1991,    2.73,    2.24,   10.54,   11.21,   13.88,   20.50,   25.63,   25.61,   21.52,   12.98,    7.61,    1.96,   13.10
45.34853,11.95719,T2M,1992,    2.94,    4.85,    8.64,   12.62,   18.80,   20.74,   24.49,   27.08,   20.58,   13.05,    9.01,    4.03,   13.93
