-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  44.5257   Longitude 11.0395 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 108.12 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.52571,11.03945,T2M,1981,    1.01,    2.80,    9.81,   12.73,   16.63,   21.81,   23.17,   23.67,   19.79,   14.45,    7.14,    3.99,   13.14
44.52571,11.03945,T2M,1982,    2.94,    3.04,    7.24,   11.64,   17.85,   23.84,   26.20,   23.94,   21.55,   14.17,    9.28,    5.78,   14.02
44.52571,11.03945,T2M,1983,    5.36,    2.21,    8.70,   12.38,   16.67,   21.57,   27.93,   24.09,   20.43,   14.54,    7.01,    3.75,   13.80
44.52571,11.03945,T2M,1984,    3.50,    3.05,    6.23,   10.97,   13.75,   19.84,   24.81,   22.38,   18.53,   13.71,    8.50,    4.53,   12.51
44.52571,11.03945,T2M,1985,   -0.63,    3.26,    6.93,   11.58,   16.22,   20.54,   25.85,   25.40,   22.46,   15.45,    6.68,    5.46,   13.33
44.52571,11.03945,T2M,1986,    2.86,    0.95,    6.36,   11.59,   19.21,   20.47,   23.04,   24.85,   19.59,   14.92,    8.26,    3.38,   13.03
44.52571,11.03945,T2M,1987,    0.90,    3.86,    4.49,   12.39,   15.52,   21.12,   25.59,   24.79,   22.92,   14.58,    8.57,    4.52,   13.32
44.52571,11.03945,T2M,1988,    5.47,    5.15,    7.96,   12.43,   17.19,   19.99,   25.87,   26.00,   20.21,   16.13,    5.00,    3.65,   13.79
44.52571,11.03945,T2M,1989,    2.77,    6.20,   11.10,   12.37,   17.53,   20.64,   23.64,   24.06,   18.48,   13.16,    6.54,    3.98,   13.42
44.52571,11.03945,T2M,1990,    3.12,    7.63,   10.61,   11.50,   18.61,   21.81,   24.68,   24.48,   19.93,   15.03,    7.95,    1.95,   13.98
44.52571,11.03945,T2M,1991,    2.69,    1.94,   10.30,   10.68,   13.82,   20.87,   26.23,   25.86,   21.64,   12.66,    7.34,    1.61,   13.04
44.52571,11.03945,T2M,1992,    2.61,    4.81,    8.62,   12.37,   18.40,   20.44,   24.37,   26.96,   20.50,   13.15,    9.05,    3.81,   13.79
44.52571,11.03945,T2M,1993,    3.06,    3.45,    7.28,   12.28,   18.66,   23.33,   24.47,   26.63,   19.03,   13.59,    6.25,    5.08,   13.66
44.52571,11.03945,T2M,1994,    5.08,    3.95,   11.33,   11.70,   17.75,   21.77,   26.70,   27.72,   19.46,   12.90,    9.99,    5.03,   14.52
44.52571,11.03945,T2M,1995,    2.64,    6.36,    6.97,   12.01,   16.79,   19.48,   26.02,   23.03,   18.01,   15.05,    7.47,    4.29,   13.22
44.52571,11.03945,T2M,1996,    4.06,    2.39,    5.83,   12.50,   17.10,   22.23,   23.71,   23.59,   16.59,   13.51,    8.97,    3.59,   12.87
