-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  37.751   Longitude 14.994 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 438.54 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
37.75104,14.99404,T2M,1981,    6.27,    7.44,   11.52,   14.32,   17.32,   23.71,   24.34,   25.44,   22.71,   19.25,   11.57,    9.98,   16.21
37.75104,14.99404,T2M,1982,    9.94,    8.04,    9.28,   12.53,   17.06,   23.86,   26.87,   26.20,   23.68,   18.13,   12.92,    8.97,   16.51
37.75104,14.99404,T2M,1983,    8.42,    7.20,   10.25,   13.98,   18.18,   21.77,   27.04,   25.60,   22.00,   17.22,   13.55,    9.11,   16.25
37.75104,14.99404,T2M,1984,    8.62,    7.99,    9.25,   11.97,   17.13,   21.62,   25.50,   24.72,   21.13,   17.67,   14.13,   10.01,   15.84
37.75104,14.99404,T2M,1985,    7.33,    9.17,    9.82,   13.26,   17.51,   22.76,   26.24,   25.61,   22.50,   17.17,   13.64,   10.63,   16.34
37.75104,14.99404,T2M,1986,    8.20,    8.22,   10.54,   13.12,   19.21,   21.64,   25.16,   26.99,   22.26,   18.22,   13.13,    8.80,   16.34
37.75104,14.99404,T2M,1987,    7.98,    8.77,    7.35,   12.51,   15.55,   22.00,   27.39,   27.07,   24.86,   19.73,   13.35,   11.23,   16.53
37.75104,14.99404,T2M,1988,   10.13,    8.75,   10.19,   14.30,   19.25,   23.15,   28.35,   27.04,   21.67,   18.65,   11.82,    8.57,   16.86
37.75104,14.99404,T2M,1989,    8.47,    9.21,   11.58,   13.62,   16.81,   21.19,   25.50,   25.80,   22.25,   15.92,   13.14,   11.10,   16.26
37.75104,14.99404,T2M,1990,    9.03,   10.98,   11.52,   12.95,   17.88,   23.08,   25.84,   24.85,   22.90,   19.80,   13.57,    8.62,   16.78
37.75104,14.99404,T2M,1991,    8.25,    8.00,   12.09,   11.61,   14.31,   21.73,   25.35,   25.77,   22.45,   18.24,   12.41,    6.93,   15.64
37.75104,14.99404,T2M,1992,    8.35,    7.71,    9.93,   12.85,   16.92,   20.55,   23.51,   26.02,   22.26,   18.53,   14.46,   10.22,   15.97
37.75104,14.99404,T2M,1993,    8.14,    6.94,    9.29,   13.05,   18.53,   22.95,   25.63,   27.27,   22.89,   18.80,   13.18,   10.30,   16.48
37.75104,14.99404,T2M,1994,    9.29,    9.19,   11.92,   12.48,   19.38,   22.49,   25.95,   28.34,   23.74,   18.51,   14.20,   10.14,   17.19
37.75104,14.99404,T2M,1995,    7.42,   10.25,    9.27,   11.95,   17.57,   22.37,   26.24,   25.09,   21.13,   17.14,   11.94,   11.15,   16.00
37.75104,14.99404,T2M,1996,    9.74,    7.91,    9.38,   11.98,   16.84,   21.03,   24.56,   25.67,   19.94,   15.50,   13.07,   10.30,   15.52
37.75104,14.99404,T2M,1997,    9.62,    9.16,    9.97,   10.87,   18.56,   24.07,   25.66,   24.32,   21.29,   17.43,   13.40,    9.96,   16.24
37.75104,14.99404,T2M,1998,    8.75,    9.30,    8.87,   13.59,   16.78,   23.98,   26.96,   26.37,   21.67,   17.57,   11.76,    8.06,   16.18
