-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  45.6125   Longitude 10.0533 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 804.68 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.61245,10.05329,T2M,1981,   -2.88,   -0.68,    5.87,    8.85,   11.97,   16.96,   17.71,   18.53,   15.02,    9.19,    3.59,   -1.87,    8.57
45.61245,10.05329,T2M,1982,   -0.90,   -1.19,    2.35,    7.48,   13.04,   17.88,   20.48,   18.35,   16.73,    9.34,    5.46,    0.63,    9.19
45.61245,10.05329,T2M,1983,    1.92,   -2.24,    4.75,    7.94,   11.59,   16.66,   22.23,   18.79,   15.81,   10.70,    3.80,    0.25,    9.43
45.61245,10.05329,T2M,1984,   -1.95,   -1.93,    1.59,    6.92,    9.25,   15.23,   19.07,   17.51,   13.52,   10.23,    5.00,    0.96,    7.98
45.61245,10.05329,T2M,1985,   -5.30,   -1.05,    1.99,    7.55,   12.04,   15.24,   20.28,   19.35,   17.57,   11.12,    1.57,    1.80,    8.57
45.61245,10.05329,T2M,1986,   -2.59,   -3.85,    2.65,    6.60,   14.92,   16.17,   18.27,   19.05,   15.39,   11.12,    5.08,    0.11,    8.65
45.61245,10.05329,T2M,1987,   -3.02,    0.10,    0.21,    8.22,   11.00,   15.65,   19.85,   19.13,   18.28,    9.98,    4.68,    1.64,    8.85
45.61245,10.05329,T2M,1988,    0.73,   -0.19,    2.98,    8.31,   12.90,   15.17,   19.88,   19.96,   15.32,   11.54,    2.08,    0.02,    9.10
45.61245,10.05329,T2M,1989,    1.32,    3.23,    6.95,    7.17,   13.12,   15.61,   18.84,   18.82,   14.35,   10.15,    3.53,    0.97,    9.55
45.61245,10.05329,T2M,1990,    0.58,    3.77,    7.13,    6.96,   14.12,   16.52,   20.00,   19.59,   14.93,   10.89,    3.50,   -3.19,    9.61
