-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  46.2116   Longitude 12.4132 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1027.64 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.21165,12.41316,T2M,1981,   -6.20,   -3.19,    3.62,    7.07,   10.35,   14.92,   15.63,   16.48,   13.13,    7.50,    1.12,   -4.08,    6.41
46.21165,12.41316,T2M,1982,   -3.29,   -3.40,    0.08,    5.27,   11.33,   15.71,   18.08,   16.50,   15.19,    7.70,    3.75,   -1.42,    7.18
46.21165,12.41316,T2M,1983,   -0.62,   -4.57,    2.73,    6.44,   10.24,   14.65,   20.35,   16.74,   13.66,    8.56,    2.04,   -1.82,    7.44
46.21165,12.41316,T2M,1984,   -4.05,   -4.10,   -1.07,    4.46,    7.93,   13.34,   16.37,   15.63,   11.56,    8.56,    3.41,   -1.01,    5.95
46.21165,12.41316,T2M,1985,   -7.30,   -3.61,    0.60,    5.68,   10.84,   13.11,   18.08,   17.12,   15.16,    8.89,   -0.36,    0.13,    6.59
46.21165,12.41316,T2M,1986,   -4.85,   -6.71,    0.60,    5.19,   13.49,   14.33,   16.41,   17.00,   13.13,    9.05,    3.12,   -2.18,    6.63
46.21165,12.41316,T2M,1987,   -6.17,   -2.05,   -2.86,    6.35,    8.91,   13.60,   17.64,   16.45,   16.07,    8.34,    2.59,   -1.21,    6.51
46.21165,12.41316,T2M,1988,   -1.46,   -2.81,   -0.26,    6.57,   11.49,   13.60,   18.14,   17.79,   12.97,    9.60,   -0.25,   -2.01,    6.99
46.21165,12.41316,T2M,1989,   -0.52,    1.42,    4.79,    6.02,   11.11,   13.22,   16.70,   16.37,   12.46,    8.12,    1.11,   -0.74,    7.55
46.21165,12.41316,T2M,1990,   -1.02,    2.25,    5.28,    5.14,   12.46,   14.23,   17.28,   17.27,   12.19,    8.73,    2.03,   -4.96,    7.61
46.21165,12.41316,T2M,1991,   -3.31,   -4.43,    4.91,    4.73,    7.37,   13.82,   18.29,   18.19,   14.48,    6.48,    1.37,   -3.51,    6.60
46.21165,12.41316,T2M,1992,   -2.61,   -0.93,    2.40,    5.59,   12.25,   14.04,   17.49,   19.73,   13.27,    6.32,    3.24,   -2.42,    7.39
46.21165,12.41316,T2M,1993,   -1.99,   -0.93,    0.95,    6.73,   12.65,   15.56,   16.03,   17.86,   11.50,    7.68,    0.92,   -1.39,    7.18
