-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  -34.7187   Longitude -58.3392 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 13.03 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
-34.71867,-58.33919,T2M,1981,   23.35,   23.03,   20.61,   17.90,   16.51,    9.73,   10.19,   12.20,   12.79,   15.66,   18.93,   22.39,   16.92
-34.71867,-58.33919,T2M,1982,   23.97,   22.30,   22.23,   18.89,   15.07,   10.31,   10.20,   11.62,   13.81,   15.82,   18.47,   23.80,   17.18
-34.71867,-58.33919,T2M,1983,   25.41,   23.23,   21.20,   17.76,   13.95,    8.82,    8.70,   10.95,   12.59,   16.05,   19.18,   23.21,   16.73
-34.71867,-58.33919,T2M,1984,   24.30,   23.70,   20.82,   16.38,   12.80,    9.11,    9.10,    9.82,   12.96,   16.91,   18.38,   20.26,   16.19
-34.71867,-58.33919,T2M,1985,   24.25,   23.82,   21.36,   17.01,   14.37,   11.83,   11.07,   11.63,   13.69,   16.29,   19.92,   22.18,   17.25
-34.71867,-58.33919,T2M,1986,   24.55,   23.59,   20.20,   18.03,   13.25,   12.30,   10.95,   10.86,   13.55,   15.83,   18.60,   21.85,   16.92
-34.71867,-58.33919,T2M,1987,   24.61,   24.38,   21.30,   17.67,   11.59,   10.73,   11.89,   10.99,   12.26,   16.33,   19.14,   21.01,   16.78
-34.71867,-58.33919,T2M,1988,   23.57,   22.40,   22.40,   15.68,   11.50,    9.56,    8.75,   11.39,   12.34,   15.06,   19.68,   22.89,   16.26
-34.71867,-58.33919,T2M,1989,   26.05,   24.69,   21.30,   18.21,   14.42,   12.37,    9.96,   12.87,   12.57,   15.95,   19.58,   23.43,   17.58
-34.71867,-58.33919,T2M,1990,   24.51,   22.03,   19.83,   16.73,   12.90,    9.47,    9.58,   13.19,   12.52,   16.96,   19.19,   20.67,   16.44
-34.71867,-58.33919,T2M,1991,   23.49,   22.78,   22.53,   17.93,   16.01,   10.71,    9.44,   12.01,   14.12,   14.99,   18.01,   21.17,   16.90
-34.71867,-58.33919,T2M,1992,   22.62,   23.42,   22.33,   16.58,   13.20,   12.17,    7.82,   10.71,   12.77,   15.94,   17.04,   21.43,   16.32
-34.71867,-58.33919,T2M,1993,   24.58,   22.07,   22.32,   18.03,   13.32,   10.42,    8.59,   10.84,   11.88,   15.89,   17.91,   20.53,   16.34
-34.71867,-58.33919,T2M,1994,   22.74,   22.78,   21.39,   16.66,   14.86,   11.59,    9.81,   10.55,   13.42,   15.52,   19.78,   24.13,   16.91
-34.71867,-58.33919,T2M,1995,   23.85,   22.65,   20.83,   16.84,   13.65,    9.81,    8.78,    9.97,   12.88,   15.62,   19.98,   23.46,   16.50
-34.71867,-58.33919,T2M,1996,   24.48,   22.82,   22.82,   18.06,   14.49,    9.25,    8.47,   13.22,   12.76,   17.41,   20.55,   23.40,   17.30
-34.71867,-58.33919,T2M,1997,   25.68,   22.48,   22.11,   19.01,   15.73,   11.13,   11.35,   12.54,   13.52,   16.72,   19.47,   20.89,   17.53
-34.71867,-58.33919,T2M,1998,   22.44,   21.84,   20.37,   17.37,   14.70,   11.02,   12.13,   11.96,   12.99,   17.66,   19.83,   22.47,   17.05
-34.71867,-58.33919,T2M,1999,   22.15,   22.91,   22.20,   15.99,   13.46,   10.05,    9.60,   11.58,   13.81,   16.38,   19.84,   23.19,   16.73
-34.71867,-58.33919,T2M,2000,   25.42,   24.30,   21.14,   17.87,   13.41,   11.84,    7.69,   10.57,   12.56,   15.82,   17.91,   21.53,   16.65
-34.71867,-58.33919,T2M,2001,   24.62,   24.73,   22.32,   17.19,   13.36,   11.86,    9.64,   13.95,   13.41,   17.25,   18.61,   21.54,   17.34
-34.71867,-58.33919,T2M,2002,   24.14,   22.42,   21.43,   16.58,   15.04,    9.51,    9.62,   12.25,   13.15,   17.54,   19.72,   21.83,   16.91
-34.71867,-58.33919,T2M,2003,   24.47,   22.73,   21.24,   16.79,   13.99,   11.86,    9.68,   10.39,   12.68,   17.15,   19.36,   20.94,   16.74
-34.71867,-58.33919,T2M,2004,   25.04,   22.56,   22.98,   18.74,   12.70,   11.84,   10.22,   12.26,   14.09,   16.30,   18.76,   22.75,   17.34
-34.71867,-58.33919,T2M,2005,   25.02,   23.39,   21.03,   16.27,   13.97,   13.11,   10.83,   11.77,   12.50,   15.81,   20.85,   21.47,   17.13
-34.71867,-58.33919,T2M,2006,   23.56,   23.30,   19.82,   17.64,   12.91,   11.39,   12.45,   10.67,   13.52,   18.24,   19.77,   24.15,   17.25
-34.71867,-58.33919,T2M,2007,   24.52,   24.46,   21.14,   17.70,   11.43,    8.62,    7.30,    8.65,   15.20,   17.65,   17.67,   22.57,   16.36
-34.71867,-58.33919,T2M,2008,   24.38,   24.45,   20.76,   17.08,   14.04,   10.20,   12.52,   11.22,   13.21,   16.98,   23.60,   23.48,   17.64
-34.71867,-58.33919,T2M,2009,   24.92,   23.91,   22.55,   18.30,   14.98,    9.93,    8.62,   12.95,   12.35,   15.94,   20.52,   21.82,   17.20
-34.71867,-58.33919,T2M,2010,   24.97,   23.13,   21.58,   16.51,   14.69,   10.98,    9.32,   10.22,   13.43,   15.65,   19.54,   23.97,   16.97
-34.71867,-58.33919,T2M,2011,   24.66,   22.90,   21.38,   17.70,   13.61,   10.18,    8.81,   10.31,   14.02,   16.20,   21.84,   22.43,   16.97
-34.71867,-58.33919,T2M,2012,   25.70,   24.21,   21.01,   17.02,   15.21,   10.45,    7.81,   12.50,   14.27,   17.07,   20.68,   22.84,   17.38
-34.71867,-58.33919,T2M,2013,   24.33,   23.53,   19.45,   17.80,   13.48,   10.49,   10.12,   10.26,   12.82,   17.14,   20.01,   26.10,   17.09
-34.71867,-58.33919,T2M,2014,   25.18,   22.05,   19.52,   16.97,   13.82,   10.23,   10.48,   12.49,   14.55,   18.54,   19.44,   22.45,   17.12
-34.71867,-58.33919,T2M,2015,   23.51,   23.80,   22.60,   19.66,   15.75,   11.74,   10.96,   13.27,   12.96,   14.65,   19.40,   23.86,   17.65
-34.71867,-58.33919,T2M,2016,   25.34,   25.40,   20.54,   16.88,   11.80,    8.93,    9.70,   11.84,   12.88,   16.32,   19.87,   24.13,   16.95
-34.71867,-58.33919,T2M,2017,   24.85,   24.35,   21.73,   17.89,   14.81,   12.34,   11.66,   13.40,   14.43,   16.42,   18.96,   23.36,   17.82
-34.71867,-58.33919,T2M,2018,   24.98,   24.42,   21.56,   20.59,   15.38,    9.48,    9.50,   10.49,   15.61,   16.35,   20.01,   21.46,   17.44
-34.71867,-58.33919,T2M,2019,   24.13,   23.44,   20.14,   18.14,   14.60,   12.96,    9.94,   10.80,   13.03,   16.20,   21.22,   22.78,   17.24
-34.71867,-58.33919,RH2M,1981,   70.17,   73.56,   72.08,   80.51,   87.17,   84.67,   86.71,   81.79,   75.28,   74.00,   72.06,   61.35,   76.62
-34.71867,-58.33919,RH2M,1982,   57.12,   66.38,   68.38,   78.80,   78.92,   84.64,   86.22,   80.47,   82.35,   72.07,   70.21,   57.28,   73.57
-34.71867,-58.33919,RH2M,1983,   63.59,   65.06,   64.89,   71.86,   81.13,   83.62,   81.04,   82.78,   73.33,   79.04,   76.11,   67.48,   74.21
-34.71867,-58.33919,RH2M,1984,   72.31,   77.90,   78.54,   80.05,   82.89,   85.55,   87.71,   79.22,   82.95,   77.24,   74.91,   62.48,   78.46
-34.71867,-58.33919,RH2M,1985,   62.07,   64.30,   66.34,   76.61,   77.07,   85.91,   84.43,   82.11,   80.04,   79.03,   77.07,   69.47,   75.41
-34.71867,-58.33919,RH2M,1986,   64.20,   63.06,   67.17,   81.43,   80.03,   88.24,   83.31,   83.51,   80.83,   78.90,   75.03,   67.68,   76.16
-34.71867,-58.33919,RH2M,1987,   64.09,   71.19,   78.28,   80.05,   78.32,   79.69,   85.43,   83.61,   74.39,   76.78,   75.45,   69.87,   76.46
-34.71867,-58.33919,RH2M,1988,   66.54,   68.07,   77.71,   76.90,   79.56,   82.70,   81.07,   77.06,   71.88,   68.14,   63.21,   59.73,   72.73
-34.71867,-58.33919,RH2M,1989,   54.32,   59.79,   71.29,   73.88,   74.40,   80.36,   80.74,   79.58,   74.56,   70.77,   64.60,   70.66,   71.32
-34.71867,-58.33919,RH2M,1990,   63.16,   83.87,   79.20,   80.96,   84.25,   84.13,   84.73,   81.74,   77.22,   80.50,   73.73,   70.25,   78.60
-34.71867,-58.33919,RH2M,1991,   65.69,   61.61,   66.51,   76.79,   83.36,   84.45,   84.77,   85.35,   79.62,   77.32,   75.09,   76.13,   76.49
-34.71867,-58.33919,RH2M,1992,   70.97,   68.82,   74.99,   78.39,   81.00,   87.16,   84.57,   81.12,   77.52,   72.72,   73.96,   66.78,   76.51
-34.71867,-58.33919,RH2M,1993,   64.81,   73.39,   72.36,   80.54,   81.72,   86.37,   83.39,   79.58,   79.58,   81.53,   78.71,   71.76,   77.81
-34.71867,-58.33919,RH2M,1994,   65.99,   67.06,   71.76,   78.04,   84.51,   82.39,   84.48,   80.40,   79.04,   78.69,   66.86,   65.29,   75.43
-34.71867,-58.33919,RH2M,1995,   58.69,   64.52,   70.26,   77.99,   78.66,   77.63,   79.79,   75.50,   69.59,   67.13,   65.98,   57.86,   70.32
-34.71867,-58.33919,RH2M,1996,   56.76,   63.96,   65.05,   75.66,   77.20,   77.14,   78.97,   75.05,   71.71,   75.37,   65.64,   65.72,   70.70
-34.71867,-58.33919,RH2M,1997,   63.24,   65.35,   66.16,   68.46,   74.24,   84.04,   81.78,   80.11,   73.17,   75.22,   72.37,   70.96,   72.97
-34.71867,-58.33919,RH2M,1998,   69.33,   70.65,   70.27,   81.16,   83.15,   83.80,   84.65,   77.30,   72.60,   69.61,   66.29,   60.17,   74.09
-34.71867,-58.33919,RH2M,1999,   66.62,   70.09,   74.64,   77.04,   79.03,   81.30,   83.09,   79.53,   75.76,   74.39,   64.69,   58.19,   73.72
-34.71867,-58.33919,RH2M,2000,   59.18,   62.97,   64.14,   81.52,   85.87,   88.19,   86.20,   80.52,   80.22,   78.93,   74.52,   66.14,   75.71
-34.71867,-58.33919,RH2M,2001,   65.72,   68.17,   79.56,   76.82,   86.20,   86.03,   85.22,   85.25,   78.99,   82.53,   73.33,   69.29,   78.17
-34.71867,-58.33919,RH2M,2002,   64.87,   66.83,   80.73,   79.45,   86.25,   82.60,   85.31,   82.00,   79.95,   79.56,   77.16,   71.33,   78.07
-34.71867,-58.33919,RH2M,2003,   62.89,   73.11,   75.56,   77.30,   82.03,   83.59,   79.60,   78.96,   77.32,   72.83,   71.56,   64.49,   74.92
-34.71867,-58.33919,RH2M,2004,   62.40,   67.38,   64.20,   75.95,   81.66,   84.67,   80.86,   82.09,   73.73,   70.57,   72.35,   64.16,   73.33
-34.71867,-58.33919,RH2M,2005,   56.47,   71.24,   68.71,   73.80,   78.62,   84.61,   85.91,   82.63,   78.08,   68.86,   62.76,   57.89,   72.45
-34.71867,-58.33919,RH2M,2006,   68.25,   69.48,   74.08,   76.77,   77.92,   82.48,   82.05,   77.60,   67.59,   72.33,   62.73,   66.18,   73.16
-34.71867,-58.33919,RH2M,2007,   63.37,   64.23,   80.91,   82.37,   82.23,   85.18,   80.46,   82.20,   83.04,   79.02,   69.38,   60.27,   76.11
-34.71867,-58.33919,RH2M,2008,   60.83,   68.42,   77.05,   69.24,   75.99,   79.02,   84.08,   72.26,   76.47,   66.12,   57.66,   58.99,   70.52
-34.71867,-58.33919,RH2M,2009,   52.72,   63.46,   72.70,   66.92,   72.12,   76.93,   75.12,   77.25,   76.87,   69.16,   70.50,   70.47,   70.38
-34.71867,-58.33919,RH2M,2010,   66.36,   76.75,   76.05,   74.16,   81.14,   82.15,   82.58,   80.89,   80.39,   72.98,   65.92,   54.49,   74.46
-34.71867,-58.33919,RH2M,2011,   65.02,   65.55,   63.59,   71.13,   76.74,   81.96,   81.08,   80.14,   69.45,   71.71,   61.72,   59.27,   70.65
-34.71867,-58.33919,RH2M,2012,   55.46,   70.18,   74.30,   71.68,   81.80,   80.84,   75.34,   85.41,   78.40,   81.15,   73.49,   70.68,   74.91
-34.71867,-58.33919,RH2M,2013,   62.02,   61.19,   66.84,   77.05,   80.22,   79.02,   81.61,   71.60,   77.29,   73.47,   71.03,   55.19,   71.41
-34.71867,-58.33919,RH2M,2014,   64.22,   80.60,   74.46,   79.83,   84.27,   82.34,   85.93,   80.11,   78.43,   77.66,   71.86,   68.58,   77.32
