-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  44.6877   Longitude 8.8094 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 279.79 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.68766,8.80936,T2M,1981,    1.81,    3.21,    9.47,   12.54,   15.25,   20.82,   21.86,   22.79,   18.69,   13.35,    7.50,    2.54,   12.54
44.68766,8.80936,T2M,1982,    2.69,    3.21,    6.55,   10.74,   16.27,   21.63,   24.86,   22.76,   20.53,   13.21,    8.40,    4.93,   13.04
44.68766,8.80936,T2M,1983,    5.92,    2.22,    8.33,   11.26,   14.80,   19.56,   25.71,   22.69,   19.80,   14.34,    6.73,    3.18,   12.95
44.68766,8.80936,T2M,1984,    3.05,    2.77,    6.34,   10.70,   12.47,   18.21,   22.38,   21.41,   17.19,   13.48,    7.97,    4.30,   11.72
44.68766,8.80936,T2M,1985,   -1.82,    3.73,    6.23,   11.65,   14.80,   18.84,   24.07,   22.94,   21.08,   14.55,    5.66,    5.83,   12.35
44.68766,8.80936,T2M,1986,    2.32,    0.35,    6.79,   10.64,   17.60,   19.54,   22.46,   23.48,   19.08,   14.97,    8.51,    3.60,   12.52
44.68766,8.80936,T2M,1987,    0.47,    3.47,    5.27,   11.86,   14.49,   19.45,   24.17,   23.74,   21.63,   13.43,    8.01,    4.76,   12.61
44.68766,8.80936,T2M,1988,    4.65,    5.10,    7.70,   11.69,   16.09,   18.18,   23.59,   23.77,   19.39,   15.71,    5.54,    4.04,   12.99
44.68766,8.80936,T2M,1989,    3.79,    6.57,   10.67,   10.94,   16.45,   19.86,   23.65,   23.37,   18.22,   13.63,    6.64,    4.01,   13.20
44.68766,8.80936,T2M,1990,    3.56,    8.58,   10.47,   10.82,   17.37,   20.43,   24.04,   23.57,   19.52,   14.34,    7.18,    1.22,   13.45
44.68766,8.80936,T2M,1991,    2.81,    1.89,    9.93,   10.21,   13.30,   19.17,   24.99,   24.87,   20.78,   11.64,    6.94,    2.41,   12.48
44.68766,8.80936,T2M,1992,    2.83,    5.43,    8.91,   11.41,   17.74,   18.20,   22.92,   25.00,   19.38,   11.97,    9.02,    3.60,   13.06
44.68766,8.80936,T2M,1993,    4.22,    3.76,    7.13,   11.57,   16.78,   21.55,   22.45,   24.84,   18.22,   12.42,    5.62,    4.99,   12.86
44.68766,8.80936,T2M,1994,    4.97,    4.03,   11.10,   10.94,   16.43,   19.66,   25.44,   25.30,   18.27,   12.31,   10.45,    5.42,   13.76
44.68766,8.80936,T2M,1995,    2.46,    6.64,    6.71,   11.68,   15.52,   18.17,   25.00,   22.32,   16.91,   14.82,    7.00,    3.21,   12.58
44.68766,8.80936,T2M,1996,    2.44,    2.32,    6.17,   12.01,   15.64,   20.19,   22.17,   22.05,   15.62,   12.72,    8.06,    3.18,   11.91
44.68766,8.80936,T2M,1997,    2.13,    6.53,   10.20,   11.05,   16.92,   19.49,   22.29,   23.36,   20.27,   14.00,    7.72,    3.79,   13.18
44.68766,8.80936,T2M,1998,    3.68,    7.01,    8.32,   11.42,   16.76,   20.66,   23.89,   24.19,   18.35,   13.31,    5.69,    2.94,   13.06
44.68766,8.80936,T2M,1999,    4.10,    4.30,    9.02,   12.12,   17.48,   20.44,   23.91,   23.31,   20.16,   14.21,    6.42,    3.37,   13.29
44.68766,8.80936,T2M,2000,    2.64,    6.29,    9.17,   11.95,   17.88,   21.53,   21.82,   23.64,   19.43,   14.25,    8.56,    5.24,   13.55
44.68766,8.80936,T2M,2001,    2.91,    5.79,    9.90,   10.71,   17.30,   19.80,   23.30,   24.85,   16.73,   16.48,    7.33,    2.07,   13.15
44.68766,8.80936,T2M,2002,    3.01,    6.39,   10.06,   11.47,   16.06,   22.05,   22.56,   21.90,   17.50,   13.97,   10.27,    4.65,   13.36
44.68766,8.80936,T2M,2003,    3.12,    1.97,    8.85,   11.03,   18.14,   24.79,   25.49,   27.53,   19.07,   11.76,    8.00,    4.32,   13.75
44.68766,8.80936,T2M,2004,    3.00,    4.05,    6.97,   11.44,   14.60,   20.65,   23.28,   23.60,   20.13,   15.27,    8.40,    4.48,   13.02
44.68766,8.80936,T2M,2005,    3.25,    2.07,    7.69,   11.16,   17.58,   22.55,   24.15,   22.01,   19.31,   13.26,    7.10,    2.19,   12.76
44.68766,8.80936,T2M,2006,    1.19,    3.94,    7.05,   12.46,   16.61,   21.76,   26.82,   21.73,   20.15,   15.64,    9.99,    5.48,   13.62
