-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  42.6384   Longitude 12.6743 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 566.4 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.63844,12.67431,T2M,1981,   -0.07,    2.41,    8.29,   11.11,   14.67,   20.01,   21.07,   22.09,   18.16,   13.75,    5.69,    4.55,   11.87
42.63844,12.67431,T2M,1982,    4.56,    2.88,    5.25,    9.25,   15.29,   21.58,   24.48,   22.41,   20.16,   12.80,    8.69,    5.33,   12.78
42.63844,12.67431,T2M,1983,    4.12,    1.52,    7.00,   10.46,   14.85,   19.04,   25.40,   21.69,   18.36,   12.86,    7.65,    4.29,   12.34
42.63844,12.67431,T2M,1984,    3.49,    2.52,    4.77,    8.78,   12.56,   18.01,   22.85,   20.58,   16.64,   12.63,    9.54,    4.96,   11.47
42.63844,12.67431,T2M,1985,    0.85,    3.46,    5.81,    9.99,   15.12,   19.32,   24.82,   23.48,   21.12,   13.80,    7.34,    6.03,   12.65
42.63844,12.67431,T2M,1986,    3.11,    1.96,    6.25,    9.62,   16.61,   17.34,   21.20,   22.99,   18.26,   14.35,    8.06,    3.01,   11.96
42.63844,12.67431,T2M,1987,    2.07,    3.67,    2.42,    9.77,   12.98,   18.67,   23.43,   23.00,   21.46,   14.57,    8.00,    5.43,   12.17
42.63844,12.67431,T2M,1988,    5.24,    3.79,    5.75,   10.45,   15.22,   17.78,   24.52,   23.91,   18.02,   15.36,    5.23,    3.46,   12.44
42.63844,12.67431,T2M,1989,    3.42,    5.84,    9.35,   10.21,   14.23,   17.57,   21.65,   22.32,   17.67,   11.72,    6.67,    5.10,   12.19
42.63844,12.67431,T2M,1990,    3.89,    7.14,    8.69,    9.16,   15.49,   19.80,   23.14,   22.16,   17.91,   15.22,    7.62,    2.37,   12.75
42.63844,12.67431,T2M,1991,    3.21,    2.61,    8.58,    7.90,   10.57,   18.38,   23.24,   23.38,   19.13,   11.67,    7.23,    1.26,   11.48
42.63844,12.67431,T2M,1992,    3.14,    4.00,    6.64,    9.90,   15.56,   17.06,   21.48,   24.98,   19.29,   13.30,    9.60,    4.89,   12.52
42.63844,12.67431,T2M,1993,    3.31,    2.66,    5.42,   10.32,   16.33,   20.89,   22.62,   25.14,   17.91,   13.48,    6.85,    5.69,   12.62
42.63844,12.67431,T2M,1994,    4.45,    3.81,    9.49,    9.03,   15.63,   19.78,   24.36,   25.59,   19.37,   13.21,    9.59,    5.42,   13.38
42.63844,12.67431,T2M,1995,    2.28,    6.06,    5.24,    9.48,   14.15,   17.76,   24.11,   20.59,   15.89,   13.95,    6.54,    6.31,   11.90
42.63844,12.67431,T2M,1996,    5.09,    2.33,    5.23,   10.41,   14.55,   19.62,   21.39,   21.48,   14.46,   11.55,    8.46,    4.54,   11.63
42.63844,12.67431,T2M,1997,    5.35,    5.01,    7.28,    7.07,   15.41,   20.07,   22.15,   21.98,   19.90,   13.24,    8.64,    5.23,   12.66
42.63844,12.67431,T2M,1998,    4.38,    5.65,    5.69,   10.34,   14.94,   21.26,   24.72,   24.37,   17.46,   12.47,    6.20,    2.93,   12.58
42.63844,12.67431,T2M,1999,    3.68,    2.18,    6.63,   10.00,   16.62,   20.13,   21.57,   23.73,   19.09,   14.18,    7.25,    3.99,   12.49
42.63844,12.67431,T2M,2000,    2.14,    4.34,    6.87,   11.43,   17.23,   20.81,   21.40,   24.50,   18.11,   13.75,    9.26,    6.42,   13.05
42.63844,12.67431,T2M,2001,    5.28,    4.45,    9.84,    9.04,   15.97,   19.22,   23.45,   24.77,   16.29,   15.92,    7.64,    1.56,   12.85
42.63844,12.67431,T2M,2002,    1.90,    6.58,    8.69,   10.77,   15.99,   22.38,   22.57,   21.16,   15.88,   12.94,   10.08,    6.01,   12.94
