-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  38.0316   Longitude 14.7725 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 250.2 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
38.03157,14.77253,T2M,1981,    9.09,    9.74,   12.55,   14.99,   17.63,   22.72,   24.19,   25.38,   23.46,   20.45,   14.02,   12.58,   17.28
38.03157,14.77253,T2M,1982,   12.13,   10.45,   11.46,   13.92,   17.57,   23.54,   26.34,   25.88,   24.51,   20.11,   15.71,   12.14,   17.86
38.03157,14.77253,T2M,1983,   11.27,    9.85,   11.95,   14.76,   18.34,   21.56,   26.05,   25.75,   22.87,   19.09,   15.83,   11.78,   17.47
38.03157,14.77253,T2M,1984,   11.15,   10.24,   11.11,   13.26,   17.22,   20.80,   24.68,   24.69,   22.16,   19.51,   16.65,   12.76,   17.04
38.03157,14.77253,T2M,1985,   10.13,   11.25,   11.62,   14.34,   17.74,   22.31,   25.66,   25.18,   23.34,   19.18,   16.00,   13.35,   17.54
38.03157,14.77253,T2M,1986,   11.04,   10.49,   12.21,   14.22,   19.05,   21.26,   24.76,   26.55,   23.31,   20.04,   15.65,   11.80,   17.58
38.03157,14.77253,T2M,1987,   10.56,   10.92,    9.36,   13.70,   16.03,   21.68,   26.43,   26.54,   25.22,   21.25,   15.89,   13.69,   17.64
38.03157,14.77253,T2M,1988,   12.67,   11.22,   11.92,   14.95,   19.11,   22.06,   26.80,   26.54,   22.55,   20.43,   14.58,   11.48,   17.89
38.03157,14.77253,T2M,1989,   11.08,   11.50,   13.28,   14.54,   17.17,   20.73,   24.77,   25.54,   22.76,   17.83,   15.44,   13.45,   17.38
38.03157,14.77253,T2M,1990,   11.61,   12.83,   13.05,   14.22,   18.22,   22.43,   25.16,   24.94,   23.19,   21.50,   15.85,   11.50,   17.91
38.03157,14.77253,T2M,1991,   10.84,   10.21,   13.59,   13.01,   14.99,   21.14,   24.51,   25.41,   23.69,   19.85,   15.13,    9.87,   16.89
38.03157,14.77253,T2M,1992,   10.86,   10.13,   11.95,   14.02,   17.74,   20.72,   23.58,   26.00,   23.11,   20.26,   16.71,   12.84,   17.35
38.03157,14.77253,T2M,1993,   10.61,    9.56,   11.15,   14.07,   18.56,   22.85,   24.97,   26.68,   23.86,   20.57,   15.48,   12.97,   17.66
38.03157,14.77253,T2M,1994,   11.71,   11.42,   13.28,   13.59,   19.06,   21.86,   25.60,   27.78,   24.38,   20.19,   16.56,   12.94,   18.24
38.03157,14.77253,T2M,1995,   10.21,   12.19,   11.34,   13.05,   17.43,   21.52,   25.32,   25.52,   21.99,   19.14,   14.37,   13.56,   17.17
38.03157,14.77253,T2M,1996,   12.22,   10.28,   11.23,   13.61,   17.32,   21.24,   24.25,   25.96,   21.22,   17.51,   15.43,   12.91,   16.96
38.03157,14.77253,T2M,1997,   12.13,   11.56,   12.03,   12.34,   18.77,   23.32,   24.67,   24.63,   22.69,   19.36,   15.87,   12.68,   17.54
38.03157,14.77253,T2M,1998,   11.36,   11.43,   11.06,   14.74,   17.45,   23.18,   25.81,   26.04,   22.65,   19.15,   14.48,   11.10,   17.40
38.03157,14.77253,T2M,1999,   10.76,    9.61,   12.03,   13.99,   19.04,   22.99,   24.32,   26.78,   23.61,   20.75,   16.14,   12.52,   17.76
38.03157,14.77253,T2M,2000,    9.74,   10.38,   12.25,   14.39,   19.13,   22.46,   24.85,   25.88,   22.83,   19.26,   16.68,   13.75,   17.66
38.03157,14.77253,T2M,2001,   12.34,   11.10,   14.34,   14.06,   18.68,   22.17,   25.14,   25.72,   22.84,   21.37,   15.82,   10.79,   17.91
38.03157,14.77253,T2M,2002,    9.84,   12.02,   13.35,   14.55,   17.80,   22.97,   24.97,   24.84,   21.93,   19.21,   16.77,   12.85,   17.62
38.03157,14.77253,T2M,2003,   11.55,    8.71,   11.49,   14.19,   19.76,   24.71,   26.94,   27.19,   23.11,   20.46,   16.63,   12.46,   18.16
38.03157,14.77253,T2M,2004,   10.07,   10.67,   11.47,   14.11,   16.14,   21.58,   24.84,   25.55,   22.82,   21.06,   15.95,   13.70,   17.35
38.03157,14.77253,T2M,2005,    9.93,    9.02,   11.57,   13.48,   18.62,   22.01,   25.18,   24.63,   22.61,   19.33,   15.77,   11.72,   17.04
38.03157,14.77253,T2M,2006,    9.95,   10.29,   11.54,   14.72,   19.23,   22.27,   25.61,   25.29,   22.77,   20.19,   15.68,   13.93,   17.67
