-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  43.3458   Longitude 13.1416 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 400.84 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.34585,13.1416,T2M,1981,    1.84,    3.42,    9.09,   11.32,   15.39,   19.97,   21.66,   22.31,   19.14,   14.97,    7.37,    6.06,   12.77
43.34585,13.1416,T2M,1982,    5.54,    3.96,    6.51,    9.93,   15.80,   22.27,   24.41,   22.76,   20.69,   14.25,   10.19,    6.97,   13.66
43.34585,13.1416,T2M,1983,    5.60,    2.99,    7.93,   11.49,   15.79,   19.15,   25.05,   22.21,   19.19,   13.95,    8.62,    5.39,   13.18
43.34585,13.1416,T2M,1984,    4.98,    3.95,    5.87,    9.60,   13.24,   18.56,   23.10,   21.14,   17.91,   13.73,   10.72,    6.55,   12.47
43.34585,13.1416,T2M,1985,    2.40,    4.03,    6.90,   10.75,   15.61,   19.72,   24.63,   23.91,   20.87,   14.71,    8.45,    7.20,   13.32
43.34585,13.1416,T2M,1986,    4.65,    3.01,    6.89,   10.79,   17.51,   18.06,   21.26,   23.59,   18.68,   14.71,    8.89,    4.70,   12.79
43.34585,13.1416,T2M,1987,    3.17,    4.76,    3.56,   10.61,   13.85,   19.44,   23.91,   23.18,   21.92,   15.49,    9.39,    6.58,   13.03
43.34585,13.1416,T2M,1988,    6.73,    5.36,    7.22,   11.22,   15.72,   18.64,   24.58,   24.15,   18.76,   15.95,    6.59,    4.83,   13.35
43.34585,13.1416,T2M,1989,    4.22,    6.53,    9.93,   11.42,   15.07,   18.33,   21.95,   22.27,   18.08,   12.38,    7.69,    6.48,   12.90
43.34585,13.1416,T2M,1990,    5.12,    7.77,    9.66,   10.18,   16.24,   20.28,   23.13,   22.51,   18.58,   15.72,    9.16,    4.15,   13.58
43.34585,13.1416,T2M,1991,    4.54,    3.64,    9.31,    8.96,   11.56,   18.91,   23.22,   23.49,   19.83,   12.79,    8.73,    3.24,   12.40
43.34585,13.1416,T2M,1992,    4.24,    5.06,    7.59,   10.94,   15.56,   18.11,   21.69,   25.32,   20.10,   14.61,   10.82,    6.45,   13.40
43.34585,13.1416,T2M,1993,    4.37,    3.90,    6.45,   11.01,   16.98,   21.28,   23.02,   24.93,   18.75,   14.71,    8.27,    7.10,   13.46
43.34585,13.1416,T2M,1994,    5.79,    4.80,   10.32,   10.09,   16.25,   20.24,   24.39,   26.13,   20.27,   13.83,   10.66,    6.86,   14.20
43.34585,13.1416,T2M,1995,    4.01,    7.18,    6.49,   10.33,   14.93,   18.25,   24.02,   21.02,   16.75,   14.54,    8.03,    7.36,   12.78
43.34585,13.1416,T2M,1996,    6.25,    3.48,    5.99,   11.18,   15.48,   20.30,   21.60,   21.97,   15.37,   12.78,    9.62,    5.96,   12.53
43.34585,13.1416,T2M,1997,    6.19,    5.93,    8.26,    7.90,   15.77,   20.53,   22.41,   22.23,   20.29,   14.08,    9.70,    6.66,   13.38
43.34585,13.1416,T2M,1998,    5.45,    6.56,    6.59,   11.26,   15.43,   21.76,   25.22,   24.79,   18.51,   13.88,    7.81,    4.58,   13.53
