-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  40.8291   Longitude 15.1676 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 483.74 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.82909,15.16762,T2M,1981,    2.63,    4.46,    9.68,   12.01,   15.57,   21.02,   21.86,   23.07,   19.69,   16.19,    8.05,    7.15,   13.50
40.82909,15.16762,T2M,1982,    6.88,    4.56,    6.95,   10.65,   16.06,   21.93,   24.63,   23.34,   21.47,   15.01,   10.60,    7.46,   14.19
40.82909,15.16762,T2M,1983,    5.90,    4.14,    8.21,   12.13,   16.49,   19.52,   25.08,   22.96,   19.77,   14.60,    9.58,    6.75,   13.82
40.82909,15.16762,T2M,1984,    6.17,    5.07,    6.60,    9.94,   14.71,   18.57,   23.11,   21.78,   18.39,   15.00,   11.53,    7.12,   13.19
40.82909,15.16762,T2M,1985,    3.67,    5.30,    7.78,   11.33,   16.43,   19.83,   24.23,   23.89,   21.19,   15.18,   10.86,    8.36,   14.06
40.82909,15.16762,T2M,1986,    5.88,    5.16,    8.70,   11.91,   18.05,   19.12,   22.89,   24.58,   20.26,   16.06,   10.59,    5.66,   14.13
40.82909,15.16762,T2M,1987,    5.23,    6.13,    4.21,   11.05,   13.76,   20.27,   24.82,   24.06,   23.20,   16.73,   10.63,    7.79,   14.03
40.82909,15.16762,T2M,1988,    7.85,    5.93,    7.47,   11.80,   17.07,   20.25,   26.62,   25.21,   19.31,   16.27,    7.49,    5.57,   14.28
40.82909,15.16762,T2M,1989,    5.62,    7.14,   10.61,   12.15,   15.07,   18.57,   23.51,   23.38,   19.54,   13.48,    9.00,    7.15,   13.81
40.82909,15.16762,T2M,1990,    5.95,    8.86,   10.20,   11.01,   16.40,   20.93,   23.99,   22.81,   19.25,   17.25,   10.57,    5.21,   14.40
40.82909,15.16762,T2M,1991,    5.03,    4.84,   10.36,    9.32,   12.21,   20.00,   23.53,   23.91,   20.70,   14.68,    9.96,    2.89,   13.17
40.82909,15.16762,T2M,1992,    5.32,    5.50,    8.45,   11.57,   16.34,   19.29,   22.49,   25.52,   20.54,   15.96,   11.86,    6.91,   14.17
40.82909,15.16762,T2M,1993,    5.26,    3.80,    7.05,   11.65,   17.18,   21.42,   23.40,   25.83,   19.98,   16.57,    9.98,    8.58,   14.29
40.82909,15.16762,T2M,1994,    6.98,    6.20,   10.32,   10.75,   16.95,   20.48,   24.37,   26.20,   21.87,   15.55,   11.47,    7.59,   14.95
40.82909,15.16762,T2M,1995,    4.91,    8.07,    6.88,   10.54,   15.49,   19.74,   24.47,   22.09,   17.98,   15.16,    8.17,    8.87,   13.57
40.82909,15.16762,T2M,1996,    6.92,    4.57,    6.75,   11.09,   15.95,   20.54,   22.51,   23.76,   16.90,   13.10,   11.02,    7.33,   13.40
40.82909,15.16762,T2M,1997,    7.89,    6.59,    8.00,    8.21,   16.96,   22.27,   23.36,   22.69,   20.42,   14.79,   11.22,    7.41,   14.20
