-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  37.6067   Longitude 12.9679 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 97.55 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
37.60665,12.96785,T2M,1981,   10.46,   10.81,   13.30,   15.59,   18.00,   22.45,   23.80,   25.46,   23.60,   20.80,   15.05,   13.76,   17.80
37.60665,12.96785,T2M,1982,   13.09,   11.77,   12.26,   14.45,   18.00,   23.03,   26.34,   25.92,   24.68,   20.52,   16.61,   12.99,   18.34
37.60665,12.96785,T2M,1983,   11.96,   11.18,   12.70,   15.22,   18.24,   21.75,   26.15,   25.53,   23.05,   19.67,   16.75,   12.64,   17.94
37.60665,12.96785,T2M,1984,   12.12,   11.33,   12.03,   14.09,   17.43,   20.67,   24.80,   24.64,   22.29,   19.50,   17.46,   13.54,   17.51
37.60665,12.96785,T2M,1985,   11.17,   12.59,   12.47,   14.56,   17.95,   22.11,   25.52,   25.49,   23.76,   20.34,   16.74,   14.13,   18.10
37.60665,12.96785,T2M,1986,   12.12,   11.63,   13.00,   14.51,   19.10,   21.31,   24.47,   26.40,   23.88,   20.92,   15.93,   12.73,   18.04
37.60665,12.96785,T2M,1987,   11.56,   12.05,   10.70,   14.36,   16.32,   20.98,   26.05,   26.21,   25.83,   21.59,   16.76,   14.49,   18.11
37.60665,12.96785,T2M,1988,   13.42,   12.25,   12.84,   15.63,   19.06,   22.10,   26.48,   26.34,   23.07,   21.26,   16.09,   12.53,   18.45
37.60665,12.96785,T2M,1989,   11.88,   12.30,   13.95,   15.13,   17.53,   21.18,   24.86,   25.78,   23.31,   18.86,   16.52,   14.61,   18.03
37.60665,12.96785,T2M,1990,   12.65,   13.89,   13.98,   14.94,   18.58,   22.53,   25.16,   25.51,   23.90,   21.96,   16.62,   12.38,   18.53
