-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  41.6847   Longitude 14.5956 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 395.79 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.68468,14.59562,T2M,1981,    3.09,    4.55,    9.89,   11.91,   16.08,   21.31,   22.39,   23.40,   20.23,   16.30,    8.47,    6.98,   13.77
41.68468,14.59562,T2M,1982,    6.74,    4.90,    7.45,   10.93,   16.55,   23.23,   25.16,   23.65,   21.39,   15.00,   10.62,    7.80,   14.51
41.68468,14.59562,T2M,1983,    6.48,    4.42,    8.61,   12.45,   17.24,   19.71,   25.22,   23.02,   19.97,   14.72,    9.49,    6.75,   14.07
41.68468,14.59562,T2M,1984,    6.14,    5.03,    6.75,   10.10,   14.67,   19.33,   23.78,   22.03,   19.06,   14.61,   11.44,    7.42,   13.39
41.68468,14.59562,T2M,1985,    3.54,    5.30,    7.60,   11.43,   16.57,   20.45,   24.82,   24.48,   21.29,   15.27,   10.29,    8.32,   14.17
41.68468,14.59562,T2M,1986,    5.74,    4.68,    8.41,   11.81,   18.33,   19.31,   22.57,   24.88,   20.02,   15.78,   10.46,    5.78,   14.04
41.68468,14.59562,T2M,1987,    4.93,    5.93,    4.45,   11.31,   14.53,   20.35,   25.11,   24.38,   23.20,   16.79,   10.57,    7.65,   14.14
41.68468,14.59562,T2M,1988,    7.56,    6.18,    7.86,   11.80,   17.24,   20.62,   26.64,   25.40,   19.58,   16.70,    7.64,    5.90,   14.47
41.68468,14.59562,T2M,1989,    5.86,    7.56,   10.88,   12.66,   15.53,   19.07,   23.41,   23.54,   19.41,   13.31,    8.79,    7.36,   13.99
41.68468,14.59562,T2M,1990,    6.16,    8.70,   10.47,   11.20,   16.89,   21.50,   24.43,   23.06,   19.65,   17.06,   10.58,    5.31,   14.62
