-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  43.3263   Longitude 10.627 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 128.73 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.32629,10.627,T2M,1981,    4.21,    5.38,   10.80,   13.43,   16.35,   21.50,   23.12,   24.20,   20.75,   16.57,   10.09,    8.83,   14.66
43.32629,10.627,T2M,1982,    7.51,    6.36,    8.68,   11.91,   17.11,   22.39,   25.69,   24.02,   22.30,   15.93,   12.06,    9.14,   15.31
43.32629,10.627,T2M,1983,    8.28,    5.36,   10.09,   12.81,   16.28,   20.69,   26.16,   23.93,   20.93,   15.89,   10.48,    7.38,   14.92
43.32629,10.627,T2M,1984,    7.11,    5.59,    8.18,   11.64,   14.29,   19.35,   23.78,   22.88,   19.13,   15.38,   12.08,    8.09,   13.99
43.32629,10.627,T2M,1985,    4.25,    6.74,    8.81,   12.51,   16.34,   20.63,   25.32,   24.06,   22.19,   16.63,   10.33,    9.31,   14.81
43.32629,10.627,T2M,1986,    6.80,    4.94,    9.18,   12.15,   18.60,   20.21,   23.68,   24.94,   20.48,   16.99,   11.12,    7.16,   14.75
43.32629,10.627,T2M,1987,    5.60,    6.67,    6.62,   12.89,   15.62,   20.59,   25.13,   24.84,   22.78,   17.20,   11.36,    8.45,   14.86
43.32629,10.627,T2M,1988,    8.86,    7.85,    9.58,   12.95,   17.43,   19.92,   24.95,   24.97,   20.06,   17.90,    8.91,    7.17,   15.08
43.32629,10.627,T2M,1989,    6.16,    8.82,   12.01,   12.98,   17.11,   20.64,   24.13,   24.53,   19.43,   14.90,    9.71,    8.00,   14.91
43.32629,10.627,T2M,1990,    6.82,   10.25,   11.01,   12.30,   17.99,   21.40,   24.24,   24.13,   20.59,   17.60,   10.69,    5.49,   15.24
43.32629,10.627,T2M,1991,    6.20,    5.65,   11.44,   11.25,   13.90,   19.96,   25.09,   25.41,   21.83,   14.73,   10.57,    5.05,   14.31
43.32629,10.627,T2M,1992,    6.54,    7.33,    9.90,   12.64,   18.44,   19.78,   23.75,   25.68,   21.12,   16.14,   12.58,    7.83,   15.17
43.32629,10.627,T2M,1993,    6.54,    6.07,    8.49,   12.67,   18.08,   22.32,   23.42,   25.75,   20.36,   16.00,    9.58,    8.91,   14.91
43.32629,10.627,T2M,1994,    7.91,    6.89,   12.02,   12.21,   17.36,   21.12,   26.48,   26.62,   20.94,   15.68,   12.89,    8.99,   15.82
43.32629,10.627,T2M,1995,    6.02,    9.28,    9.09,   12.16,   16.43,   19.75,   25.75,   23.78,   19.05,   17.01,   10.87,    8.47,   14.84
43.32629,10.627,T2M,1996,    8.27,    5.82,    8.37,   13.15,   16.85,   21.73,   23.54,   23.76,   18.22,   15.09,   12.02,    7.61,   14.56
43.32629,10.627,T2M,1997,    8.09,    8.75,   10.72,   11.07,   17.68,   21.13,   23.39,   24.59,   21.78,   16.36,   11.64,    8.72,   15.37
43.32629,10.627,T2M,1998,    7.66,    8.28,    9.22,   12.82,   17.52,   22.00,   25.04,   25.12,   20.28,   15.80,    9.55,    6.19,   15.00
43.32629,10.627,T2M,1999,    7.34,    6.34,   10.50,   13.06,   18.58,   22.08,   24.58,   25.03,   21.78,   16.86,   10.32,    7.73,   15.41
43.32629,10.627,T2M,2000,    6.28,    8.36,   10.40,   13.32,   19.03,   22.62,   22.88,   25.01,   21.05,   16.75,   12.77,    9.92,   15.72
43.32629,10.627,T2M,2001,    8.19,    8.05,   12.58,   12.11,   18.17,   21.44,   24.29,   25.87,   19.19,   18.56,   11.10,    5.82,   15.50
43.32629,10.627,T2M,2002,    5.77,    9.45,   11.49,   13.39,   17.61,   23.41,   24.01,   23.42,   19.35,   16.56,   13.39,    9.04,   15.60
43.32629,10.627,T2M,2003,    6.71,    4.45,    9.78,   12.37,   19.58,   25.47,   26.46,   27.83,   20.70,   15.41,   12.53,    8.18,   15.86
43.32629,10.627,T2M,2004,    6.32,    8.13,    9.06,   12.66,   15.45,   21.49,   24.15,   24.60,   21.41,   18.11,   11.80,    8.88,   15.19
43.32629,10.627,T2M,2005,    5.73,    4.63,    9.06,   12.37,   18.54,   22.73,   24.76,   23.37,   20.63,   16.27,   11.05,    6.76,   14.72
43.32629,10.627,T2M,2006,    4.76,    6.81,    8.92,   13.60,   17.60,   21.44,   26.94,   23.31,   21.25,   17.59,   13.09,    9.57,   15.46
43.32629,10.627,T2M,2007,    9.57,    9.55,   10.60,   15.65,   18.62,   21.84,   24.59,   23.60,   20.12,   15.68,   10.43,    6.67,   15.61
43.32629,10.627,T2M,2008,    8.13,    7.86,    9.98,   13.25,   17.82,   21.87,   24.49,   25.18,   19.95,   17.38,   11.89,    7.97,   15.51
43.32629,10.627,T2M,2009,    6.35,    7.11,   10.15,   13.91,   18.92,   21.45,   24.83,   26.65,   22.03,   15.83,   12.48,    7.96,   15.69
43.32629,10.627,T2M,2010,    4.97,    7.35,    9.15,   13.14,   16.40,   20.96,   26.01,   23.59,   20.33,   15.23,   11.80,    6.86,   14.69
43.32629,10.627,T2M,2011,    6.34,    6.92,    9.21,   13.95,   18.20,   22.05,   23.38,   25.19,   22.81,   16.14,   11.55,    9.28,   15.46
43.32629,10.627,T2M,2012,    6.96,    3.74,   11.81,   13.40,   17.02,   23.02,   25.23,   26.81,   20.99,   17.32,   13.03,    7.44,   15.61
43.32629,10.627,T2M,2013,    7.13,    5.74,    9.52,   13.84,   15.85,   20.35,   25.38,   25.30,   21.48,   18.14,   12.04,    8.80,   15.36
43.32629,10.627,T2M,2014,    9.30,   10.28,   10.82,   13.95,   16.90,   22.35,   23.09,   23.08,   20.85,   17.90,   14.42,    9.26,   16.04
