-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  42.7126   Longitude 11.2281 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 175.55 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.71256,11.22806,T2M,1981,    4.15,    5.50,   10.84,   13.49,   16.24,   21.27,   22.73,   23.81,   20.54,   16.58,    9.61,    8.79,   14.52
42.71256,11.22806,T2M,1982,    7.93,    6.61,    8.63,   11.91,   16.91,   21.95,   25.20,   23.69,   22.13,   16.13,   12.16,    9.11,   15.25
42.71256,11.22806,T2M,1983,    7.85,    5.39,   10.04,   12.68,   16.35,   20.32,   25.73,   23.49,   20.56,   15.54,   10.64,    7.52,   14.74
42.71256,11.22806,T2M,1984,    7.20,    5.79,    8.18,   11.54,   14.46,   19.23,   23.41,   22.54,   19.10,   15.63,   12.56,    8.36,   14.03
42.71256,11.22806,T2M,1985,    4.50,    6.96,    8.83,   12.53,   16.53,   20.43,   24.98,   23.86,   22.30,   16.51,   10.53,    9.14,   14.80
42.71256,11.22806,T2M,1986,    6.90,    5.31,    9.45,   12.10,   18.59,   19.73,   23.17,   24.45,   20.20,   16.95,   11.19,    7.03,   14.65
42.71256,11.22806,T2M,1987,    5.84,    6.84,    6.41,   12.69,   15.20,   20.29,   24.70,   24.59,   22.88,   17.51,   11.28,    8.62,   14.78
42.71256,11.22806,T2M,1988,    8.88,    7.70,    9.45,   12.98,   17.49,   19.88,   24.81,   24.60,   19.89,   17.79,    8.97,    7.01,   14.99
42.71256,11.22806,T2M,1989,    6.19,    8.80,   12.03,   12.88,   16.89,   20.34,   23.75,   24.26,   19.49,   14.72,    9.87,    8.33,   14.84
42.71256,11.22806,T2M,1990,    6.91,   10.22,   11.09,   12.25,   17.75,   21.18,   24.21,   23.86,   20.40,   17.74,   10.93,    5.73,   15.22
42.71256,11.22806,T2M,1991,    6.47,    6.12,   11.54,   11.16,   13.75,   19.98,   24.90,   25.11,   21.61,   14.96,   10.72,    5.05,   14.33
42.71256,11.22806,T2M,1992,    6.58,    7.40,   10.00,   12.56,   18.27,   19.58,   23.52,   25.54,   21.06,   16.44,   12.84,    8.26,   15.20
42.71256,11.22806,T2M,1993,    6.78,    6.15,    8.44,   12.66,   18.10,   21.99,   23.12,   25.83,   20.26,   16.34,    9.90,    9.13,   14.95
42.71256,11.22806,T2M,1994,    8.08,    7.20,   12.03,   12.15,   17.31,   20.95,   26.10,   26.61,   21.22,   15.97,   12.89,    8.93,   15.84
42.71256,11.22806,T2M,1995,    6.08,    9.38,    9.10,   12.02,   16.40,   19.61,   25.41,   23.45,   18.83,   16.84,   10.80,    8.97,   14.78
42.71256,11.22806,T2M,1996,    8.60,    6.01,    8.47,   13.07,   16.76,   21.25,   23.09,   23.53,   17.98,   15.03,   12.24,    7.85,   14.52
42.71256,11.22806,T2M,1997,    8.58,    8.63,   10.61,   10.81,   17.46,   21.08,   23.10,   24.06,   21.73,   16.29,   11.76,    8.85,   15.29
42.71256,11.22806,T2M,1998,    7.75,    8.25,    9.08,   12.79,   17.28,   21.75,   24.67,   24.93,   20.04,   15.80,    9.64,    6.37,   14.90
42.71256,11.22806,T2M,1999,    7.24,    6.20,   10.18,   12.84,   18.56,   21.70,   23.87,   24.62,   21.54,   16.88,   10.64,    7.73,   15.22
42.71256,11.22806,T2M,2000,    6.09,    8.29,   10.27,   13.45,   18.82,   22.03,   22.52,   24.95,   20.81,   16.72,   12.67,   10.15,   15.59
42.71256,11.22806,T2M,2001,    8.61,    8.15,   12.50,   12.05,   18.34,   20.94,   23.97,   25.46,   18.93,   18.40,   11.33,    5.72,   15.42
42.71256,11.22806,T2M,2002,    5.48,    9.50,   11.41,   13.19,   17.51,   23.31,   23.73,   23.15,   19.14,   16.42,   13.33,    9.33,   15.49
42.71256,11.22806,T2M,2003,    6.89,    4.54,    9.68,   12.43,   19.18,   25.09,   26.21,   27.75,   20.34,   15.35,   12.77,    8.23,   15.78
42.71256,11.22806,T2M,2004,    6.28,    8.25,    9.15,   12.63,   15.38,   21.28,   23.82,   24.14,   21.05,   18.07,   11.97,    9.31,   15.13
42.71256,11.22806,T2M,2005,    5.56,    4.72,    9.12,   12.46,   18.31,   22.12,   24.34,   22.94,   20.70,   16.29,   11.27,    6.84,   14.62
42.71256,11.22806,T2M,2006,    5.06,    6.87,    8.94,   13.66,   17.59,   20.72,   26.36,   23.12,   21.19,   17.62,   12.97,    9.67,   15.36
42.71256,11.22806,T2M,2007,    9.62,    9.50,   10.62,   15.55,   18.33,   21.69,   24.37,   23.73,   19.96,   15.73,   10.44,    6.82,   15.56
42.71256,11.22806,T2M,2008,    8.26,    7.89,   10.04,   13.22,   17.61,   21.76,   24.36,   25.05,   19.67,   17.20,   12.06,    7.96,   15.45
