-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  39.8947   Longitude 18.2163 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 11.07 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
39.89474,18.21628,T2M,1981,    9.82,   10.88,   13.61,   15.47,   18.40,   23.27,   24.82,   25.76,   23.85,   21.29,   14.69,   13.52,   17.99
39.89474,18.21628,T2M,1982,   12.30,   11.16,   12.61,   14.47,   17.96,   23.26,   25.77,   25.98,   24.95,   21.10,   16.73,   13.79,   18.38
39.89474,18.21628,T2M,1983,   12.50,   10.76,   12.89,   15.40,   19.22,   21.55,   25.56,   25.52,   23.26,   19.70,   15.72,   12.89,   17.96
39.89474,18.21628,T2M,1984,   12.05,   11.28,   12.20,   14.28,   17.56,   21.00,   24.45,   24.67,   23.08,   20.09,   16.87,   13.44,   17.60
39.89474,18.21628,T2M,1985,   11.24,   11.10,   13.05,   15.07,   19.16,   22.82,   25.26,   25.80,   23.66,   19.98,   16.89,   14.40,   18.25
39.89474,18.21628,T2M,1986,   12.23,   11.55,   13.23,   15.41,   19.61,   22.58,   24.73,   26.70,   23.90,   20.51,   16.37,   12.69,   18.33
39.89474,18.21628,T2M,1987,   11.51,   12.03,   10.22,   14.75,   16.84,   21.40,   25.93,   25.91,   25.21,   20.97,   16.44,   13.68,   17.94
39.89474,18.21628,T2M,1988,   13.41,   12.07,   12.53,   14.69,   18.77,   22.39,   26.95,   26.75,   23.31,   20.51,   14.21,   12.13,   18.17
39.89474,18.21628,T2M,1989,   11.57,   12.53,   14.12,   15.55,   17.58,   21.26,   25.05,   25.22,   23.20,   18.51,   15.56,   13.25,   17.81
39.89474,18.21628,T2M,1990,   11.96,   13.15,   14.15,   15.26,   18.65,   21.88,   25.19,   25.35,   22.94,   21.07,   17.18,   12.16,   18.28
