-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  44.135   Longitude 11.8473 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 293.78 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.13498,11.84733,T2M,1981,    0.87,    2.45,    8.93,   11.71,   15.43,   20.37,   22.00,   22.58,   18.92,   14.11,    6.79,    4.73,   12.47
44.13498,11.84733,T2M,1982,    3.59,    2.89,    6.16,   10.37,   16.38,   22.40,   24.77,   22.79,   20.52,   13.59,    9.41,    5.88,   13.29
44.13498,11.84733,T2M,1983,    4.93,    2.01,    7.92,   11.39,   15.56,   20.07,   26.27,   22.75,   19.48,   13.73,    7.22,    4.06,   13.02
44.13498,11.84733,T2M,1984,    3.59,    2.56,    5.44,    9.93,   12.79,   18.56,   23.45,   21.38,   17.64,   13.16,    9.11,    5.01,   11.92
44.13498,11.84733,T2M,1985,    0.27,    3.11,    6.40,   10.66,   15.41,   19.70,   24.86,   24.21,   20.93,   14.55,    7.07,    5.92,   12.82
44.13498,11.84733,T2M,1986,    3.19,    1.32,    5.97,   10.80,   18.04,   19.18,   21.96,   23.70,   18.43,   14.30,    8.03,    3.40,   12.43
44.13498,11.84733,T2M,1987,    1.23,    3.61,    3.68,   11.34,   14.41,   19.89,   24.46,   23.51,   22.08,   14.56,    8.40,    5.04,   12.73
44.13498,11.84733,T2M,1988,    5.77,    4.72,    7.12,   11.55,   16.14,   18.96,   24.88,   24.51,   18.91,   15.54,    5.21,    3.78,   13.13
44.13498,11.84733,T2M,1989,    2.80,    5.92,   10.22,   11.59,   16.04,   19.38,   22.32,   22.68,   17.58,   12.48,    6.56,    4.84,   12.75
44.13498,11.84733,T2M,1990,    3.52,    7.35,    9.65,   10.45,   17.13,   20.76,   23.41,   22.96,   18.77,   14.96,    7.96,    2.48,   13.32
