-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  43.5643   Longitude 13.5262 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 18.36 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.56425,13.52619,T2M,1981,    7.62,    7.76,   11.34,   13.36,   17.55,   21.28,   23.73,   24.23,   21.69,   18.46,   12.39,   10.81,   15.90
43.56425,13.52619,T2M,1982,    9.74,    8.24,   10.16,   12.50,   16.92,   22.42,   24.78,   24.38,   22.74,   18.56,   15.01,   11.89,   16.49
43.56425,13.52619,T2M,1983,   10.81,    8.01,   11.13,   13.57,   17.58,   20.65,   24.99,   24.14,   21.68,   17.46,   12.80,   10.08,   16.13
43.56425,13.52619,T2M,1984,    9.70,    8.22,    9.54,   12.57,   15.16,   19.76,   23.75,   23.45,   20.96,   17.61,   15.17,   11.59,   15.65
43.56425,13.52619,T2M,1985,    7.56,    7.83,   10.10,   12.95,   16.97,   20.67,   24.49,   24.35,   22.11,   18.04,   12.67,   11.64,   15.83
43.56425,13.52619,T2M,1986,    9.66,    7.19,   10.36,   12.99,   19.04,   20.42,   23.21,   25.20,   20.85,   17.59,   12.94,   10.30,   15.87
43.56425,13.52619,T2M,1987,    7.79,    8.90,    7.39,   12.87,   15.91,   20.62,   24.72,   24.31,   23.54,   18.58,   14.06,   11.42,   15.88
43.56425,13.52619,T2M,1988,   11.31,   10.08,   11.08,   13.47,   17.51,   20.87,   25.63,   24.98,   20.99,   18.55,   11.53,    9.90,   16.36
43.56425,13.52619,T2M,1989,    8.87,   10.02,   12.00,   13.95,   16.97,   20.28,   23.41,   23.75,   20.37,   15.89,   12.37,   10.84,   15.76
43.56425,13.52619,T2M,1990,    9.76,   10.72,   12.26,   13.07,   18.21,   20.92,   23.80,   23.82,   20.84,   18.16,   13.78,    9.38,   16.26
43.56425,13.52619,T2M,1991,    9.28,    7.71,   11.95,   12.23,   14.49,   20.16,   23.84,   24.74,   22.40,   16.76,   13.37,    9.00,   15.54
43.56425,13.52619,T2M,1992,    8.87,    8.82,   10.58,   13.16,   17.27,   20.40,   23.36,   26.40,   22.49,   18.33,   15.10,   11.28,   16.36
43.56425,13.52619,T2M,1993,    8.97,    8.53,    9.18,   12.89,   18.89,   22.59,   23.47,   25.27,   21.22,   18.33,   12.80,   11.86,   16.22
43.56425,13.52619,T2M,1994,   10.64,    9.06,   12.62,   12.99,   17.34,   21.32,   25.65,   26.96,   22.49,   17.26,   14.62,   11.45,   16.92
43.56425,13.52619,T2M,1995,    8.88,   10.91,   10.38,   12.46,   16.67,   20.29,   25.13,   23.99,   19.88,   18.23,   12.80,   11.45,   15.96
43.56425,13.52619,T2M,1996,   10.30,    7.90,    9.16,   13.35,   17.53,   21.82,   22.80,   24.01,   19.08,   16.71,   13.92,   10.60,   15.62
43.56425,13.52619,T2M,1997,   10.52,   10.11,   11.59,   11.19,   17.20,   21.59,   23.71,   24.40,   22.72,   17.32,   13.26,   11.41,   16.29
43.56425,13.52619,T2M,1998,    9.81,   10.28,   10.09,   13.44,   17.34,   22.47,   25.48,   25.62,   20.99,   18.02,   12.47,    9.93,   16.37
43.56425,13.52619,T2M,1999,   10.00,    8.22,   10.51,   13.30,   18.04,   22.13,   23.81,   24.54,   22.14,   17.84,   13.26,   10.41,   16.23
43.56425,13.52619,T2M,2000,    8.88,   10.00,   10.89,   14.04,   19.53,   22.84,   23.50,   25.07,   21.74,   18.31,   15.48,   12.75,   16.94
43.56425,13.52619,T2M,2001,   10.79,   10.19,   13.34,   13.46,   18.43,   20.96,   24.47,   25.81,   20.63,   19.08,   13.19,    8.30,   16.60
43.56425,13.52619,T2M,2002,    7.80,    9.94,   12.10,   13.43,   17.96,   23.00,   24.21,   24.20,   20.84,   18.27,   15.42,   11.46,   16.59
43.56425,13.52619,T2M,2003,    9.35,    7.35,   10.87,   12.78,   18.99,   25.10,   26.31,   27.70,   20.85,   16.76,   14.47,   11.42,   16.89
43.56425,13.52619,T2M,2004,    8.70,    9.06,   10.03,   13.35,   16.22,   21.09,   24.31,   25.14,   21.96,   18.91,   14.61,   12.50,   16.35
43.56425,13.52619,T2M,2005,    8.95,    7.37,    9.97,   12.98,   17.87,   21.58,   24.67,   23.16,   21.78,   17.44,   13.61,   10.15,   15.85
43.56425,13.52619,T2M,2006,    8.71,    8.65,    9.54,   13.54,   17.84,   21.48,   25.32,   23.66,   22.21,   19.00,   14.48,   11.99,   16.41
43.56425,13.52619,T2M,2007,   11.22,   11.14,   12.03,   15.42,   19.42,   23.10,   25.65,   24.48,   20.72,   16.68,   12.33,   10.04,   16.89
43.56425,13.52619,T2M,2008,   10.27,    9.41,   11.05,   13.78,   18.09,   22.30,   25.56,   25.63,   21.01,   18.03,   14.31,   11.05,   16.74
43.56425,13.52619,T2M,2009,    9.62,    9.13,   10.96,   14.21,   19.56,   21.41,   25.22,   26.24,   22.98,   17.57,   13.97,   10.92,   16.86
43.56425,13.52619,T2M,2010,    8.80,    9.23,   10.46,   13.51,   17.36,   21.76,   25.48,   24.55,   21.41,   16.95,   14.11,   10.02,   16.18
43.56425,13.52619,T2M,2011,    9.05,    9.28,   10.58,   14.71,   17.90,   22.54,   24.44,   25.90,   24.49,   17.56,   14.04,   11.91,   16.90
43.56425,13.52619,T2M,2012,    9.75,    6.42,   12.11,   13.44,   17.39,   23.47,   26.68,   26.65,   22.15,   19.04,   16.04,   10.67,   17.02
43.56425,13.52619,T2M,2013,   10.09,    8.62,   10.47,   14.10,   17.34,   21.80,   25.51,   25.75,   22.22,   18.52,   14.77,   11.79,   16.80
43.56425,13.52619,T2M,2014,   11.39,   12.01,   12.43,   14.53,   17.43,   22.21,   23.76,   24.62,   21.09,   19.04,   15.99,   11.73,   17.21
43.56425,13.52619,T2M,2015,   10.48,    9.82,   11.17,   13.36,   18.33,   22.82,   27.33,   25.77,   22.37,   17.51,   14.00,   11.38,   17.07
43.56425,13.52619,T2M,2016,   10.34,   11.45,   11.32,   14.38,   17.20,   21.94,   25.62,   24.54,   22.48,   17.42,   14.26,   11.83,   16.91
43.56425,13.52619,T2M,2017,    7.71,   10.58,   12.19,   14.10,   17.90,   23.89,   25.72,   26.88,   21.63,   18.13,   13.92,   10.51,   16.97
43.56425,13.52619,T2M,2018,   11.10,    8.03,   10.18,   15.30,   19.90,   23.41,   25.63,   26.74,   23.11,   19.01,   14.96,   11.44,   17.46
43.56425,13.52619,T2M,2019,    8.85,   10.39,   11.97,   13.84,   15.78,   23.73,   26.11,   26.60,   22.77,   19.04,   16.20,   12.65,   17.36
43.56425,13.52619,RH2M,1981,   68.87,   74.04,   82.62,   76.80,   71.71,   71.16,   66.42,   67.48,   73.72,   74.19,   70.42,   75.31,   72.72
43.56425,13.52619,RH2M,1982,   74.05,   71.74,   72.36,   74.38,   79.21,   72.45,   68.37,   67.79,   75.09,   70.38,   74.85,   75.25,   72.99
43.56425,13.52619,RH2M,1983,   75.19,   70.80,   77.25,   79.04,   75.96,   70.50,   69.21,   66.49,   68.68,   69.53,   72.03,   75.30,   72.51
43.56425,13.52619,RH2M,1984,   72.03,   73.65,   72.85,   76.25,   80.93,   70.93,   61.56,   64.88,   68.78,   75.53,   75.28,   75.81,   72.36
43.56425,13.52619,RH2M,1985,   76.39,   75.29,   81.73,   75.94,   79.93,   70.83,   67.20,   66.51,   67.22,   70.67,   76.26,   79.74,   73.98
43.56425,13.52619,RH2M,1986,   71.59,   80.28,   77.30,   82.03,   77.55,   74.04,   68.66,   66.53,   69.05,   70.21,   77.08,   70.67,   73.68
43.56425,13.52619,RH2M,1987,   75.61,   77.55,   70.30,   75.56,   72.17,   70.69,   69.79,   67.52,   72.83,   78.02,   74.12,   77.35,   73.43
43.56425,13.52619,RH2M,1988,   78.74,   71.46,   70.52,   78.54,   81.79,   73.31,   68.48,   67.35,   70.76,   77.94,   70.84,   73.92,   73.65
43.56425,13.52619,RH2M,1989,   74.11,   77.25,   77.76,   77.91,   74.34,   71.05,   73.99,   72.68,   76.50,   73.57,   71.99,   75.84,   74.73
43.56425,13.52619,RH2M,1990,   76.35,   80.93,   73.78,   74.90,   74.44,   73.89,   67.03,   67.87,   68.33,   80.63,   73.73,   75.87,   73.94
43.56425,13.52619,RH2M,1991,   73.97,   76.83,   84.09,   76.31,   74.25,   75.78,   73.07,   67.78,   70.23,   72.16,   76.56,   69.45,   74.18
43.56425,13.52619,RH2M,1992,   79.69,   78.15,   75.79,   79.08,   78.22,   76.23,   72.76,   69.56,   67.69,   76.79,   77.34,   75.56,   75.56
43.56425,13.52619,RH2M,1993,   78.68,   68.67,   74.41,   82.19,   77.50,   70.24,   66.84,   67.67,   72.97,   76.85,   79.93,   76.07,   74.36
43.56425,13.52619,RH2M,1994,   76.37,   79.67,   77.76,   78.95,   78.23,   74.21,   71.58,   66.42,   74.28,   75.33,   79.68,   77.40,   75.78
43.56425,13.52619,RH2M,1995,   73.47,   76.15,   70.42,   78.01,   76.21,   73.60,   71.88,   68.27,   73.88,   76.68,   74.14,   81.34,   74.49
43.56425,13.52619,RH2M,1996,   80.25,   73.02,   74.49,   79.82,   79.07,   70.26,   68.46,   70.23,   72.85,   77.56,   81.75,   80.16,   75.67
43.56425,13.52619,RH2M,1997,   79.83,   72.94,   72.08,   69.21,   74.83,   78.35,   69.43,   69.19,   66.99,   72.88,   81.93,   76.78,   73.70
43.56425,13.52619,RH2M,1998,   77.12,   76.08,   70.75,   78.64,   76.00,   72.28,   66.68,   68.17,   74.40,   72.83,   74.51,   73.12,   73.34
43.56425,13.52619,RH2M,1999,   76.48,   71.51,   79.93,   82.07,   81.25,   73.71,   72.42,   72.09,   76.25,   77.71,   76.58,   75.16,   76.29
43.56425,13.52619,RH2M,2000,   74.19,   72.51,   75.81,   82.21,   78.55,   68.95,   66.18,   68.89,   70.90,   80.27,   76.25,   77.38,   74.35
43.56425,13.52619,RH2M,2001,   81.26,   75.07,   81.59,   72.83,   80.18,   71.29,   69.77,   67.93,   69.03,   80.53,   72.72,   73.01,   74.63
43.56425,13.52619,RH2M,2002,   77.21,   83.60,   76.98,   79.89,   80.87,   71.98,   72.74,   73.93,   72.53,   74.87,   82.29,   81.23,   77.30
43.56425,13.52619,RH2M,2003,   76.91,   66.91,   72.16,   77.22,   75.58,   73.51,   64.00,   66.89,   69.40,   74.28,   81.02,   74.61,   72.73
43.56425,13.52619,RH2M,2004,   73.94,   78.64,   78.03,   83.38,   74.93,   75.73,   68.58,   69.68,   69.99,   83.66,   75.86,   75.50,   75.64
43.56425,13.52619,RH2M,2005,   74.38,   71.27,   78.21,   75.88,   78.52,   72.49,   70.19,   73.15,   75.51,   79.03,   79.37,   75.73,   75.34
43.56425,13.52619,RH2M,2006,   75.15,   75.72,   77.78,   82.06,   78.47,   71.43,   70.10,   70.89,   72.85,   75.26,   76.88,   76.89,   75.28
