-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  43.9459   Longitude 12.4583 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 392.98 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.94587,12.45832,T2M,1981,    1.13,    2.59,    8.69,   11.20,   14.93,   19.80,   21.46,   22.10,   18.69,   14.15,    6.71,    5.20,   12.28
43.94587,12.45832,T2M,1982,    4.29,    3.03,    5.74,    9.67,   15.42,   21.53,   24.14,   22.34,   20.07,   13.42,    9.51,    6.13,   13.00
43.94587,12.45832,T2M,1983,    4.77,    2.03,    7.55,   10.87,   14.91,   19.11,   25.25,   22.10,   18.95,   13.43,    7.65,    4.40,   12.65
43.94587,12.45832,T2M,1984,    3.92,    2.61,    5.15,    9.21,   12.37,   17.66,   22.75,   20.93,   17.31,   12.89,    9.65,    5.65,   11.70
43.94587,12.45832,T2M,1985,    1.12,    3.17,    6.27,   10.26,   15.00,   19.23,   24.47,   23.70,   20.49,   14.25,    7.46,    6.29,   12.70
43.94587,12.45832,T2M,1986,    3.60,    1.88,    6.03,   10.33,   17.21,   18.05,   21.34,   23.31,   18.12,   14.13,    8.13,    3.58,   12.21
43.94587,12.45832,T2M,1987,    1.82,    3.80,    3.28,   10.52,   13.75,   19.32,   23.90,   23.06,   21.68,   14.71,    8.43,    5.58,   12.53
43.94587,12.45832,T2M,1988,    6.01,    4.61,    6.74,   10.94,   15.40,   18.14,   24.46,   23.98,   18.46,   15.38,    5.50,    4.08,   12.85
43.94587,12.45832,T2M,1989,    3.05,    5.93,    9.78,   11.15,   15.14,   18.65,   21.75,   22.16,   17.41,   12.09,    6.86,    5.65,   12.51
43.94587,12.45832,T2M,1990,    4.05,    7.27,    9.17,    9.85,   16.34,   20.32,   22.96,   22.44,   18.37,   15.17,    8.19,    3.07,   13.14
43.94587,12.45832,T2M,1991,    3.63,    2.52,    9.01,    8.82,   11.58,   18.79,   23.93,   23.95,   19.74,   12.19,    7.94,    2.04,   12.07
43.94587,12.45832,T2M,1992,    3.31,    4.39,    7.29,   10.70,   15.52,   17.97,   22.04,   25.31,   19.62,   13.73,    9.82,    5.28,   12.94
43.94587,12.45832,T2M,1993,    3.53,    3.04,    6.11,   10.73,   16.51,   21.10,   22.67,   24.63,   18.17,   13.71,    7.08,    6.08,   12.84
43.94587,12.45832,T2M,1994,    5.13,    3.91,   10.08,    9.85,   15.92,   20.12,   24.47,   25.96,   19.37,   12.97,   10.05,    6.07,   13.72
43.94587,12.45832,T2M,1995,    3.14,    6.51,    6.07,   10.25,   14.87,   18.04,   24.05,   21.10,   16.65,   14.24,    7.57,    6.00,   12.41
43.94587,12.45832,T2M,1996,    5.42,    2.62,    5.49,   11.11,   15.28,   20.36,   21.55,   21.85,   15.07,   12.47,    9.05,    5.13,   12.15
43.94587,12.45832,T2M,1997,    5.15,    5.54,    8.22,    8.15,   15.70,   20.29,   22.62,   22.63,   20.18,   13.77,    9.12,    5.89,   13.15
43.94587,12.45832,T2M,1998,    4.71,    5.79,    6.52,   10.99,   15.38,   21.54,   24.94,   24.78,   18.35,   13.38,    7.00,    3.31,   13.10
43.94587,12.45832,T2M,1999,    4.17,    2.82,    7.55,   11.05,   16.95,   20.72,   22.49,   24.02,   19.65,   14.32,    7.39,    4.44,   13.03
43.94587,12.45832,T2M,2000,    2.79,    5.05,    7.74,   12.24,   17.92,   21.36,   21.87,   24.76,   18.89,   14.40,   10.03,    7.03,   13.70
43.94587,12.45832,T2M,2001,    5.67,    5.09,   10.43,    9.99,   16.40,   19.81,   23.77,   24.88,   16.80,   16.09,    7.76,    2.29,   13.31
43.94587,12.45832,T2M,2002,    2.34,    6.64,    8.99,   10.95,   16.41,   22.43,   22.93,   21.88,   16.84,   13.81,   10.72,    6.41,   13.40
43.94587,12.45832,T2M,2003,    3.46,    1.43,    7.15,   10.04,   17.91,   24.82,   25.81,   26.93,   17.85,   12.70,    9.86,    5.35,   13.69
43.94587,12.45832,T2M,2004,    3.09,    4.77,    6.35,   10.71,   13.20,   19.49,   23.63,   23.67,   19.00,   16.13,    8.90,    6.09,   12.95
43.94587,12.45832,T2M,2005,    2.52,    1.26,    6.63,   10.06,   16.36,   20.83,   23.93,   21.35,   18.40,   13.40,    7.97,    3.49,   12.25
43.94587,12.45832,T2M,2006,    1.99,    3.89,    5.91,   11.74,   15.62,   20.22,   24.48,   21.42,   19.59,   14.99,    9.92,    6.42,   13.06
43.94587,12.45832,T2M,2007,    6.85,    7.01,    8.52,   13.65,   17.45,   21.44,   25.21,   22.78,   17.47,   12.90,    7.08,    3.74,   13.72
43.94587,12.45832,T2M,2008,    5.37,    4.99,    7.53,   11.17,   15.92,   20.64,   24.05,   24.36,   17.82,   15.02,    8.93,    4.85,   13.42
43.94587,12.45832,T2M,2009,    3.57,    4.04,    7.42,   12.10,   17.53,   19.55,   24.03,   25.25,   19.71,   13.07,    9.32,    4.83,   13.42
43.94587,12.45832,T2M,2010,    2.19,    4.28,    6.57,   10.74,   14.68,   19.37,   24.29,   22.47,   17.89,   12.27,    8.93,    3.59,   12.32
43.94587,12.45832,T2M,2011,    3.60,    4.17,    6.69,   12.31,   16.08,   20.85,   22.49,   25.03,   21.99,   13.36,    8.51,    5.91,   13.46
43.94587,12.45832,T2M,2012,    3.46,    0.15,    9.48,   11.13,   15.49,   23.03,   25.55,   25.98,   18.68,   14.78,   10.57,    4.08,   13.58
43.94587,12.45832,T2M,2013,    4.22,    2.62,    6.80,   12.05,   14.23,   19.34,   23.74,   23.94,   19.46,   15.34,    9.49,    5.56,   13.13
43.94587,12.45832,T2M,2014,    6.33,    7.72,    8.65,   12.00,   15.15,   20.67,   21.80,   22.08,   17.86,   15.28,   11.46,    6.14,   13.79
43.94587,12.45832,T2M,2015,    4.54,    4.32,    7.42,   10.79,   16.23,   20.64,   26.89,   24.10,   19.00,   13.38,    9.54,    6.40,   13.67
