-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  45.4202   Longitude 11.2477 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 139.23 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.42024,11.24773,T2M,1981,    0.71,    2.60,    9.42,   12.32,   16.14,   21.31,   22.62,   23.09,   19.34,   13.67,    6.64,    2.66,   12.60
45.42024,11.24773,T2M,1982,    2.07,    2.64,    7.01,   11.42,   17.48,   23.01,   25.42,   23.34,   21.04,   13.74,    8.81,    4.91,   13.47
45.42024,11.24773,T2M,1983,    4.81,    1.77,    8.33,   12.05,   16.12,   21.12,   27.26,   23.83,   19.92,   14.24,    6.49,    3.15,   13.33
45.42024,11.24773,T2M,1984,    2.70,    2.86,    5.94,   10.81,   13.41,   19.27,   23.95,   21.90,   18.00,   13.50,    7.83,    4.10,   12.05
45.42024,11.24773,T2M,1985,   -1.50,    2.42,    6.47,   11.35,   16.02,   19.78,   25.08,   24.78,   22.08,   15.02,    5.87,    4.70,   12.73
45.42024,11.24773,T2M,1986,    1.92,    0.20,    6.09,   11.08,   19.00,   20.15,   22.66,   24.29,   19.33,   14.59,    7.97,    2.84,   12.59
45.42024,11.24773,T2M,1987,    0.03,    3.26,    4.14,   12.06,   15.13,   20.48,   25.06,   24.01,   22.45,   13.86,    8.05,    3.94,   12.75
45.42024,11.24773,T2M,1988,    4.51,    4.54,    7.52,   12.12,   17.00,   19.51,   25.17,   25.27,   19.87,   15.47,    4.58,    3.17,   13.27
45.42024,11.24773,T2M,1989,    2.48,    5.73,   10.77,   12.06,   17.41,   20.21,   23.04,   23.51,   18.22,   12.93,    6.24,    3.34,   13.04
45.42024,11.24773,T2M,1990,    2.80,    6.99,   10.58,   11.20,   18.60,   21.30,   24.31,   24.15,   19.42,   14.37,    7.37,    1.22,   13.57
45.42024,11.24773,T2M,1991,    2.08,    1.53,   10.08,   10.55,   13.39,   20.16,   25.48,   25.31,   21.15,   12.16,    6.74,    1.40,   12.57
45.42024,11.24773,T2M,1992,    2.31,    4.50,    8.25,   12.13,   18.48,   20.19,   24.07,   26.59,   19.99,   12.20,    8.29,    3.18,   13.38
45.42024,11.24773,T2M,1993,    2.89,    3.34,    7.00,   12.09,   18.63,   22.85,   23.77,   25.88,   18.53,   13.00,    5.78,    4.19,   13.23
45.42024,11.24773,T2M,1994,    4.35,    3.53,   10.94,   11.49,   17.26,   21.50,   26.48,   26.88,   18.85,   12.42,    9.64,    4.38,   14.05
45.42024,11.24773,T2M,1995,    1.86,    5.69,    6.70,   12.03,   16.50,   19.13,   25.63,   22.83,   17.34,   14.78,    6.94,    3.56,   12.80
45.42024,11.24773,T2M,1996,    3.27,    1.94,    5.54,   12.34,   16.93,   21.98,   23.12,   22.87,   16.05,   13.12,    8.37,    2.88,   12.40
45.42024,11.24773,T2M,1997,    3.12,    5.66,    9.71,   10.58,   17.68,   21.19,   23.76,   24.13,   21.46,   14.27,    8.22,    4.36,   13.73
45.42024,11.24773,T2M,1998,    3.09,    6.84,    7.93,   12.00,   17.58,   22.86,   25.83,   26.32,   18.91,   13.69,    6.11,    2.28,   13.66
45.42024,11.24773,T2M,1999,    3.46,    3.26,    8.72,   12.78,   18.38,   21.37,   24.33,   24.19,   21.14,   14.36,    6.34,    2.56,   13.47
45.42024,11.24773,T2M,2000,    1.74,    5.48,    8.75,   13.61,   19.25,   23.39,   23.36,   25.18,   19.89,   14.28,    8.90,    5.19,   14.11
45.42024,11.24773,T2M,2001,    3.40,    5.30,    9.78,   11.25,   18.59,   21.39,   24.92,   26.19,   17.46,   16.86,    7.09,    1.38,   13.70
45.42024,11.24773,T2M,2002,    2.01,    6.21,   10.40,   12.12,   17.59,   23.62,   24.13,   22.90,   18.12,   14.23,   10.50,    4.75,   13.92
45.42024,11.24773,T2M,2003,    2.52,    1.37,    8.58,   11.00,   19.70,   26.69,   26.92,   29.04,   19.33,   11.98,    8.93,    4.30,   14.28
45.42024,11.24773,T2M,2004,    1.68,    3.83,    6.62,   12.06,   15.24,   21.35,   24.66,   24.86,   20.22,   15.64,    8.39,    4.32,   13.26
45.42024,11.24773,T2M,2005,    2.03,    1.66,    7.48,   11.48,   18.42,   23.35,   25.20,   22.62,   19.80,   13.27,    6.61,    1.65,   12.86
45.42024,11.24773,T2M,2006,    0.50,    3.36,    6.20,   12.88,   17.47,   23.00,   27.32,   21.66,   20.69,   15.78,    9.36,    5.04,   13.66
45.42024,11.24773,T2M,2007,    5.54,    7.02,    9.57,   15.95,   19.54,   22.16,   26.07,   23.89,   18.80,   13.42,    7.05,    3.20,   14.39
45.42024,11.24773,T2M,2008,    4.53,    5.16,    8.27,   12.40,   17.66,   21.98,   24.80,   25.39,   18.74,   15.51,    8.33,    3.31,   13.87
45.42024,11.24773,T2M,2009,    1.67,    3.94,    8.17,   13.61,   19.43,   21.73,   25.01,   26.68,   21.24,   13.90,    8.59,    2.44,   13.92
45.42024,11.24773,T2M,2010,    0.44,    3.20,    7.13,   12.54,   16.63,   21.39,   25.51,   23.20,   18.43,   12.22,    8.42,    1.13,   12.57
45.42024,11.24773,T2M,2011,    1.56,    4.86,    8.00,   14.57,   18.88,   22.06,   23.70,   26.53,   22.84,   14.01,    7.99,    4.12,   14.14
45.42024,11.24773,T2M,2012,    2.25,    1.39,   11.51,   12.26,   18.02,   24.40,   27.19,   27.72,   19.87,   14.41,    9.51,    2.29,   14.28
45.42024,11.24773,T2M,2013,    2.81,    2.49,    6.25,   12.62,   15.42,   20.49,   25.28,   25.18,   20.41,   14.91,    8.61,    5.06,   13.36
45.42024,11.24773,T2M,2014,    5.56,    6.74,   10.31,   14.02,   16.83,   22.38,   23.00,   22.31,   18.91,   15.67,   11.02,    5.40,   14.38
45.42024,11.24773,T2M,2015,    4.10,    4.09,    8.53,   12.60,   18.14,   22.94,   28.41,   25.88,   19.94,   13.65,    9.11,    5.82,   14.50
45.42024,11.24773,T2M,2016,    3.48,    6.25,    8.36,   13.34,   16.44,   21.16,   25.84,   24.01,   21.73,   13.25,    8.24,    4.29,   13.88
45.42024,11.24773,T2M,2017,    0.41,    5.92,   11.07,   13.49,   18.41,   24.83,   26.29,   26.98,   17.83,   14.66,    7.67,    3.22,   14.28
