-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  42.657   Longitude 11.6466 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 299.41 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.65701,11.64656,T2M,1981,    2.02,    4.00,    9.89,   12.82,   15.83,   21.08,   22.39,   23.33,   19.74,   15.37,    7.51,    6.73,   13.45
42.65701,11.64656,T2M,1982,    6.27,    4.77,    7.11,   10.96,   16.38,   21.80,   25.15,   23.45,   21.52,   14.71,   10.52,    7.29,   14.21
42.65701,11.64656,T2M,1983,    5.70,    3.52,    8.78,   11.81,   15.77,   20.00,   25.87,   23.01,   19.70,   14.28,    9.09,    5.79,   13.68
42.65701,11.64656,T2M,1984,    5.37,    4.20,    6.71,   10.50,   13.73,   18.81,   23.37,   21.96,   18.16,   14.30,   11.11,    6.63,   12.93
42.65701,11.64656,T2M,1985,    2.62,    5.28,    7.54,   11.61,   16.18,   20.14,   25.26,   23.99,   22.15,   15.44,    9.11,    7.53,   13.96
42.65701,11.64656,T2M,1986,    5.11,    3.73,    8.06,   11.24,   18.17,   19.05,   22.65,   24.05,   19.44,   15.81,    9.60,    4.87,   13.55
42.65701,11.64656,T2M,1987,    3.98,    5.38,    4.76,   11.66,   14.53,   19.95,   24.58,   24.33,   22.63,   16.30,    9.64,    6.87,   13.76
42.65701,11.64656,T2M,1988,    7.18,    5.99,    7.97,   12.18,   16.81,   19.34,   24.93,   24.59,   19.35,   16.87,    7.07,    5.04,   13.98
42.65701,11.64656,T2M,1989,    4.45,    7.38,   11.04,   11.88,   16.13,   19.69,   23.36,   23.96,   18.90,   13.32,    8.34,    6.80,   13.81
42.65701,11.64656,T2M,1990,    5.20,    8.84,   10.07,   11.14,   17.26,   21.04,   24.27,   23.48,   19.64,   16.80,    9.42,    4.07,   14.30
42.65701,11.64656,T2M,1991,    4.78,    4.52,   10.46,    9.96,   12.64,   19.72,   24.97,   25.07,   20.85,   13.58,    9.08,    2.76,   13.25
42.65701,11.64656,T2M,1992,    4.84,    5.75,    8.66,   11.71,   17.49,   18.85,   23.25,   25.73,   20.66,   15.24,   11.32,    6.60,   14.21
42.65701,11.64656,T2M,1993,    4.98,    4.39,    7.21,   11.88,   17.62,   21.92,   23.21,   26.02,   19.46,   15.14,    8.39,    7.52,   14.04
42.65701,11.64656,T2M,1994,    6.49,    5.68,   11.14,   11.04,   16.89,   20.80,   25.96,   26.68,   20.70,   14.77,   11.34,    7.25,   14.96
42.65701,11.64656,T2M,1995,    4.21,    7.92,    7.55,   11.13,   15.80,   19.21,   25.48,   22.62,   17.82,   15.53,    8.88,    7.66,   13.69
42.65701,11.64656,T2M,1996,    6.93,    4.31,    7.14,   12.23,   16.15,   20.96,   22.84,   23.03,   16.67,   13.60,   10.74,    6.25,   13.44
42.65701,11.64656,T2M,1997,    7.05,    7.02,    9.29,    9.42,   16.92,   20.91,   23.18,   23.63,   21.32,   15.12,   10.28,    7.14,   14.32
42.65701,11.64656,T2M,1998,    6.01,    6.79,    7.70,   11.92,   16.55,   21.83,   24.93,   25.13,   19.28,   14.51,    8.04,    4.57,   13.98
42.65701,11.64656,T2M,1999,    5.36,    4.29,    8.86,   11.91,   18.30,   21.52,   23.45,   24.63,   20.73,   15.76,    9.05,    5.89,   14.21
42.65701,11.64656,T2M,2000,    4.03,    6.54,    8.98,   12.90,   18.54,   21.74,   22.44,   25.33,   19.99,   15.53,   11.11,    8.41,   14.65
42.65701,11.64656,T2M,2001,    7.15,    6.50,   11.50,   10.99,   17.71,   20.58,   24.10,   25.52,   18.00,   17.42,    9.68,    3.62,   14.46
42.65701,11.64656,T2M,2002,    3.51,    8.21,   10.35,   12.42,   17.19,   23.44,   23.65,   22.68,   17.89,   14.97,   11.88,    7.83,   14.53
42.65701,11.64656,T2M,2003,    5.24,    2.73,    8.44,   11.40,   18.87,   25.22,   26.34,   27.67,   19.40,   14.14,   11.37,    6.37,   14.84
42.65701,11.64656,T2M,2004,    4.42,    6.57,    7.94,   11.80,   14.45,   20.67,   23.95,   23.92,   20.27,   17.30,   10.42,    7.71,   14.14
42.65701,11.64656,T2M,2005,    3.52,    2.84,    7.90,   11.55,   17.74,   21.65,   24.33,   22.49,   19.90,   15.00,    9.60,    4.95,   13.52
42.65701,11.64656,T2M,2006,    3.25,    5.36,    7.58,   13.00,   16.96,   20.41,   25.95,   22.57,   20.65,   16.35,   11.07,    7.91,   14.31
42.65701,11.64656,T2M,2007,    8.10,    8.10,    9.62,   15.05,   17.80,   21.62,   24.89,   23.66,   19.02,   14.57,    8.73,    5.01,   14.72
42.65701,11.64656,T2M,2008,    6.76,    6.44,    8.87,   12.28,   17.08,   21.56,   24.41,   25.11,   18.86,   16.19,   10.50,    6.19,   14.55
42.65701,11.64656,T2M,2009,    5.30,    5.36,    8.78,   13.20,   18.53,   20.51,   24.35,   26.02,   20.83,   14.06,   10.74,    6.41,   14.56
42.65701,11.64656,T2M,2010,    4.22,    6.03,    8.00,   12.33,   15.43,   20.06,   25.17,   23.44,   19.09,   13.87,   10.55,    5.31,   13.67
42.65701,11.64656,T2M,2011,    5.17,    5.39,    8.02,   13.18,   17.07,   21.64,   22.70,   25.15,   22.26,   14.79,   10.14,    7.28,   14.45
42.65701,11.64656,T2M,2012,    4.98,    2.13,   10.71,   12.29,   16.38,   23.30,   25.58,   26.77,   19.79,   16.32,   11.91,    5.48,   14.68
42.65701,11.64656,T2M,2013,    5.60,    4.19,    8.48,   13.44,   15.32,   20.08,   24.33,   24.87,   20.46,   17.06,   10.57,    6.94,   14.34
42.65701,11.64656,T2M,2014,    7.53,    9.00,    9.60,   12.92,   15.89,   21.36,   22.40,   22.78,   19.72,   16.48,   12.87,    7.50,   14.86
42.65701,11.64656,T2M,2015,    5.75,    5.77,    8.77,   12.03,   17.12,   21.88,   27.29,   25.13,   20.08,   14.83,   10.82,    7.45,   14.80
42.65701,11.64656,T2M,2016,    6.82,    9.11,    8.92,   13.65,   15.88,   20.64,   24.81,   23.77,   20.36,   14.75,   10.49,    6.19,   14.63
42.65701,11.64656,T2M,2017,    3.02,    8.17,   10.31,   12.93,   17.60,   23.86,   25.50,   26.85,   18.49,   15.57,    9.82,    5.75,   14.86
42.65701,11.64656,T2M,2018,    7.88,    4.36,    7.88,   14.69,   17.71,   21.21,   25.29,   25.16,   21.14,   16.59,   11.08,    6.77,   15.04
42.65701,11.64656,T2M,2019,    3.67,    6.75,   10.04,   12.25,   13.80,   23.24,   25.54,   25.83,   20.99,   16.85,   12.06,    8.14,   14.97
42.65701,11.64656,RH2M,1981,   80.78,   79.65,   80.03,   67.97,   62.94,   57.39,   56.22,   53.10,   70.62,   75.50,   75.23,   85.89,   70.40
42.65701,11.64656,RH2M,1982,   86.33,   79.39,   75.01,   72.17,   68.07,   60.78,   52.68,   53.62,   63.27,   75.94,   84.69,   87.27,   71.55
42.65701,11.64656,RH2M,1983,   84.85,   81.21,   79.36,   76.32,   68.95,   58.68,   47.33,   58.57,   64.57,   71.59,   78.41,   81.65,   70.89
42.65701,11.64656,RH2M,1984,   81.74,   78.30,   77.41,   74.41,   74.44,   64.95,   49.00,   56.39,   67.74,   81.83,   85.58,   89.30,   73.40
42.65701,11.64656,RH2M,1985,   86.41,   82.22,   80.49,   74.27,   71.57,   60.59,   47.71,   48.71,   49.89,   63.91,   84.50,   90.05,   69.96
42.65701,11.64656,RH2M,1986,   84.22,   86.70,   80.82,   77.20,   68.77,   67.33,   61.01,   54.96,   61.02,   65.78,   80.03,   81.03,   72.30
42.65701,11.64656,RH2M,1987,   84.26,   83.31,   70.24,   68.80,   64.05,   55.23,   55.38,   55.30,   61.01,   79.52,   85.66,   90.30,   71.02
42.65701,11.64656,RH2M,1988,   90.76,   79.99,   75.44,   75.37,   75.83,   67.44,   53.99,   51.23,   59.85,   74.02,   78.25,   82.19,   72.01
42.65701,11.64656,RH2M,1989,   83.07,   77.11,   67.67,   72.88,   61.65,   59.43,   60.83,   56.61,   70.14,   72.42,   80.75,   88.19,   70.85
42.65701,11.64656,RH2M,1990,   85.35,   80.30,   71.01,   71.97,   63.54,   58.34,   49.55,   54.17,   64.02,   79.24,   83.78,   87.72,   70.68
42.65701,11.64656,RH2M,1991,   86.80,   83.17,   78.82,   72.94,   71.39,   64.08,   51.95,   51.75,   68.48,   78.11,   87.26,   81.70,   72.95
42.65701,11.64656,RH2M,1992,   89.03,   80.50,   77.07,   75.33,   64.75,   67.58,   58.56,   53.31,   60.43,   83.15,   86.98,   89.18,   73.80
42.65701,11.64656,RH2M,1993,   87.58,   76.02,   73.52,   73.43,   64.63,   57.59,   52.02,   47.10,   68.24,   84.29,   88.43,   87.42,   71.65
42.65701,11.64656,RH2M,1994,   86.71,   85.28,   76.14,   75.24,   67.98,   60.70,   49.86,   49.57,   67.55,   71.74,   86.71,   88.96,   72.09
