-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  41.0087   Longitude 14.9587 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 472.7 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.00873,14.95865,T2M,1981,    2.11,    3.90,    9.42,   11.57,   15.31,   20.88,   21.82,   23.07,   19.60,   15.69,    7.49,    6.48,   13.17
41.00873,14.95865,T2M,1982,    6.17,    4.06,    6.59,   10.41,   16.07,   22.35,   24.87,   23.45,   21.13,   14.37,    9.92,    6.88,   13.91
41.00873,14.95865,T2M,1983,    5.37,    3.60,    7.92,   11.71,   16.30,   19.56,   25.34,   22.81,   19.55,   14.15,    8.97,    6.13,   13.52
41.00873,14.95865,T2M,1984,    5.52,    4.45,    6.18,    9.69,   14.26,   18.60,   23.34,   21.72,   18.18,   14.12,   10.92,    6.58,   12.83
41.00873,14.95865,T2M,1985,    2.76,    4.74,    7.22,   10.97,   16.13,   19.86,   24.46,   24.07,   21.22,   14.86,   10.08,    7.72,   13.73
41.00873,14.95865,T2M,1986,    5.20,    4.24,    8.11,   11.39,   17.80,   19.03,   22.64,   24.47,   19.88,   15.56,   10.03,    4.89,   13.66
41.00873,14.95865,T2M,1987,    4.44,    5.40,    3.72,   10.78,   13.76,   20.05,   24.81,   24.08,   23.06,   16.36,   10.06,    6.99,   13.67
41.00873,14.95865,T2M,1988,    7.10,    5.38,    7.08,   11.36,   16.83,   20.22,   26.52,   25.20,   19.13,   16.21,    6.83,    4.99,   13.95
41.00873,14.95865,T2M,1989,    5.01,    6.81,   10.44,   12.00,   15.05,   18.57,   23.44,   23.45,   19.30,   13.02,    8.29,    6.66,   13.55
41.00873,14.95865,T2M,1990,    5.39,    8.36,    9.93,   10.63,   16.30,   21.08,   24.23,   22.94,   19.12,   16.72,    9.90,    4.51,   14.13
41.00873,14.95865,T2M,1991,    4.46,    4.31,    9.79,    9.00,   11.84,   19.87,   23.74,   24.00,   20.60,   13.95,    9.28,    2.39,   12.82
41.00873,14.95865,T2M,1992,    4.74,    5.08,    7.99,   11.12,   15.96,   19.03,   22.41,   25.67,   20.48,   15.41,   11.33,    6.34,   13.83
41.00873,14.95865,T2M,1993,    4.68,    3.28,    6.61,   11.54,   17.19,   21.61,   23.54,   25.85,   19.50,   15.81,    9.20,    7.72,   13.95
41.00873,14.95865,T2M,1994,    6.40,    5.48,   10.09,   10.33,   16.55,   20.49,   24.46,   26.25,   21.51,   15.01,   10.97,    7.11,   14.61
41.00873,14.95865,T2M,1995,    4.23,    7.57,    6.51,   10.39,   15.43,   19.66,   24.67,   21.86,   17.49,   14.69,    7.67,    8.34,   13.25
41.00873,14.95865,T2M,1996,    6.46,    3.99,    6.34,   10.90,   15.86,   20.68,   22.53,   23.51,   16.43,   12.75,   10.47,    6.51,   13.07
41.00873,14.95865,T2M,1997,    7.34,    6.07,    7.77,    7.97,   16.99,   22.39,   23.51,   22.76,   20.37,   14.51,   10.63,    6.91,   13.98
41.00873,14.95865,T2M,1998,    6.07,    7.21,    6.44,   11.70,   15.80,   22.64,   25.76,   25.39,   19.00,   14.63,    8.49,    4.44,   14.00
41.00873,14.95865,T2M,1999,    5.10,    3.95,    8.11,   11.31,   18.14,   21.89,   23.32,   25.37,   20.40,   16.05,    9.64,    6.54,   14.22
41.00873,14.95865,T2M,2000,    3.60,    5.33,    7.85,   12.77,   18.44,   21.92,   23.07,   25.85,   19.51,   15.37,   11.27,    8.25,   14.46
41.00873,14.95865,T2M,2001,    7.11,    5.98,   11.01,   10.46,   17.45,   20.76,   24.34,   25.14,   18.34,   17.34,    9.55,    3.32,   14.30
41.00873,14.95865,T2M,2002,    3.59,    8.10,   10.09,   12.01,   17.12,   23.09,   23.90,   22.59,   17.70,   14.39,   11.98,    7.77,   14.39
41.00873,14.95865,T2M,2003,    6.18,    2.40,    7.23,   10.61,   19.01,   24.94,   26.04,   26.78,   18.86,   14.94,   11.40,    6.31,   14.64
41.00873,14.95865,T2M,2004,    4.37,    5.96,    7.16,   11.56,   13.70,   20.19,   24.32,   24.09,   19.70,   17.46,   10.11,    8.33,   13.94
41.00873,14.95865,T2M,2005,    3.92,    2.72,    7.63,   10.75,   16.82,   21.04,   24.41,   22.28,   19.63,   14.46,    9.44,    5.44,   13.28
41.00873,14.95865,T2M,2006,    3.73,    5.13,    7.09,   12.30,   16.67,   20.51,   24.17,   22.51,   20.02,   15.97,    9.90,    7.34,   13.83
41.00873,14.95865,T2M,2007,    7.51,    7.68,    9.18,   13.51,   17.26,   21.81,   25.62,   24.58,   18.29,   14.11,    8.47,    5.00,   14.46
41.00873,14.95865,T2M,2008,    6.38,    6.05,    8.70,   11.38,   16.91,   21.70,   24.56,   25.69,   18.88,   15.92,   10.50,    6.25,   14.44
41.00873,14.95865,T2M,2009,    6.02,    3.99,    7.59,   12.35,   18.29,   20.58,   24.94,   25.83,   20.08,   13.59,   10.69,    7.11,   14.32
41.00873,14.95865,T2M,2010,    4.52,    5.80,    7.84,   11.70,   15.00,   20.10,   24.56,   24.15,   18.46,   13.71,   10.88,    5.44,   13.56
41.00873,14.95865,T2M,2011,    5.55,    5.63,    7.60,   12.03,   15.58,   20.89,   23.15,   25.32,   22.45,   14.50,   10.16,    7.18,   14.22
41.00873,14.95865,T2M,2012,    4.32,    3.19,    9.80,   11.82,   15.97,   23.70,   25.83,   26.32,   20.11,   16.34,   12.21,    5.74,   14.65
41.00873,14.95865,T2M,2013,    5.67,    4.54,    8.38,   13.09,   15.73,   19.85,   23.75,   24.80,   19.92,   16.59,   10.81,    6.96,   14.23
41.00873,14.95865,T2M,2014,    7.58,    8.49,    8.71,   11.66,   14.89,   20.73,   22.10,   23.62,   19.21,   16.20,   12.45,    6.74,   14.40
41.00873,14.95865,T2M,2015,    5.49,    5.17,    8.01,   11.10,   16.99,   21.10,   27.01,   24.91,   20.31,   14.72,   10.84,    7.24,   14.47
41.00873,14.95865,T2M,2016,    6.28,    8.63,    8.36,   13.60,   15.52,   20.55,   24.92,   23.16,   18.62,   14.49,   10.40,    5.40,   14.17
41.00873,14.95865,T2M,2017,    2.45,    7.46,    9.55,   11.80,   17.32,   23.78,   25.80,   27.09,   18.45,   15.11,    9.76,    5.55,   14.55
41.00873,14.95865,T2M,2018,    7.28,    5.01,    8.14,   14.74,   17.45,   21.01,   24.98,   24.32,   20.56,   16.26,   11.13,    6.74,   14.86
41.00873,14.95865,T2M,2019,    3.41,    6.10,    9.50,   12.09,   13.23,   23.78,   25.53,   26.62,   20.83,   16.88,   11.84,    7.68,   14.84
41.00873,14.95865,RH2M,1981,   82.31,   84.67,   82.02,   74.21,   67.02,   56.73,   52.35,   51.98,   65.36,   72.22,   73.89,   86.85,   70.72
41.00873,14.95865,RH2M,1982,   86.60,   81.01,   78.07,   72.21,   63.24,   51.63,   46.87,   53.45,   62.53,   80.32,   84.65,   87.50,   70.62
41.00873,14.95865,RH2M,1983,   84.49,   81.17,   80.78,   73.85,   64.35,   55.87,   44.53,   53.64,   57.50,   70.65,   81.99,   86.01,   69.50
41.00873,14.95865,RH2M,1984,   83.28,   85.10,   82.63,   79.15,   72.89,   59.66,   45.35,   54.12,   63.72,   81.94,   84.05,   89.39,   73.40
41.00873,14.95865,RH2M,1985,   90.83,   83.26,   85.23,   79.14,   72.76,   60.00,   45.59,   44.61,   50.25,   64.72,   85.78,   88.89,   70.84
41.00873,14.95865,RH2M,1986,   86.44,   88.70,   85.21,   74.93,   69.90,   62.60,   57.29,   50.74,   56.48,   67.35,   81.62,   81.56,   71.80
41.00873,14.95865,RH2M,1987,   85.09,   86.14,   75.07,   69.05,   64.41,   51.49,   49.69,   51.60,   56.39,   73.87,   82.66,   87.95,   69.36
41.00873,14.95865,RH2M,1988,   91.04,   82.89,   78.69,   74.18,   68.87,   57.03,   42.44,   45.94,   60.59,   74.19,   80.56,   83.95,   69.98
41.00873,14.95865,RH2M,1989,   85.06,   78.74,   71.14,   67.57,   61.21,   61.97,   55.98,   54.12,   64.24,   69.92,   83.54,   88.85,   70.14
41.00873,14.95865,RH2M,1990,   87.00,   80.46,   70.46,   74.76,   64.39,   53.70,   45.98,   52.47,   63.95,   75.95,   83.73,   89.31,   70.11
41.00873,14.95865,RH2M,1991,   87.35,   84.66,   79.72,   76.39,   72.46,   59.81,   52.31,   50.81,   62.49,   72.80,   86.66,   82.38,   72.23
41.00873,14.95865,RH2M,1992,   88.47,   80.78,   75.49,   77.69,   64.74,   62.85,   56.66,   50.01,   56.30,   80.83,   84.17,   87.86,   72.13
41.00873,14.95865,RH2M,1993,   86.39,   77.88,   76.31,   69.90,   66.63,   54.92,   45.73,   41.76,   62.77,   76.12,   86.74,   89.97,   69.54
41.00873,14.95865,RH2M,1994,   89.12,   88.90,   77.71,   78.54,   66.38,   57.10,   53.28,   47.74,   59.19,   71.68,   80.01,   85.76,   71.17
41.00873,14.95865,RH2M,1995,   85.49,   80.92,   78.95,   71.46,   66.50,   57.02,   51.99,   63.02,   71.80,   69.68,   81.23,   90.83,   72.36
41.00873,14.95865,RH2M,1996,   86.14,   84.29,   81.58,   73.54,   71.27,   55.14,   51.21,   54.64,   71.55,   82.38,   86.29,   90.44,   74.01
41.00873,14.95865,RH2M,1997,   89.25,   82.79,   72.20,   69.50,   59.78,   54.59,   48.05,   55.02,   59.77,   72.75,   87.53,   87.69,   69.83
41.00873,14.95865,RH2M,1998,   88.78,   78.97,   71.67,   71.56,   66.94,   50.67,   44.76,   52.54,   68.42,   78.87,   83.00,   84.14,   69.97
41.00873,14.95865,RH2M,1999,   85.30,   81.89,   77.61,   74.00,   65.69,   54.29,   53.56,   49.56,   63.28,   70.32,   81.37,   87.19,   70.27
41.00873,14.95865,RH2M,2000,   83.75,   80.09,   76.10,   72.57,   63.29,   51.44,   48.41,   42.14,   62.83,   76.93,   85.55,   87.77,   69.19
41.00873,14.95865,RH2M,2001,   91.26,   83.72,   83.46,   74.31,   64.84,   52.03,   46.88,   48.54,   62.68,   67.29,   78.17,   82.56,   69.56
41.00873,14.95865,RH2M,2002,   81.34,   82.82,   69.40,   71.15,   62.20,   50.12,   55.80,   61.45,   71.24,   79.36,   84.08,   90.91,   71.59
41.00873,14.95865,RH2M,2003,   88.29,   82.72,   75.67,   73.73,   59.05,   52.04,   47.75,   47.07,   63.28,   74.41,   85.36,   87.97,   69.68
41.00873,14.95865,RH2M,2004,   84.42,   83.41,   80.77,   81.72,   72.18,   66.54,   49.28,   52.73,   64.35,   75.68,   84.15,   90.55,   73.76
41.00873,14.95865,RH2M,2005,   86.09,   87.26,   80.82,   77.53,   69.90,   59.50,   51.27,   57.86,   70.18,   78.20,   86.81,   87.87,   74.34
41.00873,14.95865,RH2M,2006,   88.92,   84.93,   85.18,   77.03,   69.07,   57.44,   53.56,   58.40,   63.60,   72.94,   79.80,   88.88,   73.26
41.00873,14.95865,RH2M,2007,   85.52,   83.68,   81.39,   70.23,   67.12,   59.27,   40.57,   47.53,   58.20,   72.04,   80.39,   87.56,   69.37
41.00873,14.95865,RH2M,2008,   86.33,   77.38,   82.71,   75.99,   64.10,   59.32,   50.59,   44.72,   59.55,   70.26,   83.38,   88.60,   70.21
41.00873,14.95865,RH2M,2009,   92.33,   83.79,   81.40,   77.56,   63.61,   63.46,   50.29,   47.85,   67.07,   74.80,   84.54,   90.66,   73.02
41.00873,14.95865,RH2M,2010,   88.76,   87.86,   79.89,   76.89,   73.97,   60.16,   52.64,   52.73,   67.02,   78.23,   89.07,   87.36,   74.45
41.00873,14.95865,RH2M,2011,   88.77,   79.32,   82.71,   73.34,   70.21,   62.90,   55.77,   47.17,   56.83,   68.76,   82.44,   83.98,   70.97
41.00873,14.95865,RH2M,2012,   79.41,   84.77,   70.80,   74.15,   61.61,   46.40,   45.36,   43.47,   63.02,   72.41,   85.10,   86.79,   67.69
41.00873,14.95865,RH2M,2013,   89.13,   84.36,   83.23,   71.28,   68.60,   60.69,   53.58,   52.45,   61.74,   74.77,   85.94,   87.06,   72.67
41.00873,14.95865,RH2M,2014,   89.45,   86.11,   79.00,   78.73,   70.78,   60.94,   60.08,   56.13,   70.57,   72.02,   83.13,   87.18,   74.43
41.00873,14.95865,RH2M,2015,   86.67,   85.52,   82.18,   74.36,   66.74,   55.02,   46.42,   55.27,   59.64,   82.91,   83.33,   86.50,   71.98
41.00873,14.95865,RH2M,2016,   86.94,   84.71,   81.90,   68.85,   69.00,   63.11,   51.38,   56.20,   71.55,   80.53,   85.87,   82.28,   73.48
41.00873,14.95865,RH2M,2017,   86.78,   86.65,   74.25,   68.94,   59.41,   48.90,   41.74,   37.75,   65.12,   63.40,   80.88,   81.77,   66.14
41.00873,14.95865,RH2M,2018,   84.53,   83.17,   84.15,   66.79,   71.49,   61.76,   52.90,   58.04,   61.86,   75.60,   83.10,   85.68,   72.38
41.00873,14.95865,RH2M,2019,   85.41,   79.75,   74.73,   69.97,   75.23,   52.40,   49.33,   45.87,   63.49,   66.31,   89.04,   87.46,   69.85
