-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  43.0286   Longitude 12.4414 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 425.77 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.02855,12.44137,T2M,1981,    0.43,    2.41,    8.76,   11.49,   15.15,   20.34,   21.67,   22.43,   18.72,   14.08,    6.08,    4.91,   12.27
43.02855,12.44137,T2M,1982,    4.38,    2.94,    5.59,    9.62,   15.45,   21.74,   24.72,   22.70,   20.36,   13.13,    9.01,    5.75,   13.01
43.02855,12.44137,T2M,1983,    4.16,    1.70,    7.38,   10.77,   14.85,   19.22,   25.53,   22.23,   18.87,   13.18,    7.58,    4.16,   12.54
43.02855,12.44137,T2M,1984,    3.76,    2.55,    5.07,    9.08,   12.54,   17.87,   23.16,   21.11,   17.19,   12.68,    9.55,    5.20,   11.68
43.02855,12.44137,T2M,1985,    0.90,    3.27,    6.19,   10.35,   15.27,   19.67,   25.15,   23.97,   21.22,   14.23,    7.36,    6.11,   12.87
43.02855,12.44137,T2M,1986,    3.39,    1.95,    6.20,   10.18,   17.09,   17.87,   21.72,   23.58,   18.34,   14.36,    8.02,    3.11,   12.22
43.02855,12.44137,T2M,1987,    1.95,    3.77,    3.10,   10.38,   13.81,   19.49,   24.17,   23.58,   21.90,   14.82,    8.04,    5.28,   12.57
43.02855,12.44137,T2M,1988,    5.63,    4.26,    6.44,   10.96,   15.46,   18.13,   24.89,   24.34,   18.52,   15.59,    5.15,    3.57,   12.79
43.02855,12.44137,T2M,1989,    2.94,    5.98,    9.83,   11.02,   15.07,   18.68,   22.32,   22.81,   17.83,   12.01,    6.65,    5.39,   12.59
43.02855,12.44137,T2M,1990,    3.76,    7.39,    9.04,    9.78,   16.39,   20.63,   23.60,   22.79,   18.55,   15.55,    7.87,    2.61,   13.20
