-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  46.1028   Longitude 11.1296 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1373.73 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.10283,11.12955,T2M,1981,   -8.28,   -4.61,    2.14,    5.62,    8.51,   12.95,   13.54,   14.37,   11.02,    5.02,   -0.83,   -6.51,    4.45
46.10283,11.12955,T2M,1982,   -5.68,   -5.36,   -2.09,    3.45,    9.42,   13.66,   16.01,   14.17,   12.79,    5.61,    1.81,   -3.82,    5.05
46.10283,11.12955,T2M,1983,   -2.86,   -6.22,    1.20,    4.40,    7.89,   12.80,   18.17,   14.29,   11.71,    6.78,    0.94,   -4.02,    5.50
46.10283,11.12955,T2M,1984,   -6.86,   -6.47,   -3.71,    2.73,    5.89,   11.77,   14.46,   13.52,    9.29,    6.75,    1.92,   -2.94,    3.89
46.10283,11.12955,T2M,1985,   -9.36,   -5.89,   -1.23,    3.91,    8.74,   11.37,   16.18,   14.57,   13.11,    7.00,   -2.55,   -2.14,    4.54
46.10283,11.12955,T2M,1986,   -7.66,   -8.91,   -0.76,    3.11,   11.42,   12.47,   14.30,   14.49,   11.43,    7.40,    1.30,   -3.61,    4.67
46.10283,11.12955,T2M,1987,   -8.17,   -4.12,   -4.60,    4.85,    6.97,   11.51,   15.35,   14.71,   14.23,    6.62,    0.78,   -3.36,    4.60
46.10283,11.12955,T2M,1988,   -3.33,   -5.10,   -1.88,    5.06,    9.66,   11.63,   15.71,   15.37,   10.84,    7.85,   -1.09,   -4.29,    5.07
46.10283,11.12955,T2M,1989,   -1.84,   -0.03,    3.12,    3.56,    9.21,   11.18,   14.72,   14.33,   10.23,    6.33,   -0.38,   -2.45,    5.71
46.10283,11.12955,T2M,1990,   -2.93,    0.47,    3.23,    3.26,   10.42,   12.29,   15.38,   15.26,   10.43,    6.92,   -0.39,   -8.17,    5.55
46.10283,11.12955,T2M,1991,   -6.02,   -6.32,    3.47,    2.89,    5.64,   12.09,   16.30,   16.25,   12.56,    4.91,   -0.56,   -4.84,    4.77
46.10283,11.12955,T2M,1992,   -4.38,   -2.34,    1.05,    3.66,   10.38,   11.56,   15.34,   17.18,   11.01,    4.21,    1.11,   -5.03,    5.34
46.10283,11.12955,T2M,1993,   -4.20,   -2.80,   -0.84,    4.72,   10.22,   13.39,   13.79,   15.49,    9.37,    5.72,   -0.68,   -3.29,    5.12
46.10283,11.12955,T2M,1994,   -4.46,   -5.07,    3.53,    3.00,    9.56,   12.95,   17.22,   16.76,   10.99,    5.68,    2.94,   -2.24,    5.98
46.10283,11.12955,T2M,1995,   -7.25,   -1.82,   -1.51,    4.42,    8.92,   11.10,   16.89,   13.71,    8.56,    8.62,   -0.78,   -4.47,    4.74
