-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  44.9414   Longitude 12.3948 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 18.29 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.94137,12.39482,T2M,1981,    4.33,    5.07,   10.31,   13.16,   17.40,   21.68,   23.75,   24.33,   21.09,   16.54,    9.55,    7.21,   14.59
44.94137,12.39482,T2M,1982,    5.74,    5.25,    8.49,   12.16,   17.78,   23.33,   25.48,   24.52,   22.51,   16.53,   12.04,    8.65,   15.26
44.94137,12.39482,T2M,1983,    7.26,    5.00,    9.73,   13.22,   17.58,   21.79,   27.10,   24.63,   21.37,   16.28,   10.00,    6.77,   15.13
44.94137,12.39482,T2M,1984,    5.98,    5.34,    7.86,   11.95,   14.69,   20.31,   24.36,   23.25,   19.82,   15.75,   11.54,    7.86,   14.09
44.94137,12.39482,T2M,1985,    3.39,    5.22,    8.33,   12.39,   17.18,   21.06,   25.61,   25.27,   22.47,   17.08,    9.84,    7.94,   14.71
44.94137,12.39482,T2M,1986,    5.93,    3.98,    8.22,   12.55,   19.76,   21.17,   23.60,   25.21,   20.46,   16.54,   10.75,    6.29,   14.61
44.94137,12.39482,T2M,1987,    3.82,    5.84,    5.86,   13.02,   16.15,   21.19,   25.55,   24.58,   23.58,   16.82,   11.31,    7.52,   14.65
44.94137,12.39482,T2M,1988,    8.09,    7.28,    9.32,   13.38,   18.07,   21.05,   26.18,   25.75,   20.88,   17.41,    8.32,    6.29,   15.20
44.94137,12.39482,T2M,1989,    4.97,    7.44,   11.46,   13.57,   18.00,   20.96,   23.73,   24.11,   19.78,   14.72,    9.56,    7.33,   14.68
44.94137,12.39482,T2M,1990,    5.97,    8.64,   11.50,   12.62,   19.10,   21.94,   24.40,   24.38,   20.65,   16.67,   10.92,    5.62,   15.24
44.94137,12.39482,T2M,1991,    5.39,    4.32,   11.17,   11.96,   14.58,   20.86,   25.52,   25.89,   22.33,   15.04,   10.26,    4.81,   14.40
44.94137,12.39482,T2M,1992,    5.03,    6.06,    9.38,   13.01,   18.26,   20.97,   24.43,   27.23,   21.67,   15.54,   11.62,    7.26,   15.07
44.94137,12.39482,T2M,1993,    5.50,    5.71,    8.19,   12.79,   19.44,   23.09,   24.30,   26.18,   20.29,   16.18,    9.52,    7.92,   14.98
44.94137,12.39482,T2M,1994,    7.46,    6.10,   11.90,   12.54,   17.95,   21.93,   26.62,   27.51,   21.23,   15.19,   12.13,    7.97,   15.78
44.94137,12.39482,T2M,1995,    5.63,    8.20,    8.74,   12.51,   17.35,   20.26,   25.94,   23.87,   19.21,   16.76,   10.45,    7.74,   14.77
44.94137,12.39482,T2M,1996,    7.12,    5.00,    7.23,   13.22,   17.94,   22.57,   23.47,   24.05,   18.23,   15.35,   11.40,    7.02,   14.41
44.94137,12.39482,T2M,1997,    6.43,    7.82,   10.71,   11.40,   17.97,   22.19,   24.55,   24.92,   22.37,   16.21,   11.06,    7.87,   15.34
44.94137,12.39482,T2M,1998,    6.45,    8.20,    9.20,   13.21,   17.96,   23.26,   26.29,   26.60,   20.49,   16.14,    9.81,    5.79,   15.33
44.94137,12.39482,T2M,1999,    6.35,    5.57,    9.74,   13.50,   18.86,   22.31,   24.65,   25.06,   22.16,   16.65,    9.98,    6.55,   15.17
44.94137,12.39482,T2M,2000,    5.05,    7.35,    9.93,   14.38,   20.09,   23.61,   23.91,   26.02,   21.40,   16.93,   12.44,    8.81,   15.85
44.94137,12.39482,T2M,2001,    7.23,    7.75,   11.75,   12.61,   19.40,   21.85,   25.44,   26.70,   19.39,   18.34,   10.42,    5.02,   15.55
44.94137,12.39482,T2M,2002,    4.53,    7.69,   11.25,   13.07,   18.41,   23.95,   24.82,   24.27,   20.00,   16.74,   13.18,    8.18,   15.55
44.94137,12.39482,T2M,2003,    5.68,    4.15,    9.39,   12.06,   19.94,   26.37,   27.04,   28.72,   20.42,   14.88,   11.82,    7.93,   15.77
44.94137,12.39482,T2M,2004,    5.07,    6.07,    8.25,   12.89,   16.20,   21.80,   25.05,   25.64,   21.47,   17.60,   11.64,    8.24,   15.02
44.94137,12.39482,T2M,2005,    5.00,    4.12,    8.46,   12.28,   18.42,   22.97,   25.50,   23.25,   21.10,   15.75,   10.05,    5.70,   14.44
44.94137,12.39482,T2M,2006,    4.12,    5.66,    7.72,   13.46,   17.86,   22.71,   27.01,   23.21,   21.94,   17.80,   12.11,    8.47,   15.22
44.94137,12.39482,T2M,2007,    7.96,    8.83,   11.03,   15.98,   20.02,   23.15,   26.30,   24.46,   20.18,   15.48,   10.01,    6.42,   15.86
44.94137,12.39482,T2M,2008,    7.18,    6.78,    9.43,   13.41,   18.44,   22.76,   25.81,   26.04,   20.54,   17.17,   11.54,    7.15,   15.55
44.94137,12.39482,T2M,2009,    5.35,    6.61,    9.56,   14.41,   20.22,   22.22,   25.69,   26.92,   22.36,   16.16,   11.35,    6.78,   15.69
44.94137,12.39482,T2M,2010,    4.02,    6.02,    8.61,   13.38,   17.69,   22.29,   26.24,   24.36,   20.34,   15.01,   11.16,    5.34,   14.58
44.94137,12.39482,T2M,2011,    4.74,    6.37,    9.06,   15.08,   19.04,   22.93,   24.41,   26.74,   24.16,   15.99,   10.75,    7.75,   15.63
44.94137,12.39482,T2M,2012,    5.42,    2.98,   11.52,   13.12,   18.29,   24.41,   27.38,   27.56,   21.36,   17.06,   12.82,    6.14,   15.71
44.94137,12.39482,T2M,2013,    6.01,    5.25,    8.23,   13.50,   16.88,   21.89,   26.15,   25.92,   21.56,   17.00,   12.00,    7.69,   15.23
44.94137,12.39482,T2M,2014,    8.09,    9.40,   11.41,   14.85,   17.90,   23.06,   24.01,   24.08,   20.34,   17.89,   13.68,    8.34,   16.12
44.94137,12.39482,T2M,2015,    6.89,    6.51,    9.88,   13.37,   18.59,   23.25,   28.12,   26.06,   21.67,   15.91,   11.19,    7.71,   15.82
44.94137,12.39482,T2M,2016,    6.38,    8.59,    9.64,   14.07,   17.47,   22.16,   26.18,   24.69,   22.43,   15.69,   11.41,    7.24,   15.51
44.94137,12.39482,T2M,2017,    3.77,    7.75,   11.60,   14.29,   18.62,   24.82,   26.52,   27.47,   19.99,   16.53,   10.84,    6.69,   15.79
44.94137,12.39482,T2M,2018,    7.71,    4.79,    7.82,   15.47,   19.91,   23.75,   26.51,   27.00,   22.74,   17.91,   12.51,    6.97,   16.16
44.94137,12.39482,T2M,2019,    5.19,    7.95,   10.94,   13.65,   15.62,   24.86,   26.54,   26.68,   21.88,   17.88,   12.97,    8.54,   16.10
44.94137,12.39482,RH2M,1981,   72.80,   75.48,   83.29,   72.19,   68.58,   64.49,   61.46,   59.81,   71.50,   74.92,   73.18,   79.72,   71.43
44.94137,12.39482,RH2M,1982,   80.10,   76.96,   72.73,   69.41,   68.66,   62.94,   61.52,   60.18,   68.57,   73.25,   79.12,   81.24,   71.19
44.94137,12.39482,RH2M,1983,   82.36,   73.59,   78.31,   76.48,   70.15,   60.10,   54.10,   57.06,   63.10,   66.00,   70.62,   77.83,   69.12
44.94137,12.39482,RH2M,1984,   76.16,   74.18,   72.84,   72.90,   76.66,   66.00,   54.18,   60.83,   66.71,   77.83,   82.11,   81.42,   71.80
44.94137,12.39482,RH2M,1985,   79.92,   78.26,   81.89,   74.41,   73.84,   64.84,   56.65,   53.53,   57.50,   64.51,   76.96,   86.18,   70.67
44.94137,12.39482,RH2M,1986,   77.69,   81.38,   78.21,   80.22,   70.16,   66.29,   61.42,   58.95,   61.60,   65.97,   76.67,   75.17,   71.06
