-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  43.2185   Longitude 12.9872 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 449.1 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.21854,12.98721,T2M,1981,    0.63,    2.53,    8.69,   11.19,   15.07,   20.02,   21.42,   22.15,   18.67,   14.19,    6.23,    5.03,   12.21
43.21854,12.98721,T2M,1982,    4.54,    3.04,    5.67,    9.47,   15.43,   21.93,   24.47,   22.57,   20.30,   13.28,    9.15,    5.92,   13.04
43.21854,12.98721,T2M,1983,    4.35,    1.86,    7.30,   10.88,   15.08,   19.06,   25.27,   22.01,   18.78,   13.22,    7.72,    4.34,   12.56
43.21854,12.98721,T2M,1984,    3.95,    2.82,    5.09,    9.02,   12.65,   17.98,   23.01,   20.87,   17.22,   12.80,    9.76,    5.42,   11.75
43.21854,12.98721,T2M,1985,    1.16,    3.24,    6.21,   10.29,   15.28,   19.58,   24.86,   23.91,   20.93,   14.17,    7.52,    6.26,   12.84
43.21854,12.98721,T2M,1986,    3.55,    2.07,    6.19,   10.23,   17.06,   17.64,   21.24,   23.42,   18.27,   14.29,    8.07,    3.39,   12.18
43.21854,12.98721,T2M,1987,    2.09,    3.87,    2.93,   10.22,   13.58,   19.31,   23.91,   23.24,   21.75,   14.85,    8.28,    5.48,   12.50
43.21854,12.98721,T2M,1988,    5.76,    4.35,    6.42,   10.82,   15.35,   18.09,   24.67,   24.17,   18.42,   15.50,    5.39,    3.75,   12.77
43.21854,12.98721,T2M,1989,    3.14,    5.93,    9.61,   10.97,   14.83,   18.22,   21.92,   22.34,   17.74,   11.88,    6.76,    5.56,   12.45
43.21854,12.98721,T2M,1990,    4.02,    7.30,    9.10,    9.67,   16.08,   20.33,   23.25,   22.49,   18.32,   15.43,    8.10,    2.90,   13.12
43.21854,12.98721,T2M,1991,    3.47,    2.74,    8.86,    8.40,   11.10,   18.77,   23.68,   23.75,   19.55,   12.01,    7.74,    1.76,   11.87
43.21854,12.98721,T2M,1992,    3.32,    4.31,    7.02,   10.50,   15.46,   17.71,   21.80,   25.45,   19.75,   13.79,    9.88,    5.29,   12.89
43.21854,12.98721,T2M,1993,    3.49,    2.92,    5.90,   10.68,   16.59,   21.27,   23.00,   25.09,   18.30,   13.80,    7.16,    6.04,   12.92
43.21854,12.98721,T2M,1994,    4.83,    3.94,    9.83,    9.58,   15.98,   20.24,   24.55,   26.12,   19.70,   13.17,    9.91,    5.86,   13.71
43.21854,12.98721,T2M,1995,    2.91,    6.44,    5.75,    9.99,   14.62,   18.04,   24.20,   20.82,   16.31,   13.98,    7.10,    6.38,   12.25
43.21854,12.98721,T2M,1996,    5.41,    2.57,    5.44,   10.84,   15.10,   20.24,   21.62,   21.79,   14.73,   12.06,    8.84,    4.98,   12.00
43.21854,12.98721,T2M,1997,    5.32,    5.20,    7.75,    7.50,   15.58,   20.34,   22.52,   22.28,   20.17,   13.56,    9.05,    5.69,   12.96
43.21854,12.98721,T2M,1998,    4.54,    5.67,    6.03,   10.79,   15.12,   21.64,   25.18,   24.83,   18.16,   13.05,    6.80,    3.35,   12.97
43.21854,12.98721,T2M,1999,    4.01,    2.64,    7.15,   10.68,   16.88,   20.72,   22.16,   24.22,   19.60,   14.29,    7.60,    4.34,   12.92
43.21854,12.98721,T2M,2000,    2.59,    4.71,    7.36,   12.08,   17.76,   21.24,   21.91,   24.92,   18.64,   14.24,    9.83,    6.85,   13.54
43.21854,12.98721,T2M,2001,    5.69,    4.83,   10.36,    9.71,   16.19,   19.69,   24.01,   25.13,   16.73,   16.08,    7.73,    1.97,   13.24
43.21854,12.98721,T2M,2002,    2.15,    6.77,    8.90,   10.97,   16.45,   22.54,   22.98,   21.79,   16.53,   13.45,   10.51,    6.43,   13.32
43.21854,12.98721,T2M,2003,    3.71,    1.28,    6.97,    9.97,   18.13,   24.72,   26.06,   26.96,   17.76,   12.68,    9.95,    5.10,   13.69
43.21854,12.98721,T2M,2004,    3.00,    4.86,    6.38,   10.60,   12.92,   19.25,   23.72,   23.74,   18.88,   16.25,    8.92,    6.28,   12.93
43.21854,12.98721,T2M,2005,    2.13,    1.12,    6.53,   10.07,   16.26,   20.68,   24.03,   21.31,   18.39,   13.35,    7.92,    3.53,   12.18
43.21854,12.98721,T2M,2006,    2.11,    3.82,    5.81,   11.67,   15.58,   20.04,   24.22,   21.48,   19.41,   14.86,    9.46,    6.26,   12.94
43.21854,12.98721,T2M,2007,    6.69,    6.76,    8.34,   13.46,   17.15,   21.57,   25.54,   23.06,   17.24,   12.91,    6.94,    3.80,   13.66
43.21854,12.98721,T2M,2008,    5.33,    5.00,    7.52,   10.93,   15.88,   20.64,   24.13,   24.61,   17.68,   14.90,    8.92,    4.80,   13.39
43.21854,12.98721,T2M,2009,    3.90,    3.60,    7.11,   11.95,   17.37,   19.16,   23.96,   25.18,   19.55,   12.68,    9.23,    5.02,   13.28
43.21854,12.98721,T2M,2010,    2.69,    4.46,    6.67,   10.64,   14.22,   18.99,   24.41,   22.86,   17.77,   12.27,    9.02,    3.72,   12.35
43.21854,12.98721,T2M,2011,    3.70,    4.18,    6.64,   11.93,   15.71,   20.92,   22.55,   25.16,   22.09,   13.25,    8.60,    5.74,   13.42
43.21854,12.98721,T2M,2012,    3.41,    0.49,    9.45,   11.23,   15.46,   23.38,   25.97,   26.18,   18.63,   14.94,   10.53,    4.01,   13.69
43.21854,12.98721,T2M,2013,    4.18,    2.68,    6.93,   12.14,   14.04,   19.10,   23.58,   24.22,   19.48,   15.41,    9.39,    5.44,   13.11
43.21854,12.98721,T2M,2014,    6.14,    7.59,    8.26,   11.56,   14.58,   20.08,   21.52,   22.16,   17.85,   15.21,   11.31,    5.69,   13.53
43.21854,12.98721,T2M,2015,    4.35,    4.21,    7.17,   10.51,   16.08,   20.13,   26.86,   24.21,   19.03,   13.30,    9.39,    6.22,   13.52
43.21854,12.98721,T2M,2016,    5.14,    7.41,    7.41,   12.31,   14.65,   19.50,   24.55,   22.53,   18.83,   13.21,    9.05,    5.05,   13.32
43.21854,12.98721,T2M,2017,    1.40,    6.64,    9.03,   11.61,   16.36,   23.53,   25.37,   26.55,   17.51,   14.24,    8.56,    4.17,   13.79
43.21854,12.98721,T2M,2018,    6.25,    2.77,    6.33,   13.52,   17.00,   20.57,   24.88,   24.48,   20.16,   15.20,    9.73,    5.29,   13.92
43.21854,12.98721,T2M,2019,    2.17,    5.27,    8.74,   11.13,   12.62,   22.93,   24.77,   25.16,   19.65,   15.75,   10.59,    6.46,   13.81
43.21854,12.98721,RH2M,1981,   82.83,   82.63,   82.58,   72.30,   63.96,   59.11,   55.09,   54.19,   68.82,   72.82,   76.30,   87.06,   71.41
43.21854,12.98721,RH2M,1982,   87.99,   81.92,   77.60,   74.67,   69.73,   53.47,   49.06,   53.17,   63.83,   78.33,   86.34,   90.03,   72.13
43.21854,12.98721,RH2M,1983,   86.05,   83.41,   82.25,   77.28,   68.63,   58.27,   45.17,   56.05,   60.95,   69.42,   79.73,   83.01,   70.77
43.21854,12.98721,RH2M,1984,   80.46,   81.10,   81.02,   77.96,   77.17,   62.72,   44.52,   55.66,   65.70,   84.42,   87.09,   90.67,   74.01
43.21854,12.98721,RH2M,1985,   87.84,   84.19,   83.68,   75.97,   73.65,   56.58,   41.91,   43.42,   49.16,   64.66,   86.38,   89.25,   69.64
