-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  40.7675   Longitude 9.1595 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 317.67 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.76753,9.15951,T2M,1981,    6.27,    6.69,   11.37,   13.72,   16.23,   21.38,   22.58,   23.82,   21.43,   17.22,   11.27,    9.80,   15.20
40.76753,9.15951,T2M,1982,    9.78,    8.48,    9.19,   12.15,   17.13,   22.71,   26.50,   24.23,   22.01,   16.51,   12.79,    9.02,   15.92
40.76753,9.15951,T2M,1983,    7.86,    6.55,   10.22,   13.42,   17.21,   21.55,   27.27,   23.84,   21.13,   16.38,   12.87,    8.99,   15.67
40.76753,9.15951,T2M,1984,    7.86,    7.14,    8.80,   11.77,   14.46,   19.71,   24.25,   22.36,   19.14,   15.81,   13.41,    9.02,   14.50
40.76753,9.15951,T2M,1985,    5.59,    9.24,    8.72,   12.73,   15.92,   20.64,   25.66,   23.66,   21.93,   17.01,   11.27,    9.61,   15.20
40.76753,9.15951,T2M,1986,    7.65,    6.98,    9.97,   12.00,   18.85,   19.79,   23.59,   24.85,   21.24,   17.61,   12.37,    8.47,   15.34
40.76753,9.15951,T2M,1987,    7.14,    8.13,    7.66,   13.13,   15.49,   20.52,   25.06,   25.14,   23.63,   18.51,   12.35,   10.56,   15.65
40.76753,9.15951,T2M,1988,    9.52,    7.94,    9.58,   13.21,   17.23,   20.52,   25.00,   24.77,   20.07,   18.17,   11.14,    8.45,   15.50
40.76753,9.15951,T2M,1989,    7.74,    8.95,   12.13,   12.44,   16.98,   20.51,   24.55,   24.88,   20.03,   15.49,   12.16,   10.36,   15.56
40.76753,9.15951,T2M,1990,    8.39,   11.08,   11.02,   12.05,   17.60,   21.56,   23.96,   23.71,   20.91,   18.53,   11.42,    6.81,   15.61
40.76753,9.15951,T2M,1991,    7.40,    7.39,   11.58,   10.78,   13.61,   19.79,   24.69,   25.01,   22.22,   15.89,   11.22,    7.48,   14.80
40.76753,9.15951,T2M,1992,    7.70,    8.04,   10.26,   12.95,   18.19,   19.27,   23.28,   25.49,   21.36,   16.31,   13.43,    9.89,   15.54
40.76753,9.15951,T2M,1993,    8.18,    7.23,    9.20,   12.76,   17.88,   21.44,   23.53,   25.48,   20.85,   16.97,   11.34,    9.77,   15.44
40.76753,9.15951,T2M,1994,    8.73,    8.26,   12.27,   11.50,   18.48,   21.16,   26.00,   27.44,   21.55,   16.55,   14.10,   10.49,   16.44
40.76753,9.15951,T2M,1995,    7.10,    9.90,    9.53,   12.86,   17.24,   19.99,   25.27,   24.03,   19.09,   17.44,   12.13,   10.22,   15.44
40.76753,9.15951,T2M,1996,    9.80,    7.34,    9.65,   12.42,   16.57,   20.60,   23.44,   24.10,   18.49,   15.47,   12.24,    9.62,   15.01
