-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  40.8215   Longitude 14.4258 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 118.3 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.82147,14.42583,T2M,1981,    7.61,    8.51,   12.11,   14.35,   17.12,   22.01,   23.55,   24.86,   22.34,   19.09,   12.61,   11.54,   16.35
40.82147,14.42583,T2M,1982,   10.92,    9.01,   10.60,   13.52,   17.60,   22.54,   25.51,   24.90,   23.58,   18.84,   14.89,   11.93,   17.04
40.82147,14.42583,T2M,1983,   10.52,    8.72,   11.45,   14.14,   17.88,   21.20,   25.87,   24.97,   22.18,   17.85,   13.93,   11.11,   16.70
40.82147,14.42583,T2M,1984,   10.42,    9.16,   10.29,   13.03,   16.42,   19.89,   24.02,   23.87,   21.03,   18.20,   15.67,   11.95,   16.19
40.82147,14.42583,T2M,1985,    8.60,    9.32,   11.20,   13.63,   17.59,   21.32,   25.28,   24.71,   23.16,   18.69,   14.65,   12.48,   16.76
40.82147,14.42583,T2M,1986,   10.37,    9.20,   11.62,   13.82,   19.11,   20.84,   24.32,   25.90,   22.46,   19.41,   14.55,   10.44,   16.89
40.82147,14.42583,T2M,1987,    9.35,    9.83,    8.25,   13.51,   15.95,   21.21,   25.37,   25.37,   24.62,   19.88,   14.79,   12.14,   16.73
40.82147,14.42583,T2M,1988,   11.78,   10.23,   11.07,   14.06,   18.38,   21.46,   26.37,   25.91,   21.55,   19.64,   12.23,   10.03,   16.92
40.82147,14.42583,T2M,1989,    9.73,   10.75,   13.22,   14.35,   17.13,   20.35,   24.69,   25.05,   21.62,   17.20,   13.42,   11.44,   16.62
40.82147,14.42583,T2M,1990,   10.36,   12.27,   12.90,   13.74,   17.98,   21.79,   24.83,   24.57,   21.71,   20.00,   14.52,    9.90,   17.08
