LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.00604,12.62042,T2M,1981,    5.88,    6.14,   10.42,   12.92,   17.18,   21.12,   23.33,   23.93,   21.17,   17.34,   10.87,    8.99,   15.00
44.00604,12.62042,T2M,1982,    7.47,    6.37,    8.70,   11.79,   16.89,   22.49,   24.71,   24.16,   22.26,   17.11,   13.24,   10.13,   15.50
44.00604,12.62042,T2M,1983,    8.77,    6.17,    9.96,   12.99,   17.29,   21.02,   25.87,   24.03,   21.26,   16.67,   11.23,    8.18,   15.35
44.00604,12.62042,T2M,1984,    7.45,    6.08,    8.11,   11.69,   14.48,   19.61,   23.52,   22.98,   20.00,   16.27,   13.14,    9.56,   14.43
44.00604,12.62042,T2M,1985,    5.36,    6.34,    8.71,   12.28,   16.78,   20.54,   24.69,   24.50,   21.94,   17.25,   11.11,    9.63,   14.98
44.00604,12.62042,T2M,1986,    7.52,    5.29,    8.88,   12.41,   19.07,   20.39,   22.91,   24.83,   20.29,   16.78,   11.54,    8.09,   14.90
44.00604,12.62042,T2M,1987,    5.48,    6.98,    6.22,   12.49,   15.63,   20.49,   24.71,   24.03,   23.24,   17.45,   12.44,    9.36,   14.92
44.00604,12.62042,T2M,1988,    9.52,    8.28,    9.80,   12.94,   17.33,   20.52,   25.51,   25.00,   20.58,   17.68,    9.76,    7.96,   15.44
44.00604,12.62042,T2M,1989,    6.59,    8.33,   11.27,   13.33,   16.99,   20.24,   23.06,   23.46,   19.71,   15.03,   10.84,    9.16,   14.87
44.00604,12.62042,T2M,1990,    7.76,    9.33,   11.36,   12.41,   18.16,   21.12,   23.52,   23.65,   20.41,   17.20,   12.09,    7.27,   15.39
44.00604,12.62042,T2M,1991,    7.15,    5.71,   11.11,   11.65,   14.15,   20.18,   24.38,   25.07,   22.04,   15.64,   11.64,    6.86,   14.68
44.00604,12.62042,T2M,1992,    6.57,    7.03,    9.54,   12.59,   17.08,   20.21,   23.50,   26.41,   21.68,   16.67,   13.11,    9.13,   15.32
44.00604,12.62042,T2M,1993,    6.98,    6.81,    8.25,   12.39,   18.65,   22.30,   23.45,   25.28,   20.52,   16.95,   10.74,    9.88,   15.24
44.00604,12.62042,T2M,1994,    8.94,    7.17,   11.89,   12.24,   17.36,   21.29,   25.68,   26.79,   21.55,   15.96,   13.17,    9.66,   16.03
44.00604,12.62042,T2M,1995,    7.06,    9.32,    9.17,   12.01,   16.67,   19.89,   25.08,   23.45,   19.28,   17.17,   11.60,    9.41,   15.05
44.00604,12.62042,T2M,1996,    8.57,    6.17,    7.79,   12.95,   17.50,   21.81,   22.62,   23.65,   18.33,   15.71,   12.42,    8.84,   14.72
44.00604,12.62042,T2M,1997,    8.18,    8.73,   10.79,   10.92,   17.18,   21.52,   23.75,   24.31,   22.14,   16.43,   11.93,    9.43,   15.48
44.00604,12.62042,T2M,1998,    7.99,    8.79,    9.30,   12.94,   17.20,   22.50,   25.58,   25.70,   20.52,   16.82,   10.92,    7.59,   15.53
44.00604,12.62042,T2M,1999,    7.95,    6.53,    9.68,   13.01,   18.14,   21.84,   23.79,   24.53,   21.77,   17.01,   11.36,    8.31,   15.38
44.00604,12.62042,T2M,2000,    6.73,    8.28,    9.98,   13.79,   19.48,   22.65,   23.30,   25.32,   21.22,   17.33,   13.63,   10.56,   16.05
44.00604,12.62042,T2M,2001,    8.80,    8.72,   12.28,   12.67,   18.42,   21.02,   24.65,   25.94,   19.68,   18.37,   11.59,    6.51,   15.77
44.00604,12.62042,T2M,2002,    5.80,    8.39,   11.12,   12.72,   17.92,   23.14,   24.16,   23.85,   19.98,   17.21,   14.07,    9.62,   15.70
44.00604,12.62042,T2M,2003,    7.17,    5.36,    9.55,   12.04,   19.10,   25.31,   26.20,   27.76,   20.27,   15.62,   12.87,    9.48,   15.96
44.00604,12.62042,T2M,2004,    6.73,    7.32,    8.73,   12.66,   15.76,   20.96,   24.17,   24.98,   21.28,   18.03,   12.90,   10.09,   15.33
44.00604,12.62042,T2M,2005,    6.63,    5.28,    8.77,   12.14,   17.70,   21.81,   24.71,   22.81,   20.98,   16.29,   11.68,    7.62,   14.76
44.00604,12.62042,T2M,2006,    6.01,    6.77,    8.26,   13.14,   17.44,   21.62,   25.52,   23.06,   21.72,   18.13,   13.31,   10.09,   15.47
44.00604,12.62042,T2M,2007,    9.43,    9.58,   11.02,   15.24,   19.27,   22.80,   25.56,   24.01,   20.07,   15.76,   10.95,    7.94,   16.01
44.00604,12.62042,T2M,2008,    8.41,    7.67,    9.73,   13.16,   17.87,   22.20,   25.30,   25.45,   20.47,   17.28,   12.61,    8.64,   15.76
44.00604,12.62042,T2M,2009,    7.09,    7.54,    9.79,   13.94,   19.57,   21.40,   25.06,   26.17,   22.22,   16.61,   12.47,    8.59,   15.92
44.00604,12.62042,T2M,2010,    6.00,    7.19,    8.98,   12.95,   17.24,   21.67,   25.57,   24.07,   20.54,   15.63,   12.18,    7.52,   15.00
44.00604,12.62042,T2M,2011,    6.71,    7.31,    9.21,   14.42,   17.96,   22.32,   23.95,   25.93,   23.93,   16.45,   12.05,    9.69,   15.87
44.00604,12.62042,T2M,2012,    7.29,    3.85,   11.23,   12.80,   17.26,   23.48,   26.41,   26.59,   21.40,   17.74,   14.09,    8.20,   15.90
44.00604,12.62042,T2M,2013,    7.61,    6.42,    8.95,   13.44,   16.78,   21.65,   25.37,   25.41,   21.50,   17.56,   13.05,    9.22,   15.64
44.00604,12.62042,T2M,2014,    9.21,   10.37,   11.47,   14.23,   17.40,   22.41,   23.52,   24.11,   20.30,   18.23,   14.50,    9.71,   16.32
44.00604,12.62042,T2M,2015,    8.35,    7.68,   10.06,   12.97,   18.02,   22.51,   27.23,   25.48,   21.63,   16.38,   12.36,    9.27,   16.05
