LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.56003,8.31516,T2M,1981,    9.91,    9.78,   12.49,   14.90,   17.25,   20.75,   22.24,   23.87,   22.08,   19.02,   14.56,   12.86,   16.68
40.56003,8.31516,T2M,1982,   12.58,   11.56,   11.88,   13.69,   17.27,   21.39,   25.22,   23.68,   22.68,   18.92,   15.73,   12.55,   17.30
40.56003,8.31516,T2M,1983,   11.14,    9.90,   12.14,   14.05,   17.24,   21.06,   25.66,   23.90,   21.71,   18.60,   15.94,   12.37,   17.02
40.56003,8.31516,T2M,1984,   11.02,   10.12,   11.44,   13.36,   15.48,   19.45,   23.07,   22.63,   20.26,   18.04,   16.26,   12.64,   16.17
40.56003,8.31516,T2M,1985,    9.14,   11.65,   11.15,   14.16,   16.44,   20.45,   24.33,   23.11,   22.56,   19.51,   14.58,   13.00,   16.70
40.56003,8.31516,T2M,1986,   10.92,    9.99,   12.16,   13.33,   18.65,   19.63,   22.94,   24.34,   22.36,   19.89,   15.43,   12.14,   16.86
40.56003,8.31516,T2M,1987,   10.41,   10.64,   10.44,   14.24,   15.56,   19.71,   24.12,   24.00,   23.57,   20.41,   15.55,   13.38,   16.87
40.56003,8.31516,T2M,1988,   12.51,   11.03,   11.82,   14.20,   17.66,   20.55,   23.80,   24.23,   21.32,   20.12,   14.90,   12.04,   17.04
40.56003,8.31516,T2M,1989,   10.90,   11.75,   13.69,   13.81,   17.53,   20.51,   23.79,   24.45,   21.39,   17.74,   15.16,   13.66,   17.07
40.56003,8.31516,T2M,1990,   11.91,   13.38,   13.02,   13.84,   18.36,   21.33,   23.41,   24.08,   22.00,   20.52,   14.76,   10.46,   17.28
40.56003,8.31516,T2M,1991,   10.77,   10.24,   13.43,   12.83,   14.81,   19.42,   23.14,   24.16,   23.23,   18.41,   14.21,   11.19,   16.36
40.56003,8.31516,T2M,1992,   10.99,   10.96,   12.44,   13.98,   17.97,   19.58,   22.55,   25.14,   22.07,   18.52,   15.85,   12.77,   16.92
40.56003,8.31516,T2M,1993,   11.24,   10.56,   11.51,   14.02,   18.20,   21.08,   22.73,   24.47,   22.00,   18.80,   14.35,   12.65,   16.84
40.56003,8.31516,T2M,1994,   11.52,   11.16,   13.33,   12.91,   17.96,   20.30,   24.81,   26.24,   22.37,   19.11,   16.85,   13.52,   17.55
40.56003,8.31516,T2M,1995,   10.45,   12.19,   12.07,   13.84,   16.96,   19.32,   24.27,   24.48,   20.27,   19.59,   15.23,   13.30,   16.86
40.56003,8.31516,T2M,1996,   12.97,   10.74,   11.83,   14.12,   17.14,   20.65,   22.74,   24.22,   19.96,   17.25,   14.61,   12.56,   16.59
40.56003,8.31516,T2M,1997,   12.30,   12.45,   13.15,   13.98,   18.40,   21.88,   22.56,   24.63,   22.86,   19.64,   15.79,   13.07,   17.59
40.56003,8.31516,T2M,1998,   11.96,   12.08,   12.64,   14.28,   17.86,   21.25,   23.22,   24.03,   21.20,   18.14,   13.60,   11.48,   16.84
40.56003,8.31516,T2M,1999,   11.53,   10.13,   12.76,   14.20,   18.49,   20.89,   23.53,   25.04,   23.24,   19.98,   14.49,   11.73,   17.21
40.56003,8.31516,T2M,2000,   10.43,   11.81,   12.60,   14.55,   18.68,   21.26,   22.58,   24.50,   22.02,   18.70,   15.73,   13.99,   17.25
