LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.00767,-4.85871,T2M,1981,    2.49,    3.25,    8.37,    8.81,   12.09,   19.30,   20.60,   21.70,   18.26,   12.43,    9.56,    5.13,   11.88
41.00767,-4.85871,T2M,1982,    4.57,    5.22,    6.62,    9.69,   14.26,   18.64,   21.94,   20.92,   17.31,   10.69,    6.24,    3.63,   11.68
41.00767,-4.85871,T2M,1983,    3.23,    2.73,    8.00,    7.98,   10.65,   18.90,   22.03,   19.44,   19.51,   13.54,    9.62,    4.42,   11.72
41.00767,-4.85871,T2M,1984,    3.37,    3.09,    3.92,   12.22,    8.62,   17.23,   22.27,   19.98,   16.92,   11.88,    7.37,    3.90,   10.91
41.00767,-4.85871,T2M,1985,    0.69,    6.31,    5.00,   10.22,   12.09,   18.42,   23.24,   21.55,   21.73,   14.64,    5.66,    4.89,   12.06
41.00767,-4.85871,T2M,1986,    3.01,    4.00,    6.78,    6.03,   15.42,   19.29,   23.37,   20.95,   18.53,   13.30,    6.86,    3.96,   11.85
41.00767,-4.85871,T2M,1987,    2.32,    4.34,    7.99,   10.90,   13.60,   18.54,   21.26,   23.61,   21.28,   11.03,    6.74,    5.68,   12.32
41.00767,-4.85871,T2M,1988,    4.92,    4.07,    6.92,    9.22,   12.51,   15.44,   19.72,   21.54,   18.52,   12.90,    7.43,    2.70,   11.35
41.00767,-4.85871,T2M,1989,    3.16,    5.08,    8.71,    7.43,   15.89,   19.26,   23.99,   22.91,   16.63,   13.67,    8.61,    6.84,   12.74
41.00767,-4.85871,T2M,1990,    2.85,    7.31,    7.35,    7.72,   14.92,   19.26,   23.35,   22.91,   19.58,   11.90,    5.79,    1.83,   12.09
41.00767,-4.85871,T2M,1991,    1.90,    2.50,    7.14,    8.16,   12.08,   18.66,   22.58,   23.85,   19.20,    9.48,    6.08,    3.24,   11.29
41.00767,-4.85871,T2M,1992,    0.71,    3.81,    7.05,    9.98,   16.09,   14.45,   23.26,   22.51,   17.23,    9.45,    8.52,    4.25,   11.47
41.00767,-4.85871,T2M,1993,    3.16,    3.12,    6.74,    8.40,   12.59,   18.11,   21.01,   21.75,   14.28,    8.71,    5.67,    5.09,   10.77
41.00767,-4.85871,T2M,1994,    3.24,    4.13,    9.65,    8.39,   13.66,   18.61,   24.12,   22.71,   14.90,   12.54,    8.71,    4.85,   12.19
41.00767,-4.85871,T2M,1995,    4.08,    6.17,    7.35,   10.78,   15.53,   19.42,   22.88,   21.91,   15.09,   14.64,    9.03,    5.11,   12.71
