LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.65595,11.22965,T2M,1981,  -11.44,   -8.31,   -1.41,    3.18,    5.85,   10.00,   10.33,   11.40,    8.28,    1.89,   -4.04,   -9.96,    1.36
46.65595,11.22965,T2M,1982,   -7.69,   -8.54,   -6.25,   -1.03,    6.36,   10.51,   12.75,   11.24,   10.26,    2.93,   -0.76,   -6.76,    1.97
46.65595,11.22965,T2M,1983,   -5.79,   -9.78,   -2.28,    1.45,    5.07,    9.93,   14.94,   11.22,    8.62,    4.08,   -1.35,   -6.80,    2.52
46.65595,11.22965,T2M,1984,   -9.89,  -10.11,   -7.17,   -1.50,    3.43,    8.81,   11.19,   10.59,    6.37,    4.32,   -0.43,   -5.70,    0.86
46.65595,11.22965,T2M,1985,  -12.36,   -8.19,   -4.72,    0.82,    6.10,    8.24,   13.30,   11.08,    9.90,    4.35,   -5.55,   -4.85,    1.57
46.65595,11.22965,T2M,1986,  -10.25,  -11.91,   -3.57,    0.04,    8.45,    9.45,   11.30,   11.39,    8.82,    4.93,   -1.31,   -6.27,    1.84
46.65595,11.22965,T2M,1987,  -11.06,   -6.12,   -7.91,    1.40,    3.76,    8.58,   12.46,   11.53,   11.37,    4.44,   -2.10,   -5.38,    1.78
46.65595,11.22965,T2M,1988,   -6.29,   -9.18,   -5.92,    2.06,    7.24,    8.78,   12.67,   12.21,    7.96,    5.35,   -3.49,   -6.89,    2.08
46.65595,11.22965,T2M,1989,   -5.07,   -3.34,   -0.34,    0.88,    6.33,    7.75,   11.62,   11.18,    7.51,    3.70,   -3.11,   -4.71,    2.74
46.65595,11.22965,T2M,1990,   -5.50,   -2.45,    0.17,    0.09,    7.39,    9.28,   11.90,   12.01,    7.11,    4.42,   -3.61,  -10.49,    2.56
46.65595,11.22965,T2M,1991,   -8.26,   -9.60,    1.00,   -0.21,    2.27,    9.16,   13.19,   12.75,    9.66,    2.53,   -3.42,   -7.68,    1.85
46.65595,11.22965,T2M,1992,   -7.36,   -6.29,   -2.95,   -0.40,    7.48,    8.84,   12.54,   14.05,    7.97,    1.22,   -1.60,   -7.37,    2.21
46.65595,11.22965,T2M,1993,   -6.86,   -6.72,   -4.74,    1.86,    7.43,   10.16,   10.21,   11.82,    6.40,    2.96,   -3.59,   -6.26,    1.94
46.65595,11.22965,T2M,1994,   -7.56,   -8.59,   -0.08,   -0.42,    6.66,    9.82,   14.06,   13.23,    8.10,    3.04,    0.44,   -5.00,    2.88
46.65595,11.22965,T2M,1995,  -10.75,   -5.24,   -5.96,    0.74,    6.06,    7.95,   13.93,   10.45,    5.55,    6.42,   -4.06,   -7.12,    1.54
46.65595,11.22965,T2M,1996,   -7.31,  -11.17,   -5.85,    1.95,    6.25,   10.82,   10.81,   10.38,    4.01,    2.61,   -3.22,   -8.07,    0.97
46.65595,11.22965,T2M,1997,   -6.42,   -5.16,   -0.46,   -0.66,    6.42,    9.45,   10.17,   12.05,   10.17,    3.05,   -1.30,   -6.39,    2.62
46.65595,11.22965,T2M,1998,   -7.87,   -3.25,   -3.36,    0.97,    6.77,   10.65,   12.17,   12.60,    6.94,    2.67,   -4.95,   -7.53,    2.18
46.65595,11.22965,T2M,1999,   -6.42,   -9.47,   -3.01,    1.62,    8.04,    9.34,   12.06,   11.80,    9.58,    3.94,   -5.04,   -8.36,    2.08
46.65595,11.22965,T2M,2000,   -9.62,   -5.49,   -2.96,    2.21,    8.21,   11.51,    9.73,   12.70,    8.74,    4.39,   -2.44,   -4.80,    2.70
46.65595,11.22965,T2M,2001,   -8.07,   -7.22,   -1.32,   -0.70,    8.38,    8.78,   12.19,   13.14,    4.54,    6.82,   -2.98,   -9.60,    2.07
46.65595,11.22965,T2M,2002,   -7.03,   -4.30,   -0.97,    1.59,    7.13,   12.58,   12.09,   11.21,    6.07,    3.42,   -0.43,   -4.38,    3.12
