LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.36415,7.36609,T2M,1981,   -2.75,   -1.02,    4.76,    7.33,   10.27,   15.97,   16.87,   18.27,   13.92,    8.59,    4.22,   -2.13,    7.90
44.36415,7.36609,T2M,1982,   -0.07,   -0.93,    0.79,    5.91,   11.62,   16.84,   20.57,   18.26,   15.21,    7.99,    4.19,    0.39,    8.45
44.36415,7.36609,T2M,1983,    2.43,   -3.29,    3.78,    5.75,    9.52,   15.01,   20.85,   16.87,   14.57,    9.79,    3.92,    0.05,    8.35
44.36415,7.36609,T2M,1984,   -2.05,   -2.68,    0.31,    5.89,    7.07,   13.93,   18.62,   16.29,   12.44,    8.64,    3.83,    0.55,    6.93
44.36415,7.36609,T2M,1985,   -5.76,    0.41,    0.81,    6.48,    9.76,   14.71,   19.98,   18.84,   16.98,   10.10,    0.83,    2.37,    8.00
44.36415,7.36609,T2M,1986,   -2.79,   -5.09,    1.63,    4.86,   13.08,   15.47,   18.28,   18.74,   14.86,   10.30,    4.44,   -0.08,    7.89
44.36415,7.36609,T2M,1987,   -3.41,    0.19,    1.03,    7.38,    9.88,   14.88,   18.77,   19.36,   17.71,    8.98,    3.48,    1.44,    8.35
44.36415,7.36609,T2M,1988,    0.39,    0.13,    2.90,    6.68,   10.93,   13.83,   19.18,   19.45,   14.66,   10.91,    2.92,    1.53,    8.66
44.36415,7.36609,T2M,1989,    1.45,    2.96,    6.78,    4.97,   12.20,   15.43,   19.60,   19.27,   13.74,   10.12,    3.44,    1.31,    9.32
44.36415,7.36609,T2M,1990,    0.98,    4.55,    6.03,    5.96,   12.75,   16.13,   20.04,   19.06,   15.12,    9.85,    2.75,   -3.07,    9.21
44.36415,7.36609,T2M,1991,   -1.26,   -1.84,    4.94,    5.16,    8.75,   15.54,   20.88,   20.39,   15.99,    7.02,    2.83,   -0.34,    8.24
44.36415,7.36609,T2M,1992,   -0.42,    1.49,    4.46,    6.79,   12.52,   12.72,   17.90,   20.45,   14.39,    6.85,    5.68,    0.25,    8.61
44.36415,7.36609,T2M,1993,    1.40,    0.05,    2.76,    6.58,   11.63,   16.63,   18.17,   19.97,   12.77,    7.19,    1.57,    0.72,    8.34
44.36415,7.36609,T2M,1994,   -0.32,   -0.95,    7.02,    5.19,   12.16,   15.91,   20.96,   20.89,   12.97,    8.36,    7.08,    2.23,    9.37
44.36415,7.36609,T2M,1995,   -2.22,    2.70,    2.23,    7.40,   11.04,   14.17,   20.09,   16.93,   11.65,   10.97,    3.05,   -0.47,    8.16
44.36415,7.36609,T2M,1996,   -0.93,   -3.11,    1.42,    6.93,   10.90,   15.74,   17.64,   16.80,   10.97,    8.34,    2.96,   -0.88,    7.27
44.36415,7.36609,T2M,1997,   -1.19,    2.20,    6.38,    7.01,   12.34,   15.12,   17.79,   18.58,   15.97,    9.76,    3.57,   -0.14,    8.99
44.36415,7.36609,T2M,1998,   -0.67,    3.41,    4.52,    5.75,   11.94,   16.74,   20.54,   19.78,   13.27,    8.24,    1.34,   -0.35,    8.75
