LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.81392,11.01916,T2M,1981,   -0.15,    1.70,    8.04,   10.98,   14.13,   19.64,   21.20,   21.89,   18.04,   13.19,    6.02,    4.35,   11.64
43.81392,11.01916,T2M,1982,    3.39,    2.28,    5.21,    9.33,   15.12,   21.12,   24.34,   21.90,   19.60,   12.46,    8.58,    5.18,   12.43
43.81392,11.01916,T2M,1983,    4.38,    1.15,    7.17,   10.21,   13.80,   18.73,   25.19,   21.77,   18.56,   12.73,    6.48,    3.51,   12.04
43.81392,11.01916,T2M,1984,    2.94,    1.66,    4.55,    8.93,   11.72,   17.27,   22.45,   20.72,   16.49,   12.18,    8.35,    4.37,   11.00
43.81392,11.01916,T2M,1985,   -0.29,    2.72,    5.50,    9.75,   14.18,   18.75,   24.27,   23.03,   20.28,   13.49,    6.37,    5.76,   12.04
43.81392,11.01916,T2M,1986,    2.54,    0.76,    5.45,    9.63,   16.62,   18.02,   21.48,   22.78,   17.62,   13.67,    7.39,    2.66,   11.62
43.81392,11.01916,T2M,1987,    0.92,    2.92,    2.94,   10.27,   13.37,   18.79,   23.49,   22.81,   21.00,   13.77,    7.49,    4.72,   11.92
43.81392,11.01916,T2M,1988,    5.20,    3.90,    6.12,   10.56,   14.98,   17.43,   23.82,   23.36,   17.67,   14.94,    4.55,    3.27,   12.19
43.81392,11.01916,T2M,1989,    2.45,    5.53,    9.59,   10.54,   14.78,   18.46,   21.84,   22.27,   16.73,   11.81,    5.83,    4.27,   12.05
43.81392,11.01916,T2M,1990,    3.07,    6.93,    8.36,    9.29,   15.85,   19.71,   22.72,   22.09,   17.81,   14.57,    6.97,    1.52,   12.44
43.81392,11.01916,T2M,1991,    2.52,    1.47,    8.61,    8.27,   11.19,   18.19,   24.27,   24.00,   19.26,   11.19,    6.84,    0.87,   11.45
43.81392,11.01916,T2M,1992,    2.64,    3.93,    6.94,   10.18,   15.83,   17.47,   22.05,   24.55,   18.98,   12.74,    9.05,    3.97,   12.39
43.81392,11.01916,T2M,1993,    2.71,    2.15,    5.56,   10.24,   16.03,   20.85,   22.13,   24.56,   17.42,   12.66,    5.79,    5.03,   12.16
43.81392,11.01916,T2M,1994,    4.27,    3.15,    9.71,    9.42,   15.36,   19.57,   24.72,   25.59,   18.32,   12.17,    9.43,    5.17,   13.14
43.81392,11.01916,T2M,1995,    1.99,    5.86,    5.52,    9.83,   14.39,   17.49,   24.02,   21.17,   16.19,   13.90,    6.73,    4.56,   11.84
43.81392,11.01916,T2M,1996,    4.45,    1.69,    5.06,   10.73,   14.53,   19.90,   21.58,   21.59,   14.90,   11.86,    8.41,    3.99,   11.59
43.81392,11.01916,T2M,1997,    4.38,    5.13,    7.98,    7.99,   15.48,   19.60,   22.30,   22.64,   19.56,   13.16,    8.12,    4.85,   12.65
43.81392,11.01916,T2M,1998,    3.90,    5.07,    6.07,   10.33,   15.30,   20.96,   24.09,   24.22,   17.81,   12.58,    5.65,    2.03,   12.38
43.81392,11.01916,T2M,1999,    3.66,    2.24,    7.48,   10.77,   16.98,   20.49,   22.57,   23.60,   19.16,   13.76,    6.19,    3.50,   12.60
43.81392,11.01916,T2M,2000,    2.05,    4.75,    7.52,   11.48,   17.52,   21.19,   21.23,   24.15,   18.56,   13.69,    9.25,    6.16,   13.15
43.81392,11.01916,T2M,2001,    4.56,    4.37,    9.85,    9.21,   16.04,   19.80,   22.98,   24.36,   16.24,   15.74,    6.91,    1.40,   12.68
43.81392,11.01916,T2M,2002,    1.81,    6.28,    8.76,   10.89,   15.93,   22.38,   22.49,   21.44,   16.33,   13.26,    9.96,    5.29,   12.94
43.81392,11.01916,T2M,2003,    2.54,    0.36,    6.70,    9.42,   17.86,   24.75,   25.36,   26.40,   17.72,   11.95,    9.05,    4.17,   13.10
43.81392,11.01916,T2M,2004,    2.17,    4.36,    5.79,   10.22,   12.75,   19.44,   23.14,   23.14,   18.80,   15.42,    7.93,    4.92,   12.36
43.81392,11.01916,T2M,2005,    1.87,    0.36,    6.02,    9.59,   16.48,   21.08,   23.65,   21.38,   17.87,   12.95,    7.01,    2.41,   11.79
43.81392,11.01916,T2M,2006,    0.59,    3.20,    5.51,   11.33,   15.06,   19.99,   25.06,   20.96,   19.22,   14.49,    9.34,    5.75,   12.59
43.81392,11.01916,T2M,2007,    6.23,    6.46,    7.79,   13.59,   16.84,   20.29,   24.02,   21.95,   17.22,   12.38,    6.46,    2.47,   13.01
43.81392,11.01916,T2M,2008,    4.67,    4.36,    7.04,   10.70,   15.63,   20.37,   23.28,   23.71,   17.19,   14.58,    8.00,    3.98,   12.82
43.81392,11.01916,T2M,2009,    2.12,    3.32,    7.03,   11.65,   17.06,   19.49,   23.78,   25.37,   19.10,   12.26,    8.86,    3.65,   12.86
43.81392,11.01916,T2M,2010,    0.84,    3.42,    6.00,   10.44,   13.99,   19.10,   24.13,   21.45,   17.50,   11.55,    8.10,    2.55,   11.63
43.81392,11.01916,T2M,2011,    2.54,    3.53,    6.12,   11.82,   15.91,   20.45,   21.69,   24.28,   20.99,   12.76,    7.68,    5.05,   12.78
43.81392,11.01916,T2M,2012,    2.70,   -0.49,    9.39,   10.79,   15.10,   22.22,   24.22,   25.57,   18.24,   14.04,    9.56,    3.17,   12.93
43.81392,11.01916,T2M,2013,    3.38,    1.67,    6.33,   11.63,   13.40,   18.60,   23.45,   23.36,   19.08,   14.97,    8.34,    5.01,   12.50
43.81392,11.01916,T2M,2014,    5.75,    7.02,    8.07,   11.57,   14.72,   20.59,   21.25,   21.04,   17.74,   14.50,   10.90,    5.41,   13.24
