LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.63128,8.30123,T2M,1981,   -4.51,   -2.74,    3.72,    7.42,   10.26,   15.04,   15.58,   16.80,   13.16,    7.07,    2.19,   -4.65,    6.66
45.63128,8.30123,T2M,1982,   -2.27,   -2.70,    0.11,    5.22,   11.20,   15.86,   18.60,   16.44,   14.83,    7.19,    3.31,   -1.33,    7.26
45.63128,8.30123,T2M,1983,   -0.09,   -4.43,    2.40,    5.29,    9.51,   14.69,   20.11,   16.09,   13.61,    9.03,    2.67,   -2.20,    7.30
45.63128,8.30123,T2M,1984,   -3.87,   -3.77,   -0.29,    4.44,    7.28,   13.58,   16.70,   15.47,   11.42,    8.56,    3.20,   -1.11,    6.00
45.63128,8.30123,T2M,1985,   -7.80,   -1.96,   -0.15,    5.83,   10.10,   13.56,   18.03,   16.55,   15.26,    9.54,   -0.48,    0.12,    6.60
45.63128,8.30123,T2M,1986,   -4.46,   -6.27,    1.07,    4.12,   12.58,   14.82,   16.55,   16.69,   13.66,    9.52,    3.45,   -1.79,    6.74
45.63128,8.30123,T2M,1987,   -5.10,   -1.78,   -1.43,    6.21,    9.43,   13.72,   17.73,   17.33,   16.43,    7.99,    2.63,    0.40,    7.01
45.63128,8.30123,T2M,1988,   -1.26,   -2.15,    0.68,    6.51,   11.06,   13.53,   17.58,   17.37,   13.52,    9.83,    1.27,   -1.27,    7.26
45.63128,8.30123,T2M,1989,   -0.15,    1.46,    5.55,    4.79,   11.86,   13.96,   17.45,   17.08,   12.87,    8.89,    2.10,   -0.58,    7.99
45.63128,8.30123,T2M,1990,   -1.50,    2.33,    5.68,    5.35,   12.46,   14.69,   18.41,   18.00,   13.47,    9.08,    1.52,   -4.71,    7.93
45.63128,8.30123,T2M,1991,   -2.52,   -4.21,    4.37,    5.24,    8.56,   14.31,   19.41,   19.40,   15.20,    6.57,    1.66,   -1.67,    7.27
45.63128,8.30123,T2M,1992,   -1.68,   -0.31,    3.40,    6.47,   12.54,   13.06,   17.26,   19.19,   13.26,    5.83,    3.70,   -1.42,    7.64
45.63128,8.30123,T2M,1993,   -1.02,   -0.98,    1.47,    6.64,   12.00,   15.49,   16.13,   18.12,   11.74,    7.08,    0.88,   -1.12,    7.25
45.63128,8.30123,T2M,1994,   -1.44,   -2.54,    5.44,    5.18,   11.50,   15.05,   19.53,   18.98,   12.22,    7.61,    5.66,    0.42,    8.21
45.63128,8.30123,T2M,1995,   -4.36,    0.57,   -0.02,    6.74,   10.67,   13.38,   18.94,   16.20,   10.62,   10.43,    1.47,   -2.27,    6.90
45.63128,8.30123,T2M,1996,   -1.96,   -4.09,   -0.13,    7.00,   10.98,   15.80,   16.26,   15.70,   10.03,    7.71,    1.85,   -2.21,    6.44
45.63128,8.30123,T2M,1997,   -1.52,    0.65,    4.95,    6.28,   11.74,   14.19,   16.02,   17.83,   15.27,    8.55,    2.37,   -1.61,    7.93
45.63128,8.30123,T2M,1998,   -2.54,    1.99,    3.09,    5.26,   12.00,   15.86,   18.39,   18.60,   12.32,    7.76,    0.18,   -2.38,    7.58
45.63128,8.30123,T2M,1999,   -1.89,   -2.69,    2.57,    6.41,   12.94,   14.82,   17.68,   17.20,   14.38,    8.48,    0.69,   -3.25,    7.34
45.63128,8.30123,T2M,2000,   -3.18,    0.09,    2.93,    6.76,   12.81,   16.21,   15.28,   17.57,   13.63,    8.60,    1.82,   -0.71,    7.67
45.63128,8.30123,T2M,2001,   -3.45,   -0.61,    3.49,    4.40,   12.85,   14.43,   17.24,   18.19,   10.15,   11.24,    2.23,   -3.32,    7.29
45.63128,8.30123,T2M,2002,   -2.26,    0.40,    4.46,    6.61,   10.92,   17.18,   16.59,   15.94,   11.98,    8.37,    4.12,   -0.21,    7.88
45.63128,8.30123,T2M,2003,   -3.30,   -4.57,    3.38,    6.17,   13.03,   19.59,   19.03,   21.26,   13.07,    5.71,    3.48,   -1.23,    8.04
45.63128,8.30123,T2M,2004,   -3.80,   -1.51,    0.93,    6.17,   10.08,   15.90,   17.69,   17.51,   14.38,    9.60,    3.20,   -0.65,    7.48
45.63128,8.30123,T2M,2005,   -3.38,   -4.63,    1.97,    6.62,   12.67,   17.51,   18.28,   16.14,   14.07,    8.62,    2.35,   -4.21,    7.23
45.63128,8.30123,T2M,2006,   -4.00,   -2.34,    0.39,    7.38,   11.89,   16.65,   20.57,   15.11,   15.29,   10.49,    4.77,    0.39,    8.10
45.63128,8.30123,T2M,2007,    0.38,    1.29,    3.58,   11.14,   12.44,   15.41,   17.45,   16.45,   12.20,    8.51,    1.54,   -1.79,    8.25
45.63128,8.30123,T2M,2008,   -0.89,    0.38,    2.30,    5.77,   11.71,   15.79,   17.13,   17.37,   12.19,    9.40,    2.77,   -2.84,    7.61
45.63128,8.30123,T2M,2009,   -3.93,   -3.09,    2.04,    7.56,   13.62,   15.48,   17.68,   18.85,   14.58,    8.03,    3.46,   -3.83,    7.60
45.63128,8.30123,T2M,2010,   -5.44,   -3.09,    0.81,    6.72,   10.25,   15.20,   19.00,   16.02,   12.39,    6.87,    1.83,   -5.17,    6.33
