LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
39.05661,16.525,T2M,1981,    6.18,    7.65,   11.64,   13.79,   17.15,   23.32,   24.34,   25.01,   22.63,   19.30,   11.57,   10.36,   16.13
39.05661,16.525,T2M,1982,    9.86,    7.94,    9.68,   12.57,   17.44,   24.06,   26.35,   25.89,   23.82,   18.56,   13.63,   10.08,   16.71
39.05661,16.525,T2M,1983,    8.93,    7.31,   10.64,   14.22,   18.68,   21.50,   26.36,   25.16,   22.08,   17.26,   12.95,    9.53,   16.28
39.05661,16.525,T2M,1984,    8.76,    8.23,    9.33,   12.03,   16.60,   21.14,   25.04,   24.34,   21.52,   17.81,   14.23,   10.19,   15.79
39.05661,16.525,T2M,1985,    7.73,    8.51,   10.33,   13.68,   18.41,   22.64,   26.12,   25.83,   22.54,   17.60,   14.16,   11.09,   16.60
39.05661,16.525,T2M,1986,    8.88,    8.62,   11.06,   13.69,   19.44,   21.86,   24.83,   26.78,   22.60,   18.55,   13.34,    9.06,   16.61
39.05661,16.525,T2M,1987,    8.38,    9.00,    7.24,   12.75,   15.59,   21.74,   27.05,   26.23,   25.03,   19.16,   13.83,   10.88,   16.45
39.05661,16.525,T2M,1988,   10.53,    8.99,   10.08,   13.74,   18.57,   22.66,   28.46,   27.24,   21.96,   18.65,   11.46,    8.58,   16.78
39.05661,16.525,T2M,1989,    8.38,    9.74,   12.30,   13.96,   16.63,   20.74,   25.06,   25.10,   21.72,   15.98,   12.65,   10.49,   16.10
39.05661,16.525,T2M,1990,    8.89,   10.89,   12.37,   13.75,   18.27,   22.66,   25.73,   24.95,   22.11,   19.53,   13.75,    8.76,   16.84
39.05661,16.525,T2M,1991,    8.08,    7.71,   12.02,   11.84,   14.24,   21.73,   24.93,   25.33,   22.58,   17.94,   13.16,    6.75,   15.57
39.05661,16.525,T2M,1992,    8.34,    7.93,   10.67,   13.68,   17.66,   21.02,   23.89,   26.82,   22.44,   18.80,   14.54,   10.15,   16.36
39.05661,16.525,T2M,1993,    8.17,    7.06,    9.61,   13.26,   18.62,   22.91,   25.36,   27.25,   22.58,   19.05,   13.32,   11.16,   16.59
39.05661,16.525,T2M,1994,    9.80,    9.35,   11.93,   12.89,   18.81,   22.58,   26.12,   28.09,   24.35,   18.36,   14.26,   10.30,   17.29
39.05661,16.525,T2M,1995,    8.12,   10.44,    9.52,   12.19,   17.60,   22.21,   26.26,   24.58,   20.62,   17.44,   11.56,   11.70,   16.06
39.05661,16.525,T2M,1996,    9.62,    7.81,    9.25,   12.54,   17.37,   21.87,   24.64,   25.68,   19.54,   15.61,   13.38,   10.50,   15.68
39.05661,16.525,T2M,1997,    9.78,    9.11,   10.10,   10.25,   18.47,   23.75,   25.12,   24.21,   21.98,   17.43,   13.74,   10.22,   16.23
39.05661,16.525,T2M,1998,    9.23,    9.98,    8.86,   13.61,   17.25,   23.82,   26.90,   27.19,   21.88,   18.06,   12.33,    8.38,   16.49
39.05661,16.525,T2M,1999,    8.71,    7.41,   10.62,   13.41,   19.17,   23.69,   25.04,   27.09,   22.49,   19.04,   13.89,   10.54,   16.82
39.05661,16.525,T2M,2000,    7.14,    8.54,   10.47,   14.38,   19.53,   23.35,   25.92,   26.90,   22.05,   17.91,   15.06,   11.63,   16.93
39.05661,16.525,T2M,2001,   10.54,    9.15,   13.63,   13.13,   18.85,   22.63,   26.33,   26.64,   21.63,   19.83,   13.47,    7.63,   17.01
39.05661,16.525,T2M,2002,    7.60,   10.53,   12.01,   13.67,   17.99,   23.72,   25.76,   24.94,   20.51,   17.31,   14.61,   10.85,   16.66
39.05661,16.525,T2M,2003,    9.86,    6.15,    9.83,   12.76,   20.20,   25.88,   27.67,   27.62,   21.70,   18.33,   14.34,    9.98,   17.10
39.05661,16.525,T2M,2004,    7.76,    8.83,   10.28,   13.35,   15.61,   21.76,   25.70,   25.73,   21.94,   19.91,   13.59,   11.81,   16.38
39.05661,16.525,T2M,2005,    7.92,    7.01,   10.38,   12.73,   18.27,   22.23,   26.05,   24.70,   21.75,   17.25,   13.53,    9.61,   16.01
39.05661,16.525,T2M,2006,    7.67,    8.37,   10.15,   14.26,   18.65,   22.60,   25.23,   25.06,   21.96,   18.67,   12.96,   11.18,   16.45
39.05661,16.525,T2M,2007,    9.85,   10.25,   11.38,   14.42,   18.44,   23.45,   27.03,   26.77,   21.39,   17.53,   12.40,    9.09,   16.87
39.05661,16.525,T2M,2008,    9.40,    8.65,   11.38,   13.50,   17.81,   23.15,   26.48,   27.18,   21.86,   18.20,   14.39,   10.18,   16.88
39.05661,16.525,T2M,2009,    9.67,    7.29,    9.91,   13.57,   19.33,   22.11,   25.92,   27.00,   22.59,   17.02,   13.29,   10.91,   16.61
39.05661,16.525,T2M,2010,    8.51,    9.07,   10.55,   13.69,   17.27,   22.06,   25.85,   26.47,   21.48,   17.12,   14.22,    9.35,   16.34
39.05661,16.525,T2M,2011,    8.80,    8.48,   10.15,   13.68,   17.07,   22.38,   25.81,   26.82,   24.32,   17.22,   13.67,   10.51,   16.62
39.05661,16.525,T2M,2012,    7.77,    7.57,   11.77,   13.72,   17.35,   24.57,   27.88,   27.99,   23.72,   19.57,   15.65,    9.61,   17.29
39.05661,16.525,T2M,2013,    9.21,    8.27,   11.12,   14.31,   17.94,   22.22,   25.54,   26.56,   22.23,   19.55,   14.39,   10.34,   16.86
39.05661,16.525,T2M,2014,   10.23,   10.74,   11.04,   13.30,   16.91,   22.65,   24.41,   26.12,   22.05,   18.71,   15.21,   10.70,   16.87
39.05661,16.525,T2M,2015,    8.98,    8.41,   10.64,   13.26,   18.89,   22.55,   27.87,   26.44,   23.79,   18.47,   14.10,   10.58,   17.05
39.05661,16.525,T2M,2016,    9.36,   11.43,   10.91,   15.18,   17.08,   22.20,   26.45,   25.15,   21.48,   18.50,   14.09,    9.70,   16.81
39.05661,16.525,T2M,2017,    6.61,   10.23,   11.87,   13.67,   18.45,   24.69,   26.91,   27.74,   21.69,   17.55,   13.01,    9.08,   16.83
39.05661,16.525,T2M,2018,   10.14,    8.83,   11.44,   15.55,   19.07,   22.58,   26.48,   25.66,   23.21,   18.77,   14.78,   10.32,   17.28
39.05661,16.525,T2M,2019,    7.13,    8.96,   11.64,   13.71,   15.66,   25.16,   26.72,   27.77,   23.47,   19.88,   15.35,   11.48,   17.29
39.05661,16.525,RH2M,1981,   77.37,   80.69,   79.43,   73.78,   69.08,   55.12,   53.12,   55.97,   61.66,   68.02,   70.93,   80.31,   68.73
39.05661,16.525,RH2M,1982,   82.41,   78.71,   77.48,   74.98,   69.00,   52.56,   50.85,   54.02,   61.91,   72.93,   80.78,   82.64,   69.81
39.05661,16.525,RH2M,1983,   82.96,   77.11,   77.87,   68.99,   59.56,   56.79,   50.08,   56.22,   61.18,   69.84,   81.97,   86.65,   69.06
39.05661,16.525,RH2M,1984,   83.60,   81.35,   77.83,   78.03,   69.10,   55.44,   47.19,   55.04,   61.74,   75.56,   80.67,   83.30,   70.70
39.05661,16.525,RH2M,1985,   84.05,   79.07,   82.67,   74.93,   68.63,   57.16,   47.68,   48.77,   58.93,   69.54,   77.48,   82.19,   69.20
39.05661,16.525,RH2M,1986,   80.05,   81.54,   82.37,   72.44,   66.39,   59.01,   57.71,   52.91,   59.74,   67.96,   78.81,   76.89,   69.58
39.05661,16.525,RH2M,1987,   79.40,   81.89,   73.10,   72.47,   68.74,   58.27,   49.11,   53.87,   56.77,   72.55,   77.61,   82.33,   68.76
39.05661,16.525,RH2M,1988,   86.11,   77.64,   75.76,   72.18,   66.74,   55.45,   44.91,   49.24,   62.18,   71.99,   74.63,   80.66,   68.09
39.05661,16.525,RH2M,1989,   82.55,   77.39,   72.43,   69.73,   67.24,   60.57,   57.58,   57.24,   66.24,   70.91,   77.26,   80.30,   69.91
39.05661,16.525,RH2M,1990,   81.53,   76.52,   67.26,   69.39,   63.63,   54.42,   49.91,   55.06,   62.18,   72.34,   81.31,   83.77,   68.05
39.05661,16.525,RH2M,1991,   83.25,   83.91,   82.81,   75.34,   70.91,   59.69,   55.51,   56.67,   65.73,   74.24,   78.17,   74.21,   71.63
39.05661,16.525,RH2M,1992,   79.24,   74.51,   70.96,   71.76,   65.79,   62.32,   59.24,   55.08,   61.23,   76.29,   79.88,   80.91,   69.75
39.05661,16.525,RH2M,1993,   81.78,   77.16,   75.17,   73.32,   69.35,   58.19,   48.09,   48.71,   61.53,   74.64,   82.46,   85.30,   69.59
39.05661,16.525,RH2M,1994,   85.75,   85.36,   76.43,   76.67,   64.36,   56.20,   54.52,   50.91,   59.94,   73.09,   77.03,   80.43,   69.96
39.05661,16.525,RH2M,1995,   81.26,   80.50,   76.64,   70.06,   63.90,   58.00,   54.13,   63.86,   71.87,   70.76,   77.84,   87.27,   71.29
39.05661,16.525,RH2M,1996,   84.96,   82.52,   81.42,   77.06,   73.83,   62.40,   52.85,   60.07,   70.86,   81.95,   84.25,   85.51,   74.78
39.05661,16.525,RH2M,1997,   86.83,   78.94,   74.92,   72.16,   61.68,   58.33,   52.41,   60.82,   67.81,   74.03,   86.40,   85.03,   71.56
39.05661,16.525,RH2M,1998,   85.80,   81.90,   73.27,   74.63,   71.13,   55.09,   49.51,   55.56,   67.36,   76.07,   79.64,   79.64,   70.73
39.05661,16.525,RH2M,1999,   83.50,   78.88,   77.51,   74.18,   68.18,   55.32,   58.26,   53.53,   68.59,   71.95,   80.17,   83.88,   71.12
39.05661,16.525,RH2M,2000,   80.13,   79.57,   74.59,   73.61,   66.64,   56.41,   47.79,   49.85,   63.92,   79.05,   77.96,   82.78,   69.32
39.05661,16.525,RH2M,2001,   84.92,   79.87,   76.18,   72.00,   66.86,   53.88,   50.57,   53.30,   64.96,   70.15,   76.28,   79.72,   68.99
39.05661,16.525,RH2M,2002,   79.94,   82.94,   76.21,   76.12,   69.82,   58.67,   58.69,   61.84,   72.56,   76.57,   84.09,   86.56,   73.60
39.05661,16.525,RH2M,2003,   84.87,   78.34,   75.67,   76.38,   62.22,   55.87,   50.47,   55.12,   66.38,   75.70,   84.04,   84.02,   70.70
39.05661,16.525,RH2M,2004,   81.49,   82.07,   81.36,   82.55,   73.81,   67.74,   54.71,   56.00,   66.52,   74.25,   81.50,   87.28,   74.06
39.05661,16.525,RH2M,2005,   81.31,   80.83,   78.07,   76.73,   70.71,   64.75,   54.12,   59.99,   72.02,   78.44,   80.54,   81.79,   73.21
39.05661,16.525,RH2M,2006,   82.17,   82.40,   80.47,   76.33,   67.93,   58.87,   62.03,   59.48,   67.46,   72.62,   75.59,   85.19,   72.50
39.05661,16.525,RH2M,2007,   84.13,   83.56,   82.65,   75.20,   72.69,   62.18,   46.49,   49.65,   58.96,   74.94,   79.32,   83.04,   70.99
39.05661,16.525,RH2M,2008,   84.31,   79.53,   79.17,   75.73,   67.20,   59.19,   52.18,   51.27,   61.08,   74.21,   79.09,   83.82,   70.54
39.05661,16.525,RH2M,2009,   87.38,   80.65,   80.45,   80.93,   69.05,   63.88,   55.31,   54.60,   67.81,   75.16,   81.43,   84.63,   73.38
39.05661,16.525,RH2M,2010,   84.34,   84.55,   77.91,   76.63,   70.79,   62.78,   57.52,   53.66,   65.22,   77.50,   84.54,   82.69,   73.09
39.05661,16.525,RH2M,2011,   83.66,   81.82,   80.76,   73.45,   72.23,   63.24,   52.43,   50.68,   60.68,   71.39,   79.19,   80.75,   70.79
39.05661,16.525,RH2M,2012,   77.60,   82.79,   71.94,   74.68,   67.78,   51.44,   49.01,   47.71,   57.71,   69.26,   79.22,   81.70,   67.51
39.05661,16.525,RH2M,2013,   83.21,   80.85,   81.63,   72.62,   67.28,   57.57,   54.52,   54.89,   64.40,   72.56,   78.93,   80.02,   70.65
39.05661,16.525,RH2M,2014,   83.53,   84.20,   77.53,   78.17,   69.02,   59.62,   58.30,   54.15,   66.40,   69.06,   81.15,   80.15,   71.68
39.05661,16.525,RH2M,2015,   80.83,   79.96,   81.67,   72.55,   63.80,   57.36,   51.07,   59.00,   58.19,   75.07,   79.95,   82.06,   70.08
39.05661,16.525,RH2M,2016,   82.93,   83.28,   79.64,   70.36,   70.55,   63.75,   52.91,   58.79,   67.36,   75.14,   81.68,   77.48,   71.94
39.05661,16.525,RH2M,2017,   79.79,   82.54,   74.22,   72.20,   63.03,   52.64,   47.61,   45.96,   61.46,   67.68,   78.35,   79.56,   66.97
39.05661,16.525,RH2M,2018,   82.66,   81.29,   80.97,   73.24,   69.89,   64.23,   54.16,   62.49,   60.02,   78.20,   83.06,   81.96,   72.64
39.05661,16.525,RH2M,2019,   79.74,   78.64,   74.95,   73.76,   72.00,   53.95,   52.02,   51.35,   64.65,   70.49,   79.64,   83.59,   69.51
