LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.58331,7.81042,T2M,1981,   -7.78,   -6.32,    0.09,    4.04,    6.67,   11.54,   12.12,   13.49,   10.00,    3.91,   -0.59,   -7.62,    3.34
45.58331,7.81042,T2M,1982,   -5.02,   -5.77,   -4.08,    0.97,    7.75,   12.03,   15.06,   12.95,   11.53,    3.84,    0.07,   -4.62,    3.78
45.58331,7.81042,T2M,1983,   -3.22,   -7.85,   -1.11,    1.39,    5.89,   11.44,   16.85,   12.69,   10.32,    5.90,    0.33,   -5.00,    4.05
45.58331,7.81042,T2M,1984,   -6.96,   -7.49,   -4.24,    0.36,    3.94,   10.18,   13.22,   12.15,    7.97,    5.48,    0.18,   -4.11,    2.59
45.58331,7.81042,T2M,1985,  -10.92,   -4.39,   -4.11,    1.72,    6.52,   10.03,   14.75,   13.21,   12.19,    6.62,   -3.78,   -2.79,    3.30
45.58331,7.81042,T2M,1986,   -7.83,   -9.72,   -2.52,    0.18,    8.89,   11.52,   13.38,   13.20,   10.66,    6.53,    0.54,   -4.74,    3.42
45.58331,7.81042,T2M,1987,   -8.12,   -4.64,   -5.06,    2.65,    5.88,   10.08,   14.03,   13.77,   13.00,    5.12,   -0.39,   -2.06,    3.73
45.58331,7.81042,T2M,1988,   -4.23,   -5.72,   -3.48,    2.91,    7.81,   10.24,   14.13,   14.13,   10.15,    6.93,   -0.69,   -4.02,    4.05
45.58331,7.81042,T2M,1989,   -2.96,   -2.25,    2.01,    0.70,    8.74,   10.48,   14.12,   13.57,    9.54,    6.13,   -0.42,   -2.84,    4.79
45.58331,7.81042,T2M,1990,   -4.04,   -0.80,    1.72,    1.64,    9.03,   11.06,   14.62,   14.31,    9.88,    6.20,   -1.70,   -7.44,    4.58
45.58331,7.81042,T2M,1991,   -5.35,   -7.17,    0.78,    1.84,    5.19,   10.69,   15.59,   15.66,   11.77,    3.70,   -1.21,   -4.48,    3.99
45.58331,7.81042,T2M,1992,   -4.25,   -3.69,   -0.58,    2.78,    9.15,    9.72,   13.91,   15.44,    9.84,    2.48,    0.99,   -4.16,    4.33
45.58331,7.81042,T2M,1993,   -3.69,   -4.60,   -2.37,    3.21,    8.49,   11.89,   12.45,   14.31,    8.26,    3.67,   -2.01,   -4.05,    3.85
45.58331,7.81042,T2M,1994,   -4.83,   -6.01,    1.44,    1.36,    8.29,   11.59,   16.01,   15.12,    8.67,    4.75,    3.07,   -2.22,    4.84
45.58331,7.81042,T2M,1995,   -7.37,   -2.54,   -3.91,    2.90,    7.38,   10.02,   15.50,   12.61,    7.13,    7.83,   -1.52,   -5.24,    3.60
45.58331,7.81042,T2M,1996,   -4.98,   -7.64,   -3.75,    3.47,    7.61,   12.30,   12.82,   12.16,    6.82,    4.59,   -1.46,   -5.36,    3.08
45.58331,7.81042,T2M,1997,   -4.51,   -2.56,    1.18,    3.15,    8.30,   10.80,   12.58,   14.56,   12.23,    5.46,   -0.61,   -4.72,    4.69
45.58331,7.81042,T2M,1998,   -5.45,   -1.06,   -0.47,    1.56,    8.75,   12.30,   14.51,   14.84,    8.80,    4.27,   -3.10,   -5.39,    4.16
45.58331,7.81042,T2M,1999,   -5.08,   -6.33,   -1.27,    2.47,    9.65,   11.28,   14.00,   13.90,   11.09,    5.45,   -2.69,   -5.96,    3.94
45.58331,7.81042,T2M,2000,   -6.34,   -3.28,   -1.15,    2.69,    9.36,   12.93,   11.71,   14.19,   10.41,    5.31,   -1.78,   -4.11,    4.18
45.58331,7.81042,T2M,2001,   -6.39,   -4.30,    0.16,    0.39,    9.46,   11.04,   13.90,   14.86,    6.66,    8.34,   -0.83,   -6.45,    3.97
45.58331,7.81042,T2M,2002,   -4.83,   -3.16,    0.23,    3.22,    7.35,   13.96,   13.23,   12.55,    8.72,    5.36,    0.65,   -3.28,    4.54
45.58331,7.81042,T2M,2003,   -6.70,   -8.32,   -0.13,    2.58,    9.33,   16.20,   15.38,   17.41,    9.78,    2.35,    0.46,   -4.57,    4.56
45.58331,7.81042,T2M,2004,   -6.55,   -4.72,   -2.81,    2.38,    6.79,   12.26,   13.81,   13.81,   10.93,    6.44,    0.16,   -3.85,    4.08
45.58331,7.81042,T2M,2005,   -6.51,   -8.45,   -1.66,    3.31,    9.22,   14.00,   14.30,   12.43,   10.86,    5.96,   -0.56,   -7.14,    3.88
45.58331,7.81042,T2M,2006,   -7.16,   -5.62,   -3.16,    3.75,    8.15,   13.11,   16.91,   11.10,   12.03,    7.40,    1.90,   -2.92,    4.67
45.58331,7.81042,T2M,2007,   -2.76,   -2.09,   -0.57,    7.47,    8.71,   11.95,   13.50,   13.03,    9.00,    5.65,   -1.64,   -5.18,    4.79
45.58331,7.81042,T2M,2008,   -3.85,   -2.68,   -2.05,    1.84,    8.34,   12.39,   13.76,   13.98,    9.10,    6.30,   -0.74,   -6.34,    4.19
45.58331,7.81042,T2M,2009,   -7.19,   -7.03,   -1.99,    3.75,   10.15,   11.99,   14.22,   15.41,   11.17,    5.08,    0.39,   -6.66,    4.17
45.58331,7.81042,T2M,2010,   -8.42,   -6.60,   -3.10,    2.99,    6.80,   11.95,   15.55,   12.58,    9.18,    4.03,   -1.77,   -8.15,    2.97
45.58331,7.81042,T2M,2011,   -6.10,   -3.14,   -0.99,    6.34,    9.71,   11.83,   12.21,   14.80,   12.46,    5.47,    2.08,   -3.78,    5.11
45.58331,7.81042,T2M,2012,   -5.40,   -7.85,    2.36,    2.42,    8.36,   13.24,   14.38,   15.65,   10.25,    5.92,    0.56,   -6.57,    4.49
45.58331,7.81042,T2M,2013,   -5.80,   -7.96,   -3.52,    2.94,    5.62,   11.12,   15.30,   14.17,   10.62,    6.37,   -1.27,   -3.34,    3.76
45.58331,7.81042,T2M,2014,   -4.40,   -4.23,   -0.22,    4.99,    6.97,   12.43,   12.71,   12.17,   10.57,    7.30,    1.94,   -3.63,    4.76
45.58331,7.81042,T2M,2015,   -5.04,   -5.57,   -0.60,    3.60,    9.05,   13.18,   17.02,   14.41,    8.90,    5.03,    2.08,    0.41,    5.28
45.58331,7.81042,T2M,2016,   -4.34,   -3.30,   -2.43,    3.81,    6.84,   11.69,   15.06,   14.43,   11.71,    4.79,   -0.43,   -2.00,    4.67
45.58331,7.81042,T2M,2017,   -7.74,   -2.91,    2.25,    4.29,    8.81,   14.54,   14.92,   15.43,    8.63,    7.18,   -1.08,   -5.61,    4.94
45.58331,7.81042,T2M,2018,   -2.67,   -7.13,   -2.98,    4.79,    9.21,   13.50,   16.09,   15.62,   12.52,    7.27,    1.00,   -2.55,    5.46
45.58331,7.81042,T2M,2019,   -6.86,   -1.36,    0.48,    3.17,    6.10,   14.88,   16.39,   15.45,   11.31,    7.38,   -0.86,   -2.58,    5.33
45.58331,7.81042,RH2M,1981,   67.79,   74.12,   80.52,   76.41,   77.04,   71.44,   73.85,   70.19,   82.61,   80.27,   68.86,   79.88,   75.26
45.58331,7.81042,RH2M,1982,   81.31,   80.36,   79.07,   76.33,   72.88,   71.07,   69.56,   71.89,   77.36,   81.57,   83.37,   80.00,   77.04
45.58331,7.81042,RH2M,1983,   66.49,   77.03,   76.19,   84.80,   80.40,   75.31,   67.73,   77.29,   72.42,   71.29,   74.18,   73.97,   74.72
45.58331,7.81042,RH2M,1984,   74.96,   79.71,   78.13,   77.05,   83.20,   75.54,   67.15,   77.40,   75.70,   76.12,   82.43,   78.06,   77.10
45.58331,7.81042,RH2M,1985,   79.56,   80.13,   83.34,   77.82,   81.02,   74.12,   70.81,   68.35,   67.95,   72.02,   82.42,   76.49,   76.14
45.58331,7.81042,RH2M,1986,   79.71,   85.84,   83.60,   88.38,   80.90,   71.67,   71.44,   72.01,   74.05,   72.63,   73.66,   72.23,   77.11
45.58331,7.81042,RH2M,1987,   75.59,   83.53,   75.42,   75.50,   68.78,   71.23,   74.39,   67.79,   68.82,   85.66,   78.67,   75.60,   75.03
45.58331,7.81042,RH2M,1988,   83.49,   73.04,   76.12,   84.69,   82.58,   77.97,   71.57,   72.46,   69.71,   82.74,   70.66,   74.19,   76.63
45.58331,7.81042,RH2M,1989,   63.90,   73.63,   70.19,   84.40,   72.97,   70.52,   70.56,   68.44,   74.68,   65.73,   72.68,   70.98,   71.50
45.58331,7.81042,RH2M,1990,   67.14,   71.20,   63.51,   75.17,   72.62,   70.30,   60.16,   61.77,   62.86,   80.14,   76.55,   75.64,   69.73
45.58331,7.81042,RH2M,1991,   70.67,   74.28,   84.82,   71.47,   68.21,   68.60,   60.84,   59.18,   69.07,   77.62,   77.85,   60.58,   70.22
45.58331,7.81042,RH2M,1992,   66.89,   67.02,   72.93,   72.95,   71.48,   80.22,   73.50,   67.07,   73.15,   84.15,   77.91,   76.60,   73.67
45.58331,7.81042,RH2M,1993,   73.77,   64.15,   75.35,   77.28,   76.79,   72.14,   67.32,   64.80,   76.19,   86.40,   80.44,   78.71,   74.51
45.58331,7.81042,RH2M,1994,   79.74,   82.00,   75.94,   75.69,   77.46,   69.81,   68.40,   65.83,   80.87,   74.60,   78.26,   78.52,   75.53
45.58331,7.81042,RH2M,1995,   73.75,   78.25,   72.37,   74.79,   73.61,   73.31,   72.58,   71.94,   76.69,   73.83,   76.34,   84.31,   75.12
45.58331,7.81042,RH2M,1996,   83.25,   80.97,   79.73,   73.32,   75.37,   70.48,   69.10,   73.61,   70.64,   77.60,   82.18,   84.04,   76.69
45.58331,7.81042,RH2M,1997,   77.03,   68.89,   67.64,   61.12,   70.29,   75.79,   70.20,   71.59,   65.38,   67.43,   81.02,   78.90,   71.30
45.58331,7.81042,RH2M,1998,   73.13,   59.80,   65.33,   77.18,   70.15,   68.73,   64.32,   61.42,   72.79,   76.52,   71.76,   71.79,   69.45
45.58331,7.81042,RH2M,1999,   72.98,   70.63,   75.15,   74.29,   77.07,   69.65,   69.85,   74.25,   78.65,   77.39,   77.95,   74.87,   74.42
45.58331,7.81042,RH2M,2000,   75.14,   75.60,   75.39,   82.20,   76.49,   70.39,   69.00,   69.97,   71.29,   85.13,   86.52,   82.70,   76.65
45.58331,7.81042,RH2M,2001,   83.78,   78.38,   85.35,   80.40,   79.15,   69.08,   73.52,   71.59,   74.35,   77.82,   74.63,   71.18,   76.61
45.58331,7.81042,RH2M,2002,   64.03,   80.37,   76.15,   73.53,   80.15,   72.60,   73.53,   78.36,   77.99,   76.88,   89.35,   85.44,   77.33
45.58331,7.81042,RH2M,2003,   78.41,   74.92,   73.42,   76.81,   73.13,   69.76,   65.52,   60.94,   68.61,   75.73,   83.09,   75.87,   72.98
45.58331,7.81042,RH2M,2004,   79.91,   71.79,   75.48,   78.08,   73.11,   67.21,   67.18,   71.33,   69.02,   82.06,   72.16,   75.29,   73.58
45.58331,7.81042,RH2M,2005,   65.66,   71.76,   70.98,   73.56,   66.49,   63.80,   64.82,   67.90,   77.21,   79.88,   73.57,   72.42,   70.65
45.58331,7.81042,RH2M,2006,   75.19,   74.86,   76.32,   73.14,   70.36,   63.65,   65.59,   67.21,   75.79,   77.75,   75.24,   72.06,   72.24
45.58331,7.81042,RH2M,2007,   78.22,   75.85,   72.78,   71.55,   73.04,   76.78,   66.54,   73.47,   68.97,   73.73,   72.71,   70.74,   72.84
45.58331,7.81042,RH2M,2008,   75.40,   71.38,   72.84,   77.16,   77.94,   76.76,   71.94,   71.90,   76.11,   79.81,   84.78,   81.98,   76.51
45.58331,7.81042,RH2M,2009,   76.66,   80.45,   75.50,   83.80,   73.42,   72.75,   72.99,   72.55,   75.17,   71.04,   83.26,   80.87,   76.48
45.58331,7.81042,RH2M,2010,   79.11,   83.89,   80.75,   77.63,   79.34,   78.27,   73.81,   75.40,   73.46,   79.63,   86.92,   81.57,   79.11
45.58331,7.81042,RH2M,2011,   78.94,   74.04,   84.22,   71.96,   72.77,   77.86,   73.91,   70.26,   73.33,   71.76,   74.87,   78.16,   75.19
45.58331,7.81042,RH2M,2012,   76.96,   69.85,   68.22,   80.12,   74.68,   73.85,   67.82,   67.65,   74.36,   77.88,   82.45,   77.63,   74.28
45.58331,7.81042,RH2M,2013,   74.95,   77.62,   83.19,   84.74,   78.18,   75.19,   75.01,   72.31,   71.70,   83.86,   79.64,   66.84,   76.92
45.58331,7.81042,RH2M,2014,   82.75,   86.08,   75.76,   75.43,   73.33,   73.77,   78.92,   77.03,   77.48,   81.03,   88.57,   82.98,   79.38
45.58331,7.81042,RH2M,2015,   78.35,   79.15,   79.72,   74.34,   75.00,   74.46,   70.36,   76.69,   77.71,   81.70,   70.93,   70.00,   75.69
45.58331,7.81042,RH2M,2016,   77.94,   83.39,   79.65,   79.41,   77.19,   77.68,   71.91,   72.35,   75.36,   74.25,   83.32,   67.85,   76.63
45.58331,7.81042,RH2M,2017,   74.42,   85.23,   76.44,   68.97,   74.48,   71.77,   69.10,   68.10,   70.71,   63.35,   74.22,   75.29,   72.58
45.58331,7.81042,RH2M,2018,   84.62,   81.17,   83.54,   79.47,   81.48,   73.48,   70.09,   71.46,   69.85,   78.90,   89.25,   74.89,   78.16
45.58331,7.81042,RH2M,2019,   74.60,   63.14,   67.32,   77.00,   72.69,   69.33,   66.76,   70.84,   71.16,   80.47,   89.65,   77.47,   73.42
