LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.0234,8.33451,T2M,1981,    0.34,    2.15,    8.56,   12.01,   14.91,   20.02,   20.74,   21.74,   17.57,   11.64,    6.04,    0.16,   11.37
45.0234,8.33451,T2M,1982,    1.29,    1.69,    5.58,   10.41,   15.96,   21.23,   23.96,   21.75,   19.48,   11.85,    7.22,    3.31,   12.03
45.0234,8.33451,T2M,1983,    4.35,    0.47,    7.44,   10.32,   14.38,   19.00,   24.51,   20.95,   18.28,   13.17,    5.51,    1.55,   11.74
45.0234,8.33451,T2M,1984,    1.02,    1.35,    5.27,   10.02,   11.82,   18.09,   21.73,   20.21,   16.27,   12.58,    6.74,    3.09,   10.71
45.0234,8.33451,T2M,1985,   -3.65,    2.15,    5.02,   11.20,   14.59,   18.31,   22.86,   21.87,   20.04,   13.52,    3.97,    4.20,   11.22
45.0234,8.33451,T2M,1986,    0.43,   -1.53,    5.80,    9.55,   17.27,   19.11,   21.27,   22.07,   18.11,   13.83,    7.17,    2.11,   11.35
45.0234,8.33451,T2M,1987,   -0.89,    2.11,    4.12,   11.38,   14.43,   19.13,   23.39,   22.82,   21.29,   11.99,    6.69,    3.61,   11.72
45.0234,8.33451,T2M,1988,    2.68,    3.59,    6.74,   11.09,   15.49,   17.89,   22.25,   22.24,   18.53,   14.06,    3.93,    2.98,   11.82
45.0234,8.33451,T2M,1989,    2.99,    5.50,   10.12,    9.84,   16.22,   18.91,   22.70,   22.38,   17.56,   12.76,    5.40,    2.44,   12.28
45.0234,8.33451,T2M,1990,    2.09,    7.20,   10.52,   10.23,   17.17,   19.91,   23.85,   23.04,   18.55,   13.12,    5.58,   -0.56,   12.59
45.0234,8.33451,T2M,1991,    1.13,    0.72,    9.05,    9.83,   13.16,   19.24,   24.87,   24.46,   19.92,   10.43,    5.57,    1.68,   11.74
45.0234,8.33451,T2M,1992,    1.69,    4.36,    8.28,   11.13,   17.30,   17.40,   22.09,   24.47,   18.18,   10.25,    7.56,    2.41,   12.12
45.0234,8.33451,T2M,1993,    2.75,    3.44,    6.49,   11.05,   16.45,   20.56,   21.49,   23.82,   16.79,   11.32,    4.45,    3.08,   11.86
45.0234,8.33451,T2M,1994,    3.21,    2.35,   10.60,   10.34,   16.02,   19.57,   24.27,   24.34,   16.93,   11.32,    9.11,    3.98,   12.74
45.0234,8.33451,T2M,1995,    0.47,    5.10,    5.71,   11.45,   15.32,   17.98,   23.85,   21.34,   15.62,   13.96,    5.71,    1.94,   11.58
45.0234,8.33451,T2M,1996,    1.60,    1.10,    5.16,   11.56,   15.41,   20.19,   21.05,   20.62,   14.50,   11.76,    6.31,    1.86,   10.96
45.0234,8.33451,T2M,1997,    1.83,    5.07,    9.88,   10.75,   16.41,   18.77,   21.33,   22.46,   19.67,   12.87,    6.36,    2.26,   12.35
45.0234,8.33451,T2M,1998,    1.86,    6.49,    7.88,   10.67,   16.58,   20.62,   23.87,   23.87,   17.36,   12.27,    4.50,    1.39,   12.32
