LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
53.13989,8.21453,T2M,1981,    0.24,    0.64,    5.77,    7.24,   13.03,   14.53,   16.16,   16.70,   14.17,    7.80,    4.89,   -2.99,    8.22
53.13989,8.21453,T2M,1982,   -2.01,    0.38,    4.02,    6.55,   11.46,   15.57,   17.82,   17.07,   15.22,   10.37,    6.13,    2.14,    8.77
53.13989,8.21453,T2M,1983,    4.49,   -0.82,    4.31,    7.88,   10.99,   14.92,   18.24,   17.46,   13.76,    9.76,    4.93,    1.11,    8.98
53.13989,8.21453,T2M,1984,    1.40,    0.30,    1.77,    6.67,   11.03,   13.28,   15.10,   17.17,   12.78,   10.52,    4.99,    1.81,    8.10
53.13989,8.21453,T2M,1985,   -5.74,   -2.71,    2.34,    7.10,   12.49,   13.21,   16.40,   15.57,   13.10,    9.56,    1.27,    3.43,    7.23
53.13989,8.21453,T2M,1986,   -0.38,   -5.21,    2.24,    5.41,   12.39,   15.00,   16.43,   15.31,   11.32,   10.05,    6.54,    2.67,    7.73
53.13989,8.21453,T2M,1987,   -5.54,   -0.46,   -0.99,    8.17,    9.36,   12.97,   16.01,   15.39,   13.82,    9.25,    6.07,    2.56,    7.25
53.13989,8.21453,T2M,1988,    4.10,    2.80,    3.22,    6.94,   13.02,   14.87,   16.24,   15.90,   13.55,    9.52,    4.48,    4.41,    9.11
53.13989,8.21453,T2M,1989,    3.31,    3.99,    6.43,    6.34,   12.40,   15.15,   17.08,   16.55,   14.99,   11.04,    3.79,    2.63,    9.51
53.13989,8.21453,T2M,1990,    3.28,    6.04,    7.01,    7.70,   13.12,   15.10,   16.36,   17.85,   12.58,   10.49,    5.02,    1.84,    9.72
53.13989,8.21453,T2M,1991,    1.88,   -1.90,    6.33,    7.33,    9.83,   12.69,   18.42,   17.66,   14.94,    9.03,    4.39,    2.01,    8.62
53.13989,8.21453,T2M,1992,    1.86,    3.62,    5.30,    7.42,   13.74,   17.48,   18.50,   17.89,   13.80,    7.08,    5.96,    1.84,    9.56
53.13989,8.21453,T2M,1993,    1.90,    0.89,    3.68,    9.81,   13.59,   14.90,   15.64,   15.00,   12.34,    7.97,    0.61,    2.60,    8.29
53.13989,8.21453,T2M,1994,    3.19,   -1.24,    5.12,    7.95,   11.83,   14.52,   20.34,   17.32,   13.25,    8.21,    7.45,    3.98,    9.40
53.13989,8.21453,T2M,1995,    1.14,    4.63,    3.41,    7.92,   11.70,   14.21,   19.18,   18.72,   13.94,   12.02,    4.29,   -2.95,    9.04
53.13989,8.21453,T2M,1996,   -3.74,   -2.52,    0.80,    7.65,   10.40,   14.87,   16.09,   18.11,   12.51,    9.87,    4.45,   -1.71,    7.26
53.13989,8.21453,T2M,1997,   -3.22,    3.96,    5.39,    6.58,   11.88,   15.49,   17.75,   20.53,   14.28,    8.71,    3.74,    2.46,    8.99
53.13989,8.21453,T2M,1998,    3.33,    4.70,    5.73,    8.59,   13.63,   15.85,   15.79,   16.00,   13.94,    8.87,    2.13,    1.40,    9.19
53.13989,8.21453,T2M,1999,    3.19,    2.13,    5.29,    8.85,   12.48,   14.51,   18.26,   17.07,   17.15,   10.00,    5.14,    3.42,    9.84
53.13989,8.21453,T2M,2000,    2.76,    4.37,    5.65,    9.08,   13.85,   15.47,   15.28,   16.75,   14.24,   10.56,    6.34,    3.40,    9.83
53.13989,8.21453,T2M,2001,    0.84,    2.22,    2.58,    7.09,   12.65,   14.00,   18.05,   18.21,   13.15,   12.84,    6.17,    1.53,    9.16
53.13989,8.21453,T2M,2002,    2.54,    5.11,    5.32,    7.93,   13.45,   16.15,   17.36,   19.54,   14.68,    8.24,    4.78,   -1.14,    9.52
53.13989,8.21453,T2M,2003,   -0.08,   -1.24,    4.72,    7.82,   12.57,   17.16,   18.50,   18.87,   14.37,    6.55,    6.16,    2.63,    9.06
53.13989,8.21453,T2M,2004,    0.81,    3.28,    4.51,    9.39,   11.68,   14.93,   16.31,   18.41,   14.66,   10.00,    5.31,    2.41,    9.32
