LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.7711,11.2486,T2M,1981,8.58,8.51,9.08,12.41,15.8,21.95,23.23,23.15,20.27,13.61,10.81,8.74,14.71
43.7711,11.2486,T2M,1982,5.02,8.05,7.67,9.94,15.39,17.56,21.68,22.18,19,14.72,8.78,6.76,13.1
43.7711,11.2486,T2M,1983,7.62,8.68,9.11,9.36,14.26,17.8,20.27,21.8,20.64,16.82,9.59,8,13.7
43.7711,11.2486,T2M,1984,7.39,7.72,10.07,10.29,16.22,19.5,24.52,22.36,21.97,13.3,8.97,5.58,14.01
43.7711,11.2486,T2M,1985,6.24,8.18,7.71,13.39,14.64,22.17,24,21.34,17.19,15.15,8.12,6.83,13.78
43.7711,11.2486,T2M,1986,9.11,9.89,11.53,11.25,14.64,19.86,22.22,22.8,16.79,15.37,12.07,8.05,14.5
43.7711,11.2486,T2M,1987,6.31,8.27,8.94,13.57,17.84,20.95,20.74,22.88,21.09,18.2,10.57,6.13,14.66
43.7711,11.2486,T2M,1988,6.83,9.09,10.39,12.13,14.45,19.69,25.47,22.84,21.1,17.71,10.05,6.94,14.74
43.7711,11.2486,T2M,1989,6.11,5.4,9.26,13.35,15.31,19.65,22.09,21.11,18.32,14.53,11.18,8.91,13.82
43.7711,11.2486,T2M,1990,7.11,6.54,10.01,14.29,15.04,18.68,23.31,22.59,20.29,16.84,11.04,5.17,14.29
43.7711,11.2486,T2M,1991,7.66,10.97,7.47,10.4,13.72,18.32,23.18,20.98,21.93,18.55,11.94,7.8,14.42
43.7711,11.2486,T2M,1992,7.25,9.54,10.9,13.22,18.74,19.48,21.95,23.86,20.67,17.24,10.84,6.4,15.03
43.7711,11.2486,T2M,1993,5.85,7.3,11.19,11.31,13.93,18.49,21.84,22.09,20.83,16.59,10.41,7.01,13.94
43.7711,11.2486,T2M,1994,7.93,6.99,10.66,12.18,15.6,19.77,23.23,22.48,20.5,15.23,7.05,5.8,14
43.7711,11.2486,T2M,1995,8.27,10.36,9.01,10.64,13.89,17.14,21.45,22.41,20.48,17.58,13.81,8.88,14.52
43.7711,11.2486,T2M,1996,8.15,9.37,10.45,12.28,14.64,19.78,24.29,24.16,19.66,15.73,11.09,8.9,14.9
43.7711,11.2486,T2M,1997,7.48,8.25,10.88,12.17,18.56,19.81,23.18,21.66,20.64,14.99,11.69,6.89,14.72
43.7711,11.2486,T2M,1998,8.6,7.58,9.52,10.49,11.54,16.67,21.87,24.29,21,14.83,9.55,5.93,13.53
43.7711,11.2486,T2M,1999,7.22,6.79,7.35,10.63,14.05,18.75,20.97,21.52,21.74,17.46,11.27,7.95,13.85
43.7711,11.2486,T2M,2000,7.53,8.69,9.73,12.42,15.19,20.66,21.43,22.12,20.28,14.9,8.74,8.24,14.18
43.7711,11.2486,T2M,2001,6.48,6.85,11.32,10.2,19.17,20.53,22.13,22.14,20.52,17.69,11.01,7.34,14.67
43.7711,11.2486,T2M,2002,5.98,8.73,9.04,11.75,14.59,19.97,22.93,22.41,20.99,16.27,11.61,8.36,14.41
43.7711,11.2486,T2M,2003,10.11,7.93,10.3,8.9,14.49,19.59,23.91,21.77,21.99,18.45,8.94,7.5,14.54
43.7711,11.2486,T2M,2004,7.03,7.82,12.86,12.99,15.68,19.89,22.56,22.63,21.14,15.25,9.94,8.11,14.68
43.7711,11.2486,T2M,2005,6.88,9.29,10.99,10.81,14.74,16.53,23.75,23.35,18.98,15.75,11.11,8.44,14.26
43.7711,11.2486,T2M,2006,7.38,8.54,6.66,11.03,15.56,19.86,24.25,21.67,20.54,15.35,10.47,7.16,14.07
43.7711,11.2486,T2M,2007,5.83,8.09,11.58,12.21,16.11,19.6,22.56,22.37,18.81,13.8,11.43,5.91,14.06
43.7711,11.2486,T2M,2008,5.58,7.91,8.97,10.6,16.05,20.36,23.14,23.08,21.05,16.32,11.8,6.26,14.28
43.7711,11.2486,T2M,2009,8.17,7.49,9.14,11.49,16.47,18.8,22.97,22.36,22.09,14.64,10.06,5.82,14.16
43.7711,11.2486,T2M,2010,7.53,8.82,8.8,9.54,11.8,18.17,21.55,20.86,20.9,15.64,9.54,7.74,13.43
43.7711,11.2486,T2M,2011,7.17,6.58,8.49,10.01,11.91,17.06,20.76,21.69,22.27,16.08,8.94,7.23,13.22
43.7711,11.2486,T2M,2012,7.79,8.01,8.19,11.46,15.4,18.63,21.51,22.73,20.82,16.41,11.5,6.85,14.12
43.7711,11.2486,T2M,2013,5.64,7.56,10.37,13.51,16.57,20.47,22.92,21.44,19.28,15.48,11.72,7.09,14.37
43.7711,11.2486,T2M,2014,10.22,9.18,11.33,13.19,16.94,21.02,23.23,22,20.47,17.71,12.1,9.28,15.6
43.7711,11.2486,T2M,2015,9.21,11.39,12.56,12.68,14.86,21.67,22.53,21.84,20.9,19.07,9.55,7.25,15.32
43.7711,11.2486,T2M,2016,7.94,10.73,10.68,13.15,15.8,20.35,22.44,21.84,20.57,14.86,11.3,6.45,14.68
43.7711,11.2486,T2M,2017,6.24,8.54,10.89,11.24,15.52,20.15,23.49,24.1,21.61,17.08,10.75,8.53,14.88
43.7711,11.2486,T2M,2018,8.91,8.82,9.23,11.79,15.64,20.41,24.26,21.69,19.82,16.6,12.54,7.84,14.83
43.7711,11.2486,T2M,2019,8.87,5.98,9.16,13.56,13.74,20.16,22.09,23.41,20.36,15.97,12.87,8.2,14.58
43.7711,11.2486,RH2M,1981,81.2,81.45,79.34,70.42,57.37,37.03,29.3,33.39,41.15,61.77,81.62,89.49,61.85
43.7711,11.2486,RH2M,1982,85.73,82.55,83.18,77.84,67.41,58.09,39.9,36.61,44.45,57.14,75.77,84.35,65.97
43.7711,11.2486,RH2M,1983,85.28,89.19,89.07,79.07,74.13,61.13,47.76,46.86,46.13,53.51,84.85,93.09,70.72
43.7711,11.2486,RH2M,1984,84.79,83.74,78.64,73.35,58.14,43.75,30.18,37.21,32.28,65.01,85.23,85.04,63.05
43.7711,11.2486,RH2M,1985,79.37,76.67,78.46,69.53,55.35,37.17,32,34.62,53.8,50.94,68.72,80.76,59.67
43.7711,11.2486,RH2M,1986,84.85,86.28,82.28,74.53,67.62,47.12,35.73,33.95,54.68,53.58,54.89,71.19,62.08
43.7711,11.2486,RH2M,1987,77.29,76.89,79.56,65.19,53.64,36.78,41.29,33.64,35.76,47.52,73.53,83.36,58.62
43.7711,11.2486,RH2M,1988,87.14,76.02,68.77,67.34,59.05,48.94,31.23,36.24,30.4,45.74,80.9,77.54,59.04
43.7711,11.2486,RH2M,1989,81.18,76.68,85.26,73.87,63.3,49.03,35.49,40.23,50.17,59.91,64.19,65.49,61.98
43.7711,11.2486,RH2M,1990,82.21,80.52,77.75,66.25,59.62,53.59,40.2,42.76,44.93,42.45,55.54,61.28,58.79
43.7711,11.2486,RH2M,1991,66.19,69.4,84.2,74.14,65.36,49.61,39.97,46.46,36.48,41.25,61.15,69.85,58.62
43.7711,11.2486,RH2M,1992,80.71,85.73,82.21,75.73,59.78,53.91,44.21,33.53,39.96,57.34,63.45,84.71,63.37
43.7711,11.2486,RH2M,1993,86.53,86.99,83.95,78,77.56,58.31,40.64,39.6,35.68,55.65,53.55,81.33,64.73
43.7711,11.2486,RH2M,1994,79.91,82.21,74.87,71.78,65.44,41.37,34.11,34.94,43.68,51.08,75.38,86.66,61.66
43.7711,11.2486,RH2M,1995,94.3,83.57,83.41,79.12,78.16,65.59,50.46,34.63,45.07,39.91,63.46,86.77,66.94
43.7711,11.2486,RH2M,1996,86.35,89.92,78.31,76.61,70.08,50.67,35.47,31.46,40.36,51.53,73.5,87.25,64.2
43.7711,11.2486,RH2M,1997,86.47,80.29,75.72,71.68,55.3,48.59,37.7,47.7,45.87,57.67,78.65,81.03,63.78
43.7711,11.2486,RH2M,1998,94.53,90.82,81.61,79.35,80.5,73.67,52.25,33.38,47.06,49.41,83.55,79.99,70.34
43.7711,11.2486,RH2M,1999,81.19,85.99,82.32,72.83,66.03,49.21,38.32,44.53,33.37,41.68,78.88,72.02,62.04
43.7711,11.2486,RH2M,2000,88.29,90.72,79.05,75.77,68.42,48.6,41.89,39.9,45.26,59.9,73.11,73.2,65.25
43.7711,11.2486,RH2M,2001,76.62,83.38,79.88,74.11,48.63,39.79,40.68,42.98,44.42,48.36,77.73,91.28,62.18
43.7711,11.2486,RH2M,2002,85.29,82.53,76.36,77.42,63.94,46.29,39.2,37.07,37.83,43.06,65.01,87.54,61.68
43.7711,11.2486,RH2M,2003,90.06,80.2,81.82,83.27,73.5,56.83,38.8,45.39,38.12,42.09,75.89,90.2,66.27
43.7711,11.2486,RH2M,2004,89.36,86.17,75.72,72.7,63.84,48.43,44.01,44.1,37.68,60.27,71.69,82.9,64.7
43.7711,11.2486,RH2M,2005,88.23,85.91,80.1,76.57,78.38,67.96,45.43,36.54,42.87,53.97,71.25,86.71,67.71
43.7711,11.2486,RH2M,2006,90.2,80.31,87.24,84.12,74.45,61.57,40.5,40.53,37.48,48.07,78.75,77.24,66.61
43.7711,11.2486,RH2M,2007,76,86.29,76.3,70,57.28,44.56,45.55,42.25,49.46,65.13,61.77,80.53,62.81
43.7711,11.2486,RH2M,2008,88.87,83.03,76.2,68.82,57.5,37.49,38.02,40.14,38.04,47.12,75.18,78.96,60.72
43.7711,11.2486,RH2M,2009,72.13,83.63,78.53,69.45,63.24,54,36.59,39.42,38.55,61.39,68.39,81.92,62.15
43.7711,11.2486,RH2M,2010,90.88,89.08,79.81,78.54,74.64,61.95,45.09,44.36,41.37,61.26,75.62,91.04,69.36
43.7711,11.2486,RH2M,2011,84.5,78.79,87.83,77.16,74.04,67.13,51.04,41.21,37.46,61.65,73.06,62.76,66.32
43.7711,11.2486,RH2M,2012,73.15,75.71,79.77,77.28,61.9,49.74,42.15,35.46,35.16,57.33,77.27,86.39,62.57
43.7711,11.2486,RH2M,2013,83,77.53,77.4,66.19,52.94,46.96,38.97,46.42,52.21,40.16,56.5,57.95,57.89
