LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.20919,10.26121,T2M,1981,    1.60,    2.68,    8.53,   11.55,   14.40,   19.59,   20.95,   21.80,   18.24,   13.48,    7.47,    4.61,   12.13
44.20919,10.26121,T2M,1982,    3.72,    3.14,    6.16,    9.84,   15.33,   20.64,   23.98,   21.67,   19.73,   13.02,    9.24,    6.22,   12.78
44.20919,10.26121,T2M,1983,    6.06,    2.38,    7.81,   10.64,   13.97,   18.95,   25.16,   21.94,   19.00,   13.59,    7.05,    4.17,   12.63
44.20919,10.26121,T2M,1984,    3.85,    2.37,    5.57,    9.61,   11.76,   17.18,   21.50,   20.64,   16.52,   12.83,    8.62,    5.22,   11.34
44.20919,10.26121,T2M,1985,    0.01,    3.63,    5.90,   10.36,   14.08,   18.05,   23.30,   22.52,   20.46,   14.01,    6.40,    6.55,   12.16
44.20919,10.26121,T2M,1986,    3.16,    0.74,    6.08,    9.80,   16.76,   18.18,   21.08,   22.45,   17.88,   14.33,    8.43,    4.08,   11.99
44.20919,10.26121,T2M,1987,    1.52,    3.60,    4.03,   10.70,   13.18,   18.02,   22.61,   22.32,   20.78,   13.73,    8.45,    5.47,   12.08
44.20919,10.26121,T2M,1988,    5.90,    5.15,    7.06,   10.95,   15.08,   17.46,   22.87,   23.11,   17.98,   15.10,    5.60,    4.64,   12.61
44.20919,10.26121,T2M,1989,    3.84,    6.43,    9.90,   10.42,   15.06,   18.29,   21.96,   22.25,   16.85,   12.90,    6.65,    4.86,   12.49
44.20919,10.26121,T2M,1990,    4.22,    7.84,    8.79,    9.80,   15.93,   18.98,   22.23,   22.11,   18.17,   14.35,    7.77,    2.29,   12.74
44.20919,10.26121,T2M,1991,    3.18,    2.00,    9.08,    9.12,   12.00,   17.87,   23.68,   23.72,   19.64,   11.61,    7.34,    2.53,   11.88
44.20919,10.26121,T2M,1992,    3.46,    5.00,    7.77,   10.51,   16.11,   17.49,   21.87,   23.97,   18.70,   12.63,    9.50,    4.29,   12.63
44.20919,10.26121,T2M,1993,    3.77,    3.48,    6.34,   10.65,   16.14,   20.45,   21.37,   23.94,   17.43,   12.70,    6.05,    5.75,   12.40
44.20919,10.26121,T2M,1994,    5.12,    3.85,   10.34,   10.09,   15.50,   18.89,   24.49,   24.77,   17.82,   12.31,   10.35,    5.98,   13.36
44.20919,10.26121,T2M,1995,    2.83,    6.53,    6.14,   10.35,   14.44,   17.10,   23.44,   21.19,   16.27,   14.43,    7.56,    4.55,   12.11
44.20919,10.26121,T2M,1996,    4.29,    2.28,    5.47,   11.07,   14.65,   19.51,   21.28,   21.38,   15.49,   12.47,    8.76,    4.23,   11.77
44.20919,10.26121,T2M,1997,    4.23,    6.18,    8.99,    9.42,   15.63,   18.94,   21.53,   22.52,   19.53,   13.52,    8.32,    5.33,   12.89
44.20919,10.26121,T2M,1998,    4.65,    6.24,    7.22,   10.64,   15.78,   20.21,   23.31,   23.76,   17.80,   13.12,    5.99,    3.18,   12.70
44.20919,10.26121,T2M,1999,    4.81,    3.80,    8.43,   11.20,   16.71,   19.82,   22.67,   22.66,   19.40,   14.09,    6.90,    4.46,   12.97
44.20919,10.26121,T2M,2000,    3.25,    5.88,    8.32,   11.63,   17.33,   20.94,   20.95,   23.37,   18.75,   13.91,    9.78,    6.74,   13.42
44.20919,10.26121,T2M,2001,    4.56,    5.33,   10.00,    9.90,   16.35,   19.51,   22.53,   24.16,   16.41,   16.17,    7.47,    2.70,   12.98
44.20919,10.26121,T2M,2002,    3.42,    6.69,    9.53,   10.92,   15.58,   21.81,   22.07,   21.34,   16.93,   14.10,   10.63,    5.51,   13.24
44.20919,10.26121,T2M,2003,    3.57,    1.53,    7.84,    9.93,   17.75,   24.32,   24.75,   26.48,   18.38,   12.02,    9.29,    5.04,   13.48
44.20919,10.26121,T2M,2004,    3.39,    4.58,    6.36,   10.74,   13.57,   19.41,   22.37,   22.82,   19.07,   15.23,    8.74,    5.35,   12.66
44.20919,10.26121,T2M,2005,    3.32,    1.55,    6.72,   10.17,   16.67,   21.17,   23.16,   21.19,   18.32,   13.39,    7.54,    3.23,   12.27
44.20919,10.26121,T2M,2006,    1.31,    4.15,    6.35,   11.75,   15.69,   20.44,   25.50,   20.69,   19.42,   15.25,   10.39,    6.50,   13.17
44.20919,10.26121,T2M,2007,    7.07,    7.16,    8.37,   14.10,   17.09,   19.72,   23.21,   21.61,   17.89,   13.00,    7.39,    3.92,   13.41
44.20919,10.26121,T2M,2008,    5.18,    5.20,    7.54,   10.97,   15.79,   20.06,   22.63,   23.40,   17.45,   14.97,    8.44,    4.66,   13.05
44.20919,10.26121,T2M,2009,    2.60,    4.15,    7.69,   12.03,   17.43,   19.73,   23.40,   25.08,   19.33,   12.97,    9.67,    4.02,   13.23
44.20919,10.26121,T2M,2010,    1.27,    3.77,    6.61,   11.14,   14.52,   19.48,   24.15,   21.38,   17.83,   11.98,    8.63,    2.96,   12.02
44.20919,10.26121,T2M,2011,    2.98,    4.49,    6.83,   12.92,   16.77,   20.05,   21.26,   23.97,   20.82,   13.38,    8.63,    6.25,   13.24
44.20919,10.26121,T2M,2012,    4.00,    0.72,   10.08,   11.02,   15.42,   21.73,   23.51,   25.25,   18.64,   14.27,    9.96,    4.16,   13.28
44.20919,10.26121,T2M,2013,    3.63,    2.53,    6.28,   11.84,   13.69,   18.58,   23.32,   23.26,   19.14,   14.90,    8.72,    6.15,   12.73
44.20919,10.26121,T2M,2014,    6.37,    7.11,    8.87,   12.18,   14.79,   20.26,   21.08,   20.67,   18.29,   15.18,   11.43,    6.34,   13.58
44.20919,10.26121,T2M,2015,    5.30,    3.68,    7.95,   11.26,   15.93,   21.29,   26.21,   23.75,   18.14,   13.19,    9.54,    7.78,   13.73
44.20919,10.26121,T2M,2016,    5.12,    7.06,    7.51,   12.36,   15.06,   19.17,   23.73,   22.54,   20.31,   13.18,    8.95,    5.70,   13.41
