LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
39.24748,16.30457,T2M,1981,    4.59,    6.29,   10.31,   12.56,   15.65,   21.81,   22.87,   23.66,   21.05,   17.70,   10.09,    9.18,   14.70
39.24748,16.30457,T2M,1982,    8.66,    6.49,    8.24,   11.33,   16.31,   22.34,   25.06,   24.22,   22.51,   16.95,   12.37,    8.79,   15.32
39.24748,16.30457,T2M,1983,    7.71,    5.86,    9.29,   12.85,   17.14,   20.30,   25.15,   23.85,   20.64,   15.92,   11.84,    8.39,   14.97
39.24748,16.30457,T2M,1984,    7.69,    6.90,    8.02,   10.79,   15.35,   19.60,   23.63,   22.98,   19.93,   16.74,   13.12,    9.07,   14.51
39.24748,16.30457,T2M,1985,    6.52,    7.46,    9.00,   12.41,   16.98,   21.04,   24.92,   24.37,   21.48,   16.30,   12.80,   10.00,   15.32
39.24748,16.30457,T2M,1986,    7.73,    7.34,    9.96,   12.46,   18.06,   20.03,   23.60,   25.40,   21.33,   17.31,   12.07,    7.84,   15.31
39.24748,16.30457,T2M,1987,    7.24,    7.75,    5.71,   11.43,   14.03,   20.54,   25.63,   25.07,   23.78,   18.05,   12.50,    9.77,   15.16
39.24748,16.30457,T2M,1988,    9.48,    7.66,    8.81,   12.57,   17.40,   20.98,   26.99,   25.74,   20.39,   17.33,   10.19,    7.29,   15.44
39.24748,16.30457,T2M,1989,    7.31,    8.51,   11.29,   12.81,   15.54,   19.13,   23.74,   23.97,   20.43,   14.72,   11.35,    9.25,   14.88
39.24748,16.30457,T2M,1990,    7.65,    9.95,   11.02,   12.30,   17.06,   21.29,   24.39,   23.52,   20.58,   18.64,   12.38,    7.58,   15.56
39.24748,16.30457,T2M,1991,    6.78,    6.41,   11.08,   10.49,   12.75,   20.27,   23.57,   24.11,   21.40,   16.69,   11.82,    5.00,   14.24
39.24748,16.30457,T2M,1992,    7.22,    6.67,    9.50,   12.29,   16.65,   19.63,   22.67,   25.37,   21.12,   17.57,   13.50,    8.87,   15.12
39.24748,16.30457,T2M,1993,    6.97,    5.59,    8.33,   12.00,   17.26,   21.64,   23.85,   25.96,   21.35,   18.05,   12.07,   10.15,   15.33
39.24748,16.30457,T2M,1994,    8.66,    8.19,   10.74,   11.67,   17.84,   21.14,   24.77,   26.75,   22.90,   17.06,   13.03,    8.99,   16.03
39.24748,16.30457,T2M,1995,    6.86,    9.33,    8.17,   10.99,   16.39,   20.73,   24.89,   23.25,   19.31,   16.33,   10.17,   10.54,   14.79
39.24748,16.30457,T2M,1996,    8.53,    6.62,    8.14,   11.39,   16.07,   20.57,   23.21,   24.54,   18.18,   14.47,   12.26,    9.34,   14.47
39.24748,16.30457,T2M,1997,    8.89,    8.08,    8.98,    9.04,   17.31,   22.54,   23.61,   23.01,   20.82,   16.24,   12.68,    8.99,   15.06
39.24748,16.30457,T2M,1998,    8.26,    8.90,    7.66,   12.40,   15.98,   22.48,   25.32,   25.71,   20.41,   16.66,   10.90,    6.99,   15.17
39.24748,16.30457,T2M,1999,    7.59,    6.24,    9.43,   12.05,   18.12,   22.18,   23.50,   25.57,   21.29,   17.73,   12.64,    9.35,   15.53
39.24748,16.30457,T2M,2000,    5.87,    7.26,    9.19,   13.06,   18.17,   21.84,   24.04,   25.42,   20.53,   16.62,   13.63,   10.56,   15.54
39.24748,16.30457,T2M,2001,    9.29,    7.90,   12.19,   11.71,   17.70,   21.17,   24.71,   25.03,   20.13,   18.55,   11.98,    6.13,   15.59
39.24748,16.30457,T2M,2002,    6.30,    9.40,   10.92,   12.50,   16.63,   22.58,   23.79,   23.27,   19.09,   15.95,   13.47,    9.63,   15.32
39.24748,16.30457,T2M,2003,    8.57,    4.59,    8.65,   11.85,   18.96,   24.47,   25.89,   26.21,   20.36,   17.02,   13.15,    8.62,   15.77
39.24748,16.30457,T2M,2004,    6.45,    7.49,    8.97,   12.28,   14.23,   20.16,   24.13,   23.99,   20.59,   18.51,   12.26,   10.72,   15.01
39.24748,16.30457,T2M,2005,    6.37,    5.41,    8.95,   11.44,   17.03,   20.94,   24.31,   23.08,   20.31,   16.03,   12.22,    8.27,   14.58
39.24748,16.30457,T2M,2006,    6.18,    6.99,    8.71,   12.98,   17.33,   21.06,   24.16,   23.27,   20.57,   17.27,   11.70,    9.99,   15.07
39.24748,16.30457,T2M,2007,    8.71,    9.04,   10.16,   13.36,   16.79,   21.45,   25.13,   25.16,   19.78,   16.43,   11.16,    7.74,   15.45
39.24748,16.30457,T2M,2008,    8.20,    7.23,    9.95,   12.30,   16.83,   21.82,   24.61,   25.45,   20.29,   16.89,   13.07,    8.74,   15.48
39.24748,16.30457,T2M,2009,    8.55,    5.86,    8.73,   12.44,   17.99,   20.61,   24.30,   25.75,   21.08,   15.45,   12.20,    9.69,   15.28
39.24748,16.30457,T2M,2010,    7.26,    7.84,    9.28,   12.73,   15.81,   20.57,   24.43,   24.60,   19.89,   15.81,   13.03,    8.16,   14.99
39.24748,16.30457,T2M,2011,    7.63,    7.35,    8.85,   12.46,   15.81,   20.80,   24.05,   25.25,   22.77,   15.77,   12.38,    9.24,   15.24
39.24748,16.30457,T2M,2012,    6.34,    5.95,   10.49,   12.42,   15.78,   22.93,   25.85,   26.52,   21.91,   18.06,   14.18,    8.32,   15.76
39.24748,16.30457,T2M,2013,    8.00,    6.81,    9.87,   13.22,   16.37,   20.36,   23.88,   25.04,   20.49,   18.32,   12.85,    9.07,   15.41
39.24748,16.30457,T2M,2014,    8.93,    9.54,    9.54,   11.87,   15.39,   21.10,   22.57,   24.06,   20.48,   17.49,   14.10,    9.29,   15.40
39.24748,16.30457,T2M,2015,    7.53,    6.84,    9.31,   11.86,   17.15,   20.99,   26.23,   25.12,   21.91,   16.86,   12.96,    9.41,   15.57
39.24748,16.30457,T2M,2016,    8.12,   10.11,    9.50,   13.79,   15.57,   20.32,   24.69,   23.38,   19.95,   17.04,   12.76,    8.16,   15.30
39.24748,16.30457,T2M,2017,    5.16,    9.05,   10.45,   12.33,   16.91,   22.88,   25.11,   26.21,   19.81,   16.20,   11.61,    7.64,   15.32
39.24748,16.30457,T2M,2018,    8.99,    7.33,   10.04,   14.37,   17.42,   20.78,   24.43,   24.24,   21.46,   17.38,   13.39,    9.09,   15.79
