LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.5968,11.2186,T2M,1981,23.6,23.83,20.77,14.56,10.49,5.88,6.04,7.78,9.9,15.12,18.57,22.22,14.85
44.5968,11.2186,T2M,1982,25.15,21.6,20.07,15.49,11.65,4.45,4.61,7.99,10.98,13.64,17.36,24.06,14.73
44.5968,11.2186,T2M,1983,23.77,22.82,19.76,14.41,9.26,3.96,4.61,7.74,10.27,16.52,21.72,25.52,14.99
44.5968,11.2186,T2M,1984,24.99,22.3,19.19,12.32,7.7,2.57,3.83,6.84,10.86,14.93,17.36,19.84,13.54
44.5968,11.2186,T2M,1985,23.36,22.35,19.06,13.35,10.18,8.14,6.74,7.98,11.97,14.89,21.1,23.73,15.2
44.5968,11.2186,T2M,1986,23,22.71,18.79,14.21,9.42,6.31,6.99,7.59,10.13,16.4,18.22,23.03,14.69
44.5968,11.2186,T2M,1987,25.98,25.2,18.96,14.89,8.26,7.95,7.92,6.72,10.11,15.41,20.46,21.13,15.19
44.5968,11.2186,T2M,1988,22.88,24.5,19.28,13.76,8.44,6.59,3.66,7.47,10.72,13.84,20.66,23.32,14.56
44.5968,11.2186,T2M,1989,24.88,25.46,20,15.03,9.68,7.99,5.88,8.46,10.42,16,21.12,23.76,15.67
44.5968,11.2186,T2M,1990,24.58,22.88,17.98,12.61,9.01,6.21,5.95,9.85,11.02,16.61,20,23.25,14.96
44.5968,11.2186,T2M,1991,24.14,23.35,20.79,14.63,10.9,5.93,5.43,7.01,11.26,14.27,20.32,19.88,14.78
44.5968,11.2186,T2M,1992,24.47,22.03,22.01,13.54,7.99,4.87,2.74,7.37,10.92,14.49,17.82,20.49,14.04
44.5968,11.2186,T2M,1993,22.94,24.6,20.98,13.89,8.55,6.39,4.68,8.06,10.45,14.98,17.23,21.91,14.5
44.5968,11.2186,T2M,1994,24.34,22.21,20.28,13.33,10.02,7.41,5.34,7.12,10.86,13.97,19.31,23.67,14.78
44.5968,11.2186,T2M,1995,22.89,22.06,19.07,14.58,10.6,6.24,4.58,6.61,11.22,14.5,19.89,26.05,14.82
44.5968,11.2186,T2M,1996,22.94,21.21,19.89,12.34,9.59,4.08,5.33,8.32,10.62,15.53,20.28,20.22,14.18
44.5968,11.2186,T2M,1997,23.79,21.09,20.29,15.49,10.88,6.78,6.68,8.1,10.99,13.45,17.48,21.32,14.67
44.5968,11.2186,T2M,1998,23.6,21.17,18.54,13.75,11.62,7.14,7.64,8.62,10.32,17.36,20.45,23.91,15.32
44.5968,11.2186,T2M,1999,25.04,23.91,18.02,12.08,8.05,4.41,4.3,7.71,11.19,15.46,18.27,21.88,14.14
44.5968,11.2186,T2M,2000,23.71,21.48,18.56,14.39,9,6.29,3.71,5.54,8.28,13.64,17.4,21.11,13.57
44.5968,11.2186,T2M,2001,23.87,24.02,19.76,13.87,8.98,6.53,5.13,8.58,10.51,16.06,17.68,23.98,14.87
44.5968,11.2186,T2M,2002,23.96,22.99,17.5,12.82,9.16,3.71,5.67,7.84,10.94,14.89,18.51,22.3,14.15
44.5968,11.2186,T2M,2003,23.76,22.52,21.26,13.34,10.25,8.26,5.82,7.89,11.9,16.66,20.11,20.49,15.15
44.5968,11.2186,T2M,2004,26.51,22.44,20.68,13.51,7.81,7.05,6.1,7.82,11.52,15.01,18.88,22.48,14.97
44.5968,11.2186,T2M,2005,23.05,25.03,19.41,13.29,9.18,5.38,5.61,7.09,10.71,14.35,19.44,21.33,14.43
44.5968,11.2186,T2M,2006,23.91,23.74,18.28,15.14,9.46,6.92,6.64,8.05,11.16,15.03,19.41,22.5,14.97
44.5968,11.2186,T2M,2007,24.84,21.99,19.33,14.83,7.55,5.19,4.33,5.21,11,15.75,18.84,22.86,14.27
44.5968,11.2186,T2M,2008,24.27,25.34,20.82,14.24,9.38,5.02,6.62,7.79,11.66,16.38,22.45,24.73,15.7
44.5968,11.2186,T2M,2009,25.76,24.29,21.76,16.71,10.45,6.28,5.17,8.77,9.8,14.28,16.3,21.4,15.03
