LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
62.04488,-7.03229,T2M,1981,    3.90,    4.86,    4.26,    5.70,    7.29,    8.20,   10.05,   10.83,   10.29,    6.19,    4.90,    3.26,    6.65
62.04488,-7.03229,T2M,1982,    4.29,    5.98,    5.33,    5.97,    7.42,    8.85,   11.00,   10.34,    8.67,    8.41,    5.59,    4.48,    7.20
62.04488,-7.03229,T2M,1983,    4.16,    4.37,    4.86,    4.18,    6.61,    8.77,    9.83,   10.12,    8.18,    7.17,    5.80,    4.99,    6.60
62.04488,-7.03229,T2M,1984,    3.12,    5.47,    4.19,    6.19,    7.09,    9.01,   10.89,   11.25,    9.54,    7.91,    6.61,    6.46,    7.32
62.04488,-7.03229,T2M,1985,    3.70,    4.52,    4.12,    4.87,    7.08,    8.33,   10.44,   10.58,    8.47,    8.85,    4.21,    3.80,    6.60
62.04488,-7.03229,T2M,1986,    3.92,    3.80,    5.55,    5.18,    7.28,    9.28,   10.43,   10.17,    8.81,    7.69,    6.14,    4.86,    6.95
62.04488,-7.03229,T2M,1987,    4.74,    4.51,    4.49,    6.57,    6.89,    8.14,   10.53,   10.53,    9.72,    7.93,    7.10,    6.37,    7.31
62.04488,-7.03229,T2M,1988,    4.13,    4.09,    4.12,    4.77,    7.26,    9.49,   10.42,   10.99,    9.85,    8.00,    6.51,    6.09,    7.15
62.04488,-7.03229,T2M,1989,    6.12,    4.53,    4.72,    5.40,    7.22,    8.52,   10.24,   10.33,    9.61,    7.96,    6.41,    5.08,    7.20
62.04488,-7.03229,T2M,1990,    5.78,    5.24,    5.12,    5.41,    7.24,    9.19,   10.30,   11.00,    9.43,    8.21,    6.80,    5.10,    7.42
62.04488,-7.03229,T2M,1991,    5.49,    4.77,    5.87,    6.00,    7.59,    7.87,   11.46,   11.80,    9.54,    8.07,    5.91,    5.66,    7.53
62.04488,-7.03229,T2M,1992,    6.22,    5.44,    4.42,    5.77,    7.65,    9.53,    9.69,   10.14,    9.12,    7.14,    5.90,    5.27,    7.20
62.04488,-7.03229,T2M,1993,    4.33,    4.90,    5.55,    6.01,    6.59,    7.78,    8.69,    9.14,    9.05,    6.94,    7.25,    3.83,    6.67
62.04488,-7.03229,T2M,1994,    3.73,    4.72,    4.11,    5.14,    6.83,    8.70,   10.87,   10.53,    8.97,    7.47,    7.57,    5.28,    7.00
62.04488,-7.03229,T2M,1995,    4.14,    3.43,    3.50,    4.30,    6.26,    8.79,    9.84,   11.11,    9.33,    8.33,    6.41,    4.40,    6.67
62.04488,-7.03229,T2M,1996,    6.51,    4.34,    5.42,    6.63,    6.08,    8.83,    9.60,   10.86,   10.59,    8.44,    3.76,    4.52,    7.14
62.04488,-7.03229,T2M,1997,    5.76,    4.61,    5.25,    5.39,    6.35,    8.38,   10.56,   11.69,    9.78,    7.55,    7.30,    6.43,    7.44
62.04488,-7.03229,T2M,1998,    5.05,    5.01,    4.35,    5.31,    7.66,    7.99,   10.09,   10.60,   10.14,    7.28,    6.15,    5.82,    7.14
