LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.76962,13.36981,T2M,1981,    1.51,    3.05,    8.46,   11.52,   15.60,   19.80,   21.66,   22.05,   18.69,   14.32,    7.47,    4.10,   12.41
45.76962,13.36981,T2M,1982,    2.52,    2.43,    6.47,   10.32,   16.23,   20.69,   23.19,   22.48,   20.70,   14.15,    9.36,    5.97,   12.94
45.76962,13.36981,T2M,1983,    5.34,    2.14,    7.78,   11.49,   15.88,   19.51,   24.87,   22.89,   19.19,   14.03,    6.83,    4.18,   12.92
45.76962,13.36981,T2M,1984,    3.48,    3.09,    5.82,   10.38,   13.21,   18.03,   21.26,   21.20,   17.78,   14.10,    8.65,    5.28,   11.89
45.76962,13.36981,T2M,1985,   -0.06,    2.08,    6.29,   10.67,   15.99,   18.53,   23.00,   22.90,   20.46,   14.43,    6.50,    6.13,   12.31
45.76962,13.36981,T2M,1986,    2.95,   -0.39,    5.90,   10.79,   18.34,   19.50,   21.79,   23.05,   18.02,   14.16,    8.85,    3.75,   12.31
45.76962,13.36981,T2M,1987,   -0.16,    3.11,    3.55,   11.16,   14.39,   18.79,   23.09,   21.66,   21.17,   13.90,    8.74,    4.83,   12.06
45.76962,13.36981,T2M,1988,    5.56,    5.27,    6.85,   11.56,   16.26,   18.99,   23.58,   23.36,   18.64,   14.67,    5.47,    4.60,   12.93
45.76962,13.36981,T2M,1989,    3.47,    5.86,    9.69,   11.82,   16.17,   18.86,   22.09,   21.96,   17.99,   13.24,    7.04,    4.59,   12.78
45.76962,13.36981,T2M,1990,    3.76,    6.89,    9.93,   10.60,   17.48,   19.46,   22.18,   22.46,   17.95,   14.18,    8.69,    2.93,   13.08
45.76962,13.36981,T2M,1991,    2.67,    1.96,    9.39,   10.27,   12.94,   18.73,   23.30,   23.52,   20.01,   12.32,    7.74,    2.80,   12.20
45.76962,13.36981,T2M,1992,    3.04,    4.73,    7.51,   10.90,   16.91,   19.35,   22.46,   25.48,   19.34,   13.01,    9.77,    4.03,   13.07
45.76962,13.36981,T2M,1993,    3.36,    3.74,    6.14,   11.40,   18.04,   21.02,   21.82,   23.76,   17.64,   13.65,    6.29,    5.64,   12.77
45.76962,13.36981,T2M,1994,    5.33,    3.89,   10.07,   10.97,   15.92,   20.23,   24.78,   24.96,   19.45,   12.70,   10.56,    5.31,   13.74
45.76962,13.36981,T2M,1995,    2.87,    6.13,    6.49,   10.99,   15.52,   18.43,   23.92,   21.89,   16.88,   14.79,    7.94,    4.30,   12.55
45.76962,13.36981,T2M,1996,    3.28,    2.21,    5.03,   11.41,   16.31,   20.76,   21.10,   21.82,   16.07,   13.31,    9.69,    3.75,   12.09
