LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.6049,10.6351,T2M,1981,2.87,2.69,8.84,9.6,11.76,16.29,17.76,19.68,17.17,12.03,8.37,5,11.05
45.6049,10.6351,T2M,1982,5.72,5.64,5.49,8.99,13.09,17.78,21.32,18.34,17.87,10.99,7.72,4.1,11.45
45.6049,10.6351,T2M,1983,4.8,2.72,6.72,8.66,11.38,17.53,22.87,19.08,17.88,12.83,9.82,4.76,11.64
45.6049,10.6351,T2M,1984,4.03,2.29,4.17,10.08,9.26,16.05,20.56,18.55,14.82,11.88,9.09,3.92,10.41
45.6049,10.6351,T2M,1985,-2.28,6.75,3.92,9.85,11.26,16.01,20.71,19.03,19.43,14.52,4.05,5.08,10.71
45.6049,10.6351,T2M,1986,3.19,1.59,6.07,5.58,14.26,17.11,20.17,20.12,18.19,13.93,7.44,4.8,11.1
45.6049,10.6351,T2M,1987,0.58,3.8,6.09,11.38,11.36,15.91,19.74,21.23,20.77,13.48,7.04,6.62,11.54
45.6049,10.6351,T2M,1988,6.26,4.25,5.57,10.08,13.4,16,18.64,19.98,16.96,14.43,8.26,3.91,11.5
45.6049,10.6351,T2M,1989,4.51,5.95,8.91,7.57,15.71,18.39,22.19,21.39,16.73,13.89,9.58,7.81,12.77
45.6049,10.6351,T2M,1990,5.2,9.16,8.48,8.58,16.34,17.79,22.49,22.51,18.94,13.78,7.01,1.72,12.69
45.6049,10.6351,T2M,1991,3.42,3.95,9.06,8.35,11.69,17.03,21.88,23.83,19.32,10.38,6.91,4.36,11.73
45.6049,10.6351,T2M,1992,1.96,4.6,6.53,9.09,15.48,14.37,19.73,21.51,16.72,9.51,9.78,5.06,11.22
45.6049,10.6351,T2M,1993,5.34,3.33,6.91,9.3,14.02,17.46,18.42,21.09,15.18,9.86,6.16,6.2,11.16
45.6049,10.6351,T2M,1994,3.65,5.24,9.46,7.28,14.32,17.09,22.74,22.67,15.23,12.56,9.9,5.52,12.19
45.6049,10.6351,T2M,1995,3.55,7.04,6.02,9.18,13.82,16.34,22.07,20.47,14.21,15.34,8.15,5.35,11.83
45.6049,10.6351,T2M,1996,6.26,2.33,6.33,9.57,12.78,17.61,19.68,18.25,14.24,11.58,7,4.55,10.88
45.6049,10.6351,T2M,1997,3.56,7.89,9.5,10.42,14.82,16.18,18.03,21.49,18.28,14.29,8.46,5.11,12.36
45.6049,10.6351,T2M,1998,4.7,7.42,7.91,8.13,13.73,17.24,19.43,20.69,16.63,11.25,5.23,4.04,11.39
45.6049,10.6351,T2M,1999,4.23,2.55,6.92,9.57,15.23,16.43,20.17,20.65,18.26,13.03,4.55,4.27,11.38
45.6049,10.6351,T2M,2000,2.2,7.08,7.09,9.42,15.07,17.77,18.6,20.73,17.79,11.53,7.29,6.76,11.79
45.6049,10.6351,T2M,2001,5.08,4.24,10,8.37,13.71,17.44,19.28,21.27,15.17,15.91,4.48,1.71,11.45
45.6049,10.6351,T2M,2002,5.69,6.02,8.5,9.96,12.63,18.55,19.07,18.53,16.23,13.37,8.32,6.75,12
45.6049,10.6351,T2M,2003,2.28,2.74,9.48,10.83,13.93,22.41,22.33,25.2,17.46,11.33,9.22,4.75,12.72
45.6049,10.6351,T2M,2004,4.65,4.44,5.61,8.33,12.56,18.72,19.97,20.68,17.99,14.29,5.74,4.18,11.46
45.6049,10.6351,T2M,2005,3.33,0.52,6.77,10.04,14.75,20.14,21.16,19.17,16.36,14.35,6.3,1.68,11.28
45.6049,10.6351,T2M,2006,2.29,2.73,8.17,10.51,14.82,19.5,23.79,17.93,18.8,15.45,9.97,4.54,12.43
45.6049,10.6351,T2M,2007,5.08,6.64,6.3,12.32,13.46,17,18.8,18.93,15.72,11.56,4.86,3.95,11.24
45.6049,10.6351,T2M,2008,5.89,7.26,6.15,9.46,13.88,16.39,18.98,19.59,15.75,11.76,5.43,3.5,11.18
45.6049,10.6351,T2M,2009,2.89,3.55,6.52,8.75,14.91,18.03,20.33,21.76,17.25,13.32,8.96,3.65,11.71
45.6049,10.6351,T2M,2010,1.74,2.38,5.51,10.7,11.3,16.23,20.82,19.51,16.22,11.34,6.32,2.23,10.4
45.6049,10.6351,T2M,2011,3.28,5.46,7.28,12.94,15.87,16.82,17.76,21.06,18.95,13.56,9.98,5.93,12.44
45.6049,10.6351,T2M,2012,4.17,-1.37,8.41,8.12,14.7,18.45,19.14,22.55,17.18,13.29,7.7,5.27,11.52
45.6049,10.6351,T2M,2013,3.51,2.22,6.37,8.97,9.9,14.96,21.46,19.6,17.24,14.33,5.31,4.97,10.8
