LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.06741,15.10118,T2M,1981,    2.52,    4.29,    9.86,   11.99,   16.23,   21.64,   22.45,   23.63,   20.20,   16.40,    7.99,    6.82,   13.72
41.06741,15.10118,T2M,1982,    6.51,    4.38,    7.13,   10.91,   16.69,   23.20,   25.43,   24.05,   21.66,   14.92,   10.30,    7.26,   14.43
41.06741,15.10118,T2M,1983,    5.72,    3.95,    8.28,   12.49,   17.31,   19.94,   25.57,   23.24,   20.10,   14.68,    9.21,    6.39,   13.97
41.06741,15.10118,T2M,1984,    5.86,    4.81,    6.57,   10.00,   15.01,   19.25,   23.81,   22.20,   18.82,   14.69,   11.16,    6.84,   13.28
41.06741,15.10118,T2M,1985,    3.13,    4.97,    7.61,   11.49,   16.74,   20.45,   24.89,   24.64,   21.48,   15.12,   10.45,    8.00,   14.14
41.06741,15.10118,T2M,1986,    5.48,    4.68,    8.56,   12.13,   18.64,   19.65,   23.12,   25.19,   20.40,   15.82,   10.43,    5.37,   14.18
41.06741,15.10118,T2M,1987,    4.89,    5.83,    4.22,   11.37,   14.45,   20.77,   25.52,   24.70,   23.48,   16.87,   10.41,    7.26,   14.19
41.06741,15.10118,T2M,1988,    7.44,    5.87,    7.61,   11.93,   17.62,   20.99,   27.26,   25.86,   19.69,   16.48,    7.23,    5.45,   14.49
41.06741,15.10118,T2M,1989,    5.44,    7.18,   10.82,   12.70,   15.56,   19.22,   23.90,   23.81,   19.82,   13.28,    8.61,    6.99,   13.99
41.06741,15.10118,T2M,1990,    5.63,    8.55,   10.30,   11.18,   16.98,   21.79,   24.80,   23.33,   19.70,   17.22,   10.37,    4.86,   14.59
41.06741,15.10118,T2M,1991,    4.80,    4.71,   10.26,    9.37,   12.50,   20.83,   24.21,   24.32,   21.09,   14.46,    9.75,    2.83,   13.31
41.06741,15.10118,T2M,1992,    4.97,    5.36,    8.35,   11.86,   16.48,   19.73,   22.80,   26.31,   20.93,   16.05,   11.70,    6.58,   14.29
41.06741,15.10118,T2M,1993,    4.97,    3.62,    7.01,   12.11,   17.71,   22.30,   24.41,   26.38,   20.09,   16.49,    9.67,    8.12,   14.48
41.06741,15.10118,T2M,1994,    6.72,    5.85,   10.39,   10.90,   17.37,   21.10,   24.80,   26.90,   22.33,   15.45,   11.20,    7.35,   15.09
41.06741,15.10118,T2M,1995,    4.72,    7.95,    6.91,   10.81,   16.10,   20.37,   25.06,   22.17,   18.13,   15.00,    7.99,    8.61,   13.69
41.06741,15.10118,T2M,1996,    6.67,    4.32,    6.61,   11.19,   16.52,   21.16,   23.07,   24.10,   16.89,   13.16,   10.84,    6.86,   13.48
41.06741,15.10118,T2M,1997,    7.45,    6.34,    8.01,    8.24,   17.58,   23.28,   24.11,   23.04,   20.67,   14.72,   10.89,    7.22,   14.35
41.06741,15.10118,T2M,1998,    6.29,    7.38,    6.59,   12.14,   16.08,   23.15,   26.32,   25.95,   19.66,   15.25,    8.87,    4.71,   14.41
41.06741,15.10118,T2M,1999,    5.47,    4.43,    8.59,   12.00,   19.04,   22.78,   23.86,   26.23,   20.84,   16.51,   10.13,    7.08,   14.81
41.06741,15.10118,T2M,2000,    4.08,    5.73,    8.38,   13.52,   19.28,   22.71,   24.00,   26.41,   20.11,   15.88,   11.80,    8.54,   15.07
41.06741,15.10118,T2M,2001,    7.49,    6.47,   11.75,   11.12,   18.23,   21.45,   24.99,   25.74,   18.97,   17.84,    9.94,    3.72,   14.87
41.06741,15.10118,T2M,2002,    3.80,    8.54,   10.65,   12.50,   17.72,   23.43,   24.71,   23.13,   18.17,   14.91,   12.41,    8.03,   14.87
41.06741,15.10118,T2M,2003,    6.70,    2.87,    7.58,   10.99,   19.44,   25.42,   26.62,   27.24,   19.25,   15.34,   11.61,    6.59,   15.05
41.06741,15.10118,T2M,2004,    4.79,    6.23,    7.55,   12.17,   14.36,   20.78,   24.81,   24.72,   20.20,   18.10,   10.48,    8.59,   14.43
41.06741,15.10118,T2M,2005,    4.30,    3.24,    8.12,   11.27,   17.60,   21.62,   25.17,   23.03,   19.99,   14.82,    9.92,    5.86,   13.81
41.06741,15.10118,T2M,2006,    4.18,    5.48,    7.56,   12.75,   17.37,   21.13,   24.29,   23.17,   20.53,   16.48,   10.15,    7.62,   14.28
41.06741,15.10118,T2M,2007,    7.87,    8.07,    9.60,   13.89,   18.09,   22.84,   26.56,   25.40,   18.73,   14.38,    8.71,    5.44,   15.01
41.06741,15.10118,T2M,2008,    6.65,    6.36,    9.29,   12.04,   17.65,   22.23,   25.36,   26.38,   19.32,   16.27,   10.89,    6.58,   14.95
41.06741,15.10118,T2M,2009,    6.43,    4.38,    8.05,   12.79,   18.93,   21.40,   25.57,   26.31,   20.58,   14.08,   10.95,    7.59,   14.82
41.06741,15.10118,T2M,2010,    4.94,    6.25,    8.42,   12.14,   15.95,   20.96,   24.99,   24.81,   18.95,   14.12,   11.20,    5.84,   14.09
41.06741,15.10118,T2M,2011,    5.87,    5.96,    7.99,   12.41,   16.06,   21.48,   23.97,   26.07,   23.14,   14.81,   10.59,    7.56,   14.70
41.06741,15.10118,T2M,2012,    4.73,    3.72,   10.25,   12.49,   16.64,   24.72,   26.82,   26.91,   20.95,   16.85,   12.69,    6.22,   15.28
41.06741,15.10118,T2M,2013,    5.99,    4.90,    8.77,   13.62,   16.67,   20.69,   24.30,   25.28,   20.45,   17.04,   11.33,    7.29,   14.75
41.06741,15.10118,T2M,2014,    7.81,    8.92,    9.27,   12.17,   15.63,   21.44,   22.77,   24.53,   19.44,   16.45,   12.67,    7.07,   14.88
41.06741,15.10118,T2M,2015,    5.82,    5.52,    8.40,   11.55,   17.69,   21.35,   27.51,   25.50,   21.05,   15.15,   11.03,    7.55,   14.90
41.06741,15.10118,T2M,2016,    6.53,    9.01,    8.73,   14.07,   16.06,   21.01,   25.37,   23.57,   18.94,   14.91,   10.80,    5.70,   14.57
41.06741,15.10118,T2M,2017,    2.87,    7.76,    9.97,   12.24,   17.81,   24.54,   26.61,   27.63,   19.20,   15.48,   10.11,    5.87,   15.05
41.06741,15.10118,T2M,2018,    7.50,    5.44,    8.75,   15.48,   18.25,   21.63,   25.54,   24.74,   20.93,   16.56,   11.47,    7.07,   15.34
41.06741,15.10118,T2M,2019,    3.76,    6.36,    9.97,   12.67,   13.97,   24.38,   25.98,   27.11,   21.32,   17.34,   12.20,    8.05,   15.31
41.06741,15.10118,RH2M,1981,   79.82,   83.16,   79.86,   71.66,   62.58,   53.14,   49.97,   51.02,   62.65,   68.76,   72.78,   83.99,   68.20
41.06741,15.10118,RH2M,1982,   85.23,   79.89,   76.25,   70.36,   61.25,   48.50,   44.95,   51.70,   61.60,   78.43,   83.24,   85.67,   68.87
