LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.73422,13.94713,T2M,1981,    9.92,   10.38,   13.08,   15.23,   17.87,   22.02,   23.82,   25.12,   23.33,   20.32,   14.70,   13.50,   17.48
40.73422,13.94713,T2M,1982,   12.80,   11.01,   12.24,   14.62,   17.93,   22.21,   25.36,   25.19,   24.20,   20.42,   16.78,   13.98,   18.10
40.73422,13.94713,T2M,1983,   12.66,   10.72,   12.85,   15.02,   18.41,   21.44,   25.40,   25.37,   22.92,   19.25,   15.84,   12.98,   17.78
40.73422,13.94713,T2M,1984,   12.29,   10.99,   11.89,   14.17,   17.06,   20.10,   23.99,   24.28,   21.94,   19.56,   17.42,   14.15,   17.34
40.73422,13.94713,T2M,1985,   10.74,   11.15,   12.52,   14.54,   17.89,   21.46,   25.12,   24.53,   23.61,   20.07,   16.24,   14.39,   17.73
40.73422,13.94713,T2M,1986,   12.33,   11.01,   12.96,   14.59,   19.56,   21.10,   24.51,   26.18,   23.07,   20.67,   16.34,   12.77,   17.97
40.73422,13.94713,T2M,1987,   11.27,   11.42,   10.06,   14.55,   16.73,   21.19,   25.12,   25.45,   24.94,   21.11,   16.60,   14.19,   17.75
40.73422,13.94713,T2M,1988,   13.55,   12.17,   12.65,   14.93,   18.77,   21.65,   25.76,   25.76,   22.34,   20.90,   14.42,   12.21,   17.95
40.73422,13.94713,T2M,1989,   11.66,   12.37,   14.23,   15.12,   17.72,   20.85,   24.71,   25.22,   22.19,   18.69,   15.36,   13.50,   17.67
40.73422,13.94713,T2M,1990,   12.33,   13.66,   13.87,   14.80,   18.53,   21.80,   24.62,   24.96,   22.51,   21.03,   16.20,   11.92,   18.05
40.73422,13.94713,T2M,1991,   11.70,   10.82,   14.00,   13.81,   15.85,   20.72,   24.17,   25.11,   23.89,   19.47,   15.81,   10.89,   17.22
40.73422,13.94713,T2M,1992,   11.74,   11.15,   12.79,   14.41,   18.81,   21.31,   24.08,   26.38,   23.19,   20.30,   17.33,   13.50,   17.94
40.73422,13.94713,T2M,1993,   11.61,   10.60,   11.62,   14.66,   18.98,   22.65,   23.81,   25.69,   23.08,   20.43,   15.68,   14.19,   17.80
40.73422,13.94713,T2M,1994,   12.77,   12.10,   14.02,   14.35,   18.42,   21.78,   26.16,   27.20,   23.85,   20.09,   17.36,   13.99,   18.55
40.73422,13.94713,T2M,1995,   11.31,   13.04,   12.28,   13.80,   17.24,   20.96,   25.18,   25.49,   21.78,   20.08,   14.91,   14.14,   17.55
40.73422,13.94713,T2M,1996,   13.22,   11.11,   11.72,   14.97,   17.97,   21.99,   23.71,   25.69,   21.24,   18.57,   16.45,   13.31,   17.52
40.73422,13.94713,T2M,1997,   13.21,   12.47,   13.36,   13.17,   18.56,   22.34,   23.80,   25.12,   23.61,   19.71,   16.38,   13.87,   18.00
40.73422,13.94713,T2M,1998,   12.65,   12.68,   12.35,   14.95,   18.42,   22.20,   25.03,   25.97,   22.36,   19.68,   15.00,   11.96,   17.80
40.73422,13.94713,T2M,1999,   12.02,   10.71,   12.77,   14.46,   18.86,   22.41,   24.38,   25.31,   23.86,   20.47,   16.18,   12.95,   17.91
40.73422,13.94713,T2M,2000,   10.97,   11.83,   12.63,   14.91,   19.56,   22.87,   23.51,   25.36,   22.81,   20.11,   17.31,   14.94,   18.09
40.73422,13.94713,T2M,2001,   13.10,   12.27,   14.76,   14.63,   19.00,   21.87,   24.29,   25.27,   22.11,   21.25,   16.28,   11.40,   18.06
40.73422,13.94713,T2M,2002,   10.76,   12.92,   14.14,   14.95,   18.30,   23.12,   24.53,   24.46,   22.46,   19.79,   17.41,   14.11,   18.11
40.73422,13.94713,T2M,2003,   12.43,    9.92,   12.47,   14.76,   20.45,   24.92,   26.31,   27.52,   22.93,   19.70,   17.23,   13.51,   18.57
40.73422,13.94713,T2M,2004,   11.28,   11.73,   11.93,   14.60,   16.87,   21.67,   24.47,   25.03,   23.27,   21.16,   16.82,   14.73,   17.82
40.73422,13.94713,T2M,2005,   11.20,    9.68,   12.01,   14.29,   19.20,   22.46,   25.04,   24.27,   23.12,   19.70,   16.28,   12.59,   17.53
40.73422,13.94713,T2M,2006,   10.89,   11.03,   11.85,   15.06,   19.02,   21.71,   26.11,   24.79,   23.07,   20.77,   16.69,   14.47,   18.00
40.73422,13.94713,T2M,2007,   13.52,   13.23,   13.52,   16.38,   19.10,   22.10,   24.29,   25.07,   22.27,   19.35,   15.36,   12.56,   18.09
40.73422,13.94713,T2M,2008,   12.57,   11.72,   12.89,   15.09,   18.96,   22.37,   25.15,   25.51,   22.63,   20.16,   17.00,   13.51,   18.15
40.73422,13.94713,T2M,2009,   12.47,   10.93,   12.85,   15.37,   19.80,   22.26,   25.07,   26.75,   24.21,   19.19,   16.53,   13.75,   18.31
40.73422,13.94713,T2M,2010,   11.61,   11.75,   12.59,   15.34,   17.99,   21.78,   25.64,   25.06,   22.84,   19.62,   16.91,   12.62,   17.85
40.73422,13.94713,T2M,2011,   12.02,   11.52,   12.45,   15.51,   18.52,   22.44,   24.24,   25.10,   24.27,   19.71,   16.85,   14.26,   18.11
40.73422,13.94713,T2M,2012,   11.99,    9.97,   13.70,   15.07,   18.02,   22.92,   25.65,   26.99,   23.61,   21.16,   17.97,   13.27,   18.39
40.73422,13.94713,T2M,2013,   12.41,   10.93,   12.87,   15.76,   18.33,   21.35,   25.27,   26.29,   23.35,   21.12,   16.96,   14.12,   18.28
40.73422,13.94713,T2M,2014,   13.50,   13.58,   13.28,   15.32,   17.91,   22.59,   23.90,   24.98,   23.31,   21.19,   18.40,   14.25,   18.54
40.73422,13.94713,T2M,2015,   12.51,   11.53,   12.93,   14.71,   19.00,   23.09,   27.08,   26.71,   23.84,   20.01,   16.81,   14.46,   18.60
40.73422,13.94713,T2M,2016,   12.86,   13.69,   13.10,   16.17,   18.14,   22.14,   25.25,   25.29,   23.41,   20.34,   16.88,   13.79,   18.43
40.73422,13.94713,T2M,2017,   10.40,   13.11,   14.09,   15.45,   19.12,   23.59,   25.47,   26.39,   22.48,   19.97,   16.24,   12.99,   18.30
40.73422,13.94713,T2M,2018,   13.59,   11.25,   12.95,   16.58,   19.25,   23.09,   25.66,   26.73,   24.21,   21.28,   17.62,   14.44,   18.93
40.73422,13.94713,T2M,2019,   11.17,   12.04,   13.62,   15.09,   16.59,   23.75,   26.28,   26.57,   24.55,   21.34,   18.01,   14.99,   18.70
40.73422,13.94713,RH2M,1981,   67.44,   73.38,   79.65,   78.57,   73.24,   73.16,   68.79,   68.07,   71.95,   74.41,   65.88,   75.10,   72.46
40.73422,13.94713,RH2M,1982,   76.00,   70.04,   70.72,   72.54,   76.87,   78.23,   72.70,   72.14,   72.63,   71.19,   72.13,   71.44,   73.07
40.73422,13.94713,RH2M,1983,   71.14,   69.50,   76.21,   77.00,   75.20,   71.12,   73.19,   68.94,   69.93,   71.51,   73.01,   73.56,   72.55
40.73422,13.94713,RH2M,1984,   71.03,   72.74,   72.94,   76.26,   77.26,   76.91,   70.60,   69.58,   71.49,   75.44,   74.80,   73.27,   73.52
40.73422,13.94713,RH2M,1985,   76.05,   75.75,   77.29,   80.26,   79.50,   75.46,   72.31,   70.44,   71.84,   69.31,   77.03,   75.49,   75.04
40.73422,13.94713,RH2M,1986,   71.74,   76.88,   77.99,   78.21,   78.86,   73.94,   73.79,   69.45,   68.37,   68.91,   72.40,   67.28,   73.12
