LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.77883,12.73672,T2M,1981,    1.66,    3.26,    8.72,   11.84,   15.85,   20.17,   21.90,   22.48,   19.01,   14.20,    7.37,    3.61,   12.56
45.77883,12.73672,T2M,1982,    2.69,    2.74,    6.76,   10.77,   16.57,   21.17,   23.70,   22.75,   21.04,   14.21,    9.46,    5.78,   13.20
45.77883,12.73672,T2M,1983,    5.34,    2.43,    8.04,   11.74,   16.03,   19.93,   25.42,   23.14,   19.52,   14.36,    7.08,    4.25,   13.18
45.77883,12.73672,T2M,1984,    3.37,    3.20,    5.98,   10.68,   13.38,   18.42,   21.88,   21.55,   17.96,   14.15,    8.69,    5.34,   12.08
45.77883,12.73672,T2M,1985,   -0.10,    2.47,    6.47,   11.00,   16.22,   18.90,   23.53,   23.46,   20.92,   14.88,    6.61,    5.90,   12.59
45.77883,12.73672,T2M,1986,    2.79,    0.13,    6.24,   10.92,   18.68,   19.85,   22.20,   23.40,   18.56,   14.55,    8.89,    3.69,   12.57
45.77883,12.73672,T2M,1987,    0.32,    3.30,    3.83,   11.55,   14.66,   19.23,   23.53,   22.23,   21.57,   14.06,    8.78,    4.89,   12.37
45.77883,12.73672,T2M,1988,    5.29,    5.11,    7.03,   11.85,   16.62,   19.25,   24.06,   23.89,   19.10,   15.01,    5.54,    4.48,   13.14
45.77883,12.73672,T2M,1989,    3.60,    5.92,   10.01,   12.00,   16.70,   19.19,   22.26,   22.26,   18.24,   13.42,    7.14,    4.54,   12.98
45.77883,12.73672,T2M,1990,    3.86,    6.99,   10.28,   10.85,   17.89,   19.87,   22.72,   22.90,   18.41,   14.29,    8.61,    2.78,   13.33
45.77883,12.73672,T2M,1991,    2.79,    2.01,    9.70,   10.56,   13.17,   19.06,   23.85,   24.11,   20.34,   12.46,    7.73,    2.93,   12.46
45.77883,12.73672,T2M,1992,    3.21,    4.83,    7.85,   11.28,   17.43,   19.77,   22.97,   25.84,   19.63,   12.86,    9.54,    4.11,   13.30
45.77883,12.73672,T2M,1993,    3.51,    4.11,    6.48,   11.71,   18.45,   21.50,   22.28,   24.25,   17.88,   13.62,    6.60,    5.26,   13.03
45.77883,12.73672,T2M,1994,    5.18,    3.98,   10.33,   11.25,   16.31,   20.66,   25.39,   25.45,   19.50,   12.92,   10.57,    5.29,   13.97
45.77883,12.73672,T2M,1995,    2.68,    6.05,    6.67,   11.46,   15.97,   18.68,   24.41,   22.26,   17.06,   15.08,    7.82,    4.44,   12.76
45.77883,12.73672,T2M,1996,    3.73,    2.49,    5.35,   11.89,   16.63,   21.30,   21.73,   22.18,   16.35,   13.49,    9.44,    3.78,   12.39
