LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.66905,8.25845,T2M,1981,    1.06,    2.58,    9.10,   12.22,   15.04,   20.59,   21.53,   22.42,   18.06,   12.37,    6.63,    1.25,   11.95
44.66905,8.25845,T2M,1982,    1.83,    2.35,    5.85,   10.31,   16.16,   21.83,   24.87,   22.62,   20.05,   12.44,    7.48,    3.94,   12.53
44.66905,8.25845,T2M,1983,    5.19,    1.15,    7.69,   10.67,   14.55,   19.31,   25.28,   21.81,   19.04,   13.65,    5.81,    2.10,   12.26
44.66905,8.25845,T2M,1984,    1.90,    1.88,    5.53,   10.26,   12.05,   18.14,   22.45,   20.87,   16.84,   12.83,    6.97,    3.47,   11.13
44.66905,8.25845,T2M,1985,   -2.98,    3.02,    5.46,   11.42,   14.60,   18.76,   23.98,   22.96,   20.86,   13.88,    4.60,    5.04,   11.85
44.66905,8.25845,T2M,1986,    1.38,   -0.94,    6.10,   10.09,   17.35,   19.41,   22.23,   23.30,   18.75,   14.41,    7.56,    2.70,   11.94
44.66905,8.25845,T2M,1987,   -0.45,    2.46,    4.76,   11.60,   14.51,   19.64,   24.20,   23.64,   21.74,   12.52,    7.04,    3.90,   12.18
44.66905,8.25845,T2M,1988,    3.30,    4.22,    7.21,   11.18,   15.63,   18.00,   23.28,   23.30,   19.23,   14.90,    4.47,    3.47,   12.39
44.66905,8.25845,T2M,1989,    3.13,    5.86,   10.46,   10.22,   16.35,   19.65,   23.68,   23.24,   18.02,   13.17,    5.76,    2.97,   12.76
44.66905,8.25845,T2M,1990,    2.47,    8.06,   10.56,   10.48,   17.27,   20.43,   24.35,   23.48,   19.19,   13.55,    6.09,   -0.05,   13.02
44.66905,8.25845,T2M,1991,    1.60,    1.07,    9.24,    9.76,   13.03,   19.44,   25.28,   24.81,   20.44,   10.73,    6.05,    1.78,   12.00
44.66905,8.25845,T2M,1992,    1.89,    4.72,    8.53,   11.17,   17.46,   17.68,   22.56,   25.00,   18.90,   10.91,    8.29,    2.82,   12.52
44.66905,8.25845,T2M,1993,    3.40,    3.32,    6.62,   11.16,   16.38,   21.15,   22.29,   24.64,   17.58,   11.61,    4.57,    3.96,   12.28
44.66905,8.25845,T2M,1994,    3.96,    3.07,   10.82,   10.46,   16.21,   19.73,   25.10,   25.23,   17.67,   11.63,    9.64,    4.54,   13.24
44.66905,8.25845,T2M,1995,    1.34,    5.90,    6.15,   11.53,   15.39,   18.19,   24.79,   22.05,   16.37,   14.15,    6.06,    2.29,   12.06
44.66905,8.25845,T2M,1996,    1.46,    1.50,    5.50,   11.45,   15.37,   20.19,   21.88,   21.46,   14.94,   12.07,    6.95,    2.14,   11.27
44.66905,8.25845,T2M,1997,    1.24,    5.71,    9.99,   10.77,   16.81,   19.34,   22.19,   23.03,   19.99,   13.40,    6.79,    2.66,   12.70
44.66905,8.25845,T2M,1998,    2.51,    6.53,    7.99,   11.09,   16.54,   20.79,   24.31,   24.27,   17.91,   12.63,    4.84,    1.85,   12.64
44.66905,8.25845,T2M,1999,    2.96,    3.65,    8.44,   11.81,   17.35,   20.07,   23.49,   23.05,   19.72,   13.28,    5.71,    2.13,   12.69
44.66905,8.25845,T2M,2000,    1.91,    5.66,    8.71,   11.51,   17.51,   21.12,   21.61,   23.43,   19.09,   13.34,    7.18,    4.15,   12.96
44.66905,8.25845,T2M,2001,    1.70,    5.16,    9.18,   10.30,   17.07,   19.78,   23.10,   24.61,   16.32,   15.73,    6.57,    1.16,   12.61
44.66905,8.25845,T2M,2002,    1.88,    5.57,    9.47,   11.12,   15.75,   21.88,   22.06,   21.22,   16.85,   13.02,    9.05,    3.90,   12.68
44.66905,8.25845,T2M,2003,    2.26,    1.10,    8.37,   10.63,   17.77,   24.75,   25.39,   27.40,   18.48,   10.96,    7.03,    3.30,   13.19
44.66905,8.25845,T2M,2004,    1.96,    3.28,    6.34,   11.00,   14.37,   20.68,   23.27,   23.39,   19.70,   14.46,    7.50,    3.57,   12.49
44.66905,8.25845,T2M,2005,    2.38,    1.36,    7.25,   10.83,   17.43,   22.61,   24.27,   21.83,   18.66,   12.39,    6.21,    1.21,   12.27
44.66905,8.25845,T2M,2006,    0.54,    2.91,    6.39,   12.26,   16.52,   21.72,   26.40,   21.53,   19.81,   14.75,    9.11,    4.57,   13.10
44.66905,8.25845,T2M,2007,    5.86,    6.34,    8.96,   15.11,   17.64,   20.06,   23.67,   22.07,   17.71,   12.67,    5.95,    3.02,   13.30
44.66905,8.25845,T2M,2008,    3.60,    4.86,    8.06,   11.15,   16.28,   20.28,   22.71,   23.33,   17.44,   13.94,    7.27,    2.03,   12.60
44.66905,8.25845,T2M,2009,    0.55,    3.26,    7.79,   12.37,   17.77,   20.45,   23.46,   24.82,   19.46,   12.75,    8.07,    1.39,   12.73
44.66905,8.25845,T2M,2010,   -0.45,    2.22,    6.56,   11.58,   15.07,   19.68,   24.56,   21.61,   17.75,   11.34,    6.93,   -0.02,   11.45
44.66905,8.25845,T2M,2011,    1.36,    4.68,    7.28,   14.14,   17.82,   19.90,   21.40,   23.88,   21.17,   12.92,    7.41,    4.30,   13.06
44.66905,8.25845,T2M,2012,    3.03,    0.57,   10.36,   11.07,   15.98,   21.93,   24.34,   25.64,   18.94,   13.76,    8.30,    2.25,   13.06
44.66905,8.25845,T2M,2013,    2.56,    1.90,    5.26,   11.73,   14.18,   19.05,   23.57,   22.95,   19.36,   13.95,    7.44,    4.24,   12.24
44.66905,8.25845,T2M,2014,    3.47,    4.94,    9.28,   12.88,   15.24,   20.67,   21.36,   20.97,   18.67,   14.58,    9.39,    4.96,   13.07
44.66905,8.25845,T2M,2015,    3.58,    2.66,    8.06,   12.21,   16.94,   21.40,   26.42,   23.35,   18.05,   12.59,    9.28,    6.07,   13.45
44.66905,8.25845,T2M,2016,    3.29,    5.88,    7.52,   12.76,   15.45,   20.31,   24.16,   23.51,   20.83,   12.14,    7.45,    4.31,   13.15
