LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.62091,9.7689,T2M,1981,   -2.13,   -0.02,    6.47,    9.55,   12.59,   17.47,   18.11,   19.10,   15.48,    9.64,    4.14,   -1.50,    9.12
45.62091,9.7689,T2M,1982,   -0.38,   -0.53,    3.04,    8.08,   13.58,   18.34,   20.85,   18.75,   17.18,    9.82,    5.88,    1.18,    9.70
45.62091,9.7689,T2M,1983,    2.55,   -1.58,    5.31,    8.43,   12.15,   17.16,   22.50,   19.02,   16.17,   11.19,    4.19,    0.58,    9.88
45.62091,9.7689,T2M,1984,   -1.33,   -1.17,    2.46,    7.59,    9.79,   15.86,   19.41,   18.03,   14.00,   10.73,    5.50,    1.41,    8.55
45.62091,9.7689,T2M,1985,   -5.00,   -0.41,    2.72,    8.25,   12.61,   15.86,   20.64,   19.48,   17.79,   11.50,    2.07,    2.41,    9.05
45.62091,9.7689,T2M,1986,   -1.93,   -3.22,    3.44,    7.13,   15.42,   16.82,   18.76,   19.41,   15.90,   11.59,    5.55,    0.64,    9.20
45.62091,9.7689,T2M,1987,   -2.40,    0.65,    1.14,    8.85,   11.62,   16.20,   20.37,   19.66,   18.77,   10.45,    5.20,    2.33,    9.44
45.62091,9.7689,T2M,1988,    1.35,    0.56,    3.78,    8.99,   13.47,   15.79,   20.31,   20.27,   15.82,   12.05,    2.56,    0.53,    9.66
45.62091,9.7689,T2M,1989,    1.81,    3.71,    7.55,    7.75,   13.79,   16.24,   19.52,   19.32,   14.93,   10.61,    4.02,    1.47,   10.10
45.62091,9.7689,T2M,1990,    1.02,    4.42,    7.75,    7.52,   14.66,   17.09,   20.58,   20.11,   15.46,   11.40,    3.91,   -2.57,   10.15
45.62091,9.7689,T2M,1991,   -0.26,   -1.89,    7.25,    7.41,   10.52,   16.57,   21.74,   21.71,   17.35,    8.84,    3.84,   -0.50,    9.45
45.62091,9.7689,T2M,1992,    0.26,    2.28,    5.41,    8.51,   14.93,   15.70,   19.75,   21.93,   15.74,    8.55,    5.81,    0.80,   10.00
45.62091,9.7689,T2M,1993,    1.29,    1.43,    4.04,    8.91,   14.62,   18.24,   18.84,   20.86,   14.31,    9.68,    3.26,    1.41,    9.79
45.62091,9.7689,T2M,1994,    0.89,    0.32,    7.98,    7.90,   13.80,   17.55,   21.96,   21.45,   15.03,    9.64,    7.46,    2.23,   10.58
45.62091,9.7689,T2M,1995,   -2.03,    2.92,    3.12,    8.89,   13.06,   15.62,   21.39,   18.55,   13.10,   12.36,    3.69,    0.53,    9.31
45.62091,9.7689,T2M,1996,    0.54,   -1.50,    2.76,    9.53,   13.32,   18.06,   18.38,   18.20,   12.17,    9.85,    4.58,    0.37,    8.89
45.62091,9.7689,T2M,1997,    0.69,    2.90,    7.09,    7.70,   14.02,   16.55,   18.61,   19.74,   17.28,   10.57,    4.88,    1.15,   10.14
45.62091,9.7689,T2M,1998,   -0.13,    4.17,    4.84,    7.91,   14.12,   18.40,   20.81,   21.19,   14.67,   10.18,    2.69,   -0.07,    9.93
45.62091,9.7689,T2M,1999,    0.72,   -0.20,    5.36,    9.27,   15.15,   17.35,   20.27,   19.64,   16.86,   11.00,    3.42,   -0.96,    9.88
45.62091,9.7689,T2M,2000,   -1.44,    2.46,    5.58,    9.67,   15.30,   18.82,   18.28,   20.43,   15.84,   11.25,    5.07,    2.46,   10.33
45.62091,9.7689,T2M,2001,   -0.27,    2.12,    6.29,    7.59,   15.32,   17.04,   20.02,   21.17,   12.91,   13.38,    4.44,   -1.09,    9.97
45.62091,9.7689,T2M,2002,    0.17,    3.33,    7.06,    8.86,   13.75,   19.47,   19.49,   18.56,   14.37,   10.66,    6.76,    2.26,   10.43
45.62091,9.7689,T2M,2003,   -0.32,   -1.51,    6.21,    8.24,   15.90,   22.05,   21.61,   24.10,   15.63,    8.27,    5.85,    1.61,   10.71
45.62091,9.7689,T2M,2004,   -1.96,    0.94,    3.93,    8.97,   12.10,   18.04,   20.01,   20.10,   16.42,   12.05,    5.53,    1.77,    9.85
