LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.44449,10.61367,T2M,1981,    0.67,    2.52,    9.46,   12.45,   16.12,   21.47,   22.49,   23.10,   19.36,   13.55,    6.88,    2.48,   12.60
45.44449,10.61367,T2M,1982,    2.06,    2.66,    6.96,   11.38,   17.34,   22.90,   25.50,   23.23,   21.01,   13.51,    8.63,    4.84,   13.39
45.44449,10.61367,T2M,1983,    5.02,    1.60,    8.34,   11.98,   15.90,   21.04,   27.23,   23.85,   19.97,   14.26,    6.43,    3.20,   13.31
45.44449,10.61367,T2M,1984,    2.60,    2.72,    5.93,   10.80,   13.30,   19.23,   24.08,   21.87,   17.92,   13.46,    7.76,    4.05,   12.00
45.44449,10.61367,T2M,1985,   -1.75,    2.40,    6.35,   11.31,   15.86,   19.65,   25.05,   24.64,   22.12,   14.95,    5.64,    4.80,   12.65
45.44449,10.61367,T2M,1986,    1.74,    0.16,    6.11,   10.90,   18.82,   20.08,   22.63,   24.26,   19.46,   14.64,    7.98,    2.89,   12.55
45.44449,10.61367,T2M,1987,    0.11,    3.28,    4.21,   11.94,   15.02,   20.37,   24.97,   24.01,   22.47,   13.65,    8.08,    3.99,   12.72
45.44449,10.61367,T2M,1988,    4.40,    4.56,    7.56,   11.99,   16.79,   19.27,   24.96,   25.18,   19.98,   15.47,    4.60,    3.22,   13.20
45.44449,10.61367,T2M,1989,    2.75,    5.86,   10.74,   11.74,   17.22,   20.20,   23.16,   23.65,   18.18,   13.02,    6.20,    3.26,   13.05
45.44449,10.61367,T2M,1990,    2.74,    6.93,   10.49,   11.08,   18.36,   21.18,   24.37,   24.13,   19.47,   14.34,    7.20,    1.00,   13.48
45.44449,10.61367,T2M,1991,    2.15,    1.29,   10.00,   10.49,   13.49,   20.22,   25.78,   25.56,   21.18,   12.01,    6.63,    1.44,   12.59
45.44449,10.61367,T2M,1992,    2.37,    4.64,    8.28,   12.06,   18.50,   19.91,   24.02,   26.46,   19.89,   12.03,    8.32,    3.19,   13.33
45.44449,10.61367,T2M,1993,    2.98,    3.43,    7.11,   11.99,   18.38,   22.86,   23.64,   25.85,   18.44,   12.71,    5.72,    4.18,   13.17
45.44449,10.61367,T2M,1994,    4.33,    3.50,   10.90,   11.44,   17.17,   21.34,   26.50,   26.62,   18.62,   12.28,    9.60,    4.49,   13.97
45.44449,10.61367,T2M,1995,    1.68,    5.73,    6.65,   11.98,   16.40,   19.03,   25.66,   22.90,   17.22,   14.77,    6.84,    3.44,   12.74
45.44449,10.61367,T2M,1996,    3.13,    1.83,    5.52,   12.38,   16.76,   21.88,   23.01,   22.72,   15.96,   13.01,    8.21,    2.93,   12.31
