LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.23605,8.42988,T2M,1981,    3.61,    4.37,    9.56,   12.07,   14.71,   19.88,   21.21,   22.29,   18.53,   13.78,    8.67,    4.23,   12.79
44.23605,8.42988,T2M,1982,    4.56,    4.33,    6.89,   10.37,   15.61,   20.73,   24.01,   22.15,   20.17,   13.58,    9.42,    6.41,   13.24
44.23605,8.42988,T2M,1983,    7.40,    3.38,    8.44,   10.81,   14.19,   19.00,   24.73,   22.04,   19.41,   14.68,    8.26,    4.93,   13.17
44.23605,8.42988,T2M,1984,    4.46,    3.77,    6.56,   10.44,   11.99,   17.44,   21.67,   20.70,   17.21,   13.58,    9.14,    6.04,   11.94
44.23605,8.42988,T2M,1985,    0.45,    5.20,    6.55,   11.33,   14.17,   18.22,   23.26,   22.23,   20.66,   14.83,    6.80,    7.42,   12.64
44.23605,8.42988,T2M,1986,    4.02,    1.35,    7.15,   10.26,   16.93,   18.89,   22.03,   22.94,   18.82,   15.32,    9.43,    5.38,   12.79
44.23605,8.42988,T2M,1987,    2.30,    4.49,    5.96,   11.58,   13.91,   18.65,   23.27,   22.92,   21.16,   13.85,    8.90,    6.29,   12.82
44.23605,8.42988,T2M,1988,    5.82,    6.02,    8.11,   11.23,   15.40,   17.86,   22.99,   23.14,   18.88,   15.76,    7.25,    5.95,   13.23
44.23605,8.42988,T2M,1989,    5.58,    7.41,   10.90,   10.53,   16.04,   19.09,   22.99,   22.82,   18.09,   14.09,    7.98,    5.89,   13.50
44.23605,8.42988,T2M,1990,    5.42,    9.51,   10.54,   10.69,   16.76,   19.66,   22.97,   22.80,   19.16,   14.61,    8.32,    3.10,   13.65
44.23605,8.42988,T2M,1991,    4.35,    3.26,    9.73,    9.98,   12.85,   18.52,   23.74,   23.82,   20.35,   12.08,    8.07,    4.40,   12.65
44.23605,8.42988,T2M,1992,    4.36,    6.34,    9.14,   11.26,   16.91,   17.47,   21.92,   24.08,   18.91,   12.41,   10.18,    5.20,   13.20
44.23605,8.42988,T2M,1993,    5.65,    4.94,    7.35,   11.24,   16.02,   20.56,   21.49,   23.80,   17.93,   12.67,    6.57,    6.40,   12.94
44.23605,8.42988,T2M,1994,    5.90,    5.03,   11.04,   10.50,   15.82,   19.23,   24.81,   24.57,   18.10,   13.01,   11.46,    7.03,   13.94
44.23605,8.42988,T2M,1995,    4.04,    7.72,    7.31,   11.35,   14.95,   17.73,   24.19,   22.05,   16.78,   15.13,    8.12,    4.69,   12.87
44.23605,8.42988,T2M,1996,    3.87,    3.56,    6.63,   11.50,   15.04,   19.66,   21.60,   21.56,   15.83,   13.22,    8.87,    4.56,   12.19
44.23605,8.42988,T2M,1997,    3.61,    7.38,   10.46,   10.96,   16.30,   18.92,   21.64,   22.71,   19.92,   14.47,    8.68,    5.42,   13.41
44.23605,8.42988,T2M,1998,    5.11,    7.77,    8.64,   11.09,   16.10,   19.82,   22.95,   23.35,   17.93,   13.40,    6.72,    4.58,   13.16
44.23605,8.42988,T2M,1999,    5.31,    5.17,    9.15,   11.62,   16.53,   19.58,   22.93,   22.78,   19.93,   14.48,    7.61,    5.21,   13.41
44.23605,8.42988,T2M,2000,    4.36,    7.24,    9.26,   11.27,   17.01,   20.68,   20.98,   22.98,   19.30,   14.45,    9.36,    6.73,   13.65
44.23605,8.42988,T2M,2001,    4.56,    6.74,   10.10,   10.67,   16.55,   19.54,   22.58,   24.15,   16.90,   16.51,    8.65,    4.13,   13.47
44.23605,8.42988,T2M,2002,    4.76,    7.20,    9.98,   11.21,   15.29,   21.28,   21.92,   21.39,   17.54,   14.33,   10.89,    6.19,   13.53
44.23605,8.42988,T2M,2003,    4.61,    3.16,    9.02,   10.93,   17.42,   24.12,   24.53,   26.63,   18.95,   12.45,    8.94,    5.84,   13.95
