LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
37.79793,12.43422,T2M,1981,   11.79,   11.92,   13.75,   15.70,   17.94,   21.74,   23.46,   25.15,   23.77,   21.37,   16.28,   14.89,   18.18
37.79793,12.43422,T2M,1982,   14.22,   13.05,   13.21,   15.00,   17.90,   22.51,   25.79,   25.81,   24.74,   21.48,   17.84,   14.32,   18.86
37.79793,12.43422,T2M,1983,   13.23,   12.41,   13.51,   15.36,   17.93,   21.28,   25.26,   25.39,   23.40,   20.53,   17.80,   13.84,   18.36
37.79793,12.43422,T2M,1984,   13.33,   12.47,   12.98,   14.62,   17.25,   19.97,   24.08,   24.48,   22.83,   20.14,   18.46,   14.88,   17.98
37.79793,12.43422,T2M,1985,   12.40,   13.56,   13.28,   14.85,   17.60,   21.54,   24.80,   25.11,   23.92,   21.25,   17.75,   15.41,   18.48
37.79793,12.43422,T2M,1986,   13.34,   12.72,   13.79,   14.81,   18.62,   20.97,   24.11,   25.94,   24.22,   21.59,   16.93,   14.05,   18.46
37.79793,12.43422,T2M,1987,   12.80,   13.07,   11.81,   14.85,   16.46,   20.47,   25.22,   25.61,   25.75,   22.22,   17.97,   15.60,   18.52
37.79793,12.43422,T2M,1988,   14.52,   13.38,   13.63,   15.77,   18.52,   21.41,   25.32,   25.97,   23.47,   22.03,   17.44,   13.89,   18.80
37.79793,12.43422,T2M,1989,   13.19,   13.45,   14.58,   15.38,   17.39,   20.82,   24.38,   25.56,   23.48,   19.76,   17.65,   15.79,   18.48
37.79793,12.43422,T2M,1990,   14.01,   14.81,   14.75,   15.38,   18.41,   21.95,   24.68,   25.49,   24.12,   22.55,   17.68,   13.59,   18.98
37.79793,12.43422,T2M,1991,   13.12,   12.40,   14.61,   14.41,   15.98,   20.47,   24.31,   25.74,   24.54,   21.17,   16.98,   12.95,   18.09
37.79793,12.43422,T2M,1992,   13.07,   12.54,   13.67,   14.57,   17.40,   20.28,   23.35,   26.46,   23.95,   21.30,   18.31,   14.83,   18.33
37.79793,12.43422,T2M,1993,   12.95,   12.17,   12.87,   15.12,   18.47,   21.93,   23.82,   25.85,   23.74,   21.01,   17.26,   14.77,   18.37
37.79793,12.43422,T2M,1994,   13.76,   13.10,   14.45,   14.57,   18.30,   20.99,   25.35,   27.40,   24.50,   21.64,   18.52,   15.30,   19.03
37.79793,12.43422,T2M,1995,   12.50,   14.07,   13.50,   14.37,   17.17,   21.11,   24.75,   25.80,   22.43,   20.81,   16.94,   15.63,   18.29
37.79793,12.43422,T2M,1996,   14.61,   12.83,   13.33,   15.01,   17.72,   21.25,   23.62,   25.95,   22.27,   18.92,   17.15,   14.88,   18.15
37.79793,12.43422,T2M,1997,   14.26,   13.81,   14.12,   14.42,   18.60,   22.41,   23.56,   25.34,   23.62,   21.26,   17.85,   15.05,   18.72
37.79793,12.43422,T2M,1998,   13.81,   13.48,   13.46,   15.61,   18.06,   21.89,   24.50,   25.17,   22.92,   20.24,   16.21,   13.49,   18.26
37.79793,12.43422,T2M,1999,   13.23,   11.88,   13.57,   14.98,   18.50,   21.84,   23.93,   25.89,   24.79,   21.80,   17.63,   14.21,   18.56
37.79793,12.43422,T2M,2000,   12.08,   12.79,   13.81,   15.42,   19.13,   21.90,   23.98,   25.52,   23.33,   20.14,   17.99,   15.72,   18.50
37.79793,12.43422,T2M,2001,   14.13,   13.17,   14.98,   15.14,   17.98,   21.38,   24.19,   25.71,   23.05,   22.40,   17.93,   13.60,   18.68
37.79793,12.43422,T2M,2002,   12.37,   13.77,   14.49,   15.38,   17.77,   22.13,   24.07,   24.45,   22.77,   20.44,   18.01,   14.87,   18.40
37.79793,12.43422,T2M,2003,   13.56,   11.40,   13.23,   15.20,   19.01,   23.90,   26.47,   27.68,   24.18,   21.34,   18.12,   14.49,   19.10
37.79793,12.43422,T2M,2004,   12.68,   12.89,   13.23,   14.96,   16.87,   21.24,   24.44,   25.28,   23.81,   21.91,   17.81,   15.33,   18.39
37.79793,12.43422,T2M,2005,   12.30,   11.34,   12.92,   14.47,   18.26,   21.80,   24.93,   24.29,   23.37,   20.95,   18.00,   13.94,   18.09
37.79793,12.43422,T2M,2006,   12.24,   12.45,   13.12,   15.43,   19.02,   21.66,   25.98,   25.19,   23.58,   21.55,   18.30,   16.09,   18.76
37.79793,12.43422,T2M,2007,   14.60,   13.95,   14.07,   16.37,   18.79,   22.10,   24.78,   25.57,   23.50,   20.80,   16.86,   14.21,   18.83
37.79793,12.43422,T2M,2008,   13.74,   12.91,   13.80,   15.41,   18.50,   21.60,   25.17,   26.05,   24.05,   21.16,   18.23,   14.73,   18.80
37.79793,12.43422,T2M,2009,   13.61,   11.86,   13.34,   15.11,   18.76,   21.94,   25.02,   26.78,   24.46,   20.31,   17.05,   14.97,   18.64
37.79793,12.43422,T2M,2010,   13.32,   13.08,   13.54,   15.71,   17.75,   20.78,   25.10,   25.34,   23.21,   20.41,   17.44,   14.34,   18.37
37.79793,12.43422,T2M,2011,   13.22,   12.35,   13.43,   15.77,   17.97,   21.73,   24.53,   25.76,   24.57,   20.60,   18.50,   15.49,   18.70
37.79793,12.43422,T2M,2012,   13.22,   11.48,   13.86,   15.62,   18.08,   22.71,   25.95,   27.16,   24.01,   21.91,   18.82,   14.56,   18.97
37.79793,12.43422,T2M,2013,   13.42,   11.96,   13.75,   15.73,   17.77,   20.77,   25.06,   26.31,   23.96,   22.70,   17.65,   14.74,   18.70
