LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.06307,7.70011,T2M,1981,   -2.01,   -0.37,    5.83,    9.17,   12.03,   17.16,   17.90,   19.11,   15.00,    9.19,    4.33,   -2.42,    8.79
45.06307,7.70011,T2M,1982,   -0.44,   -0.79,    2.45,    7.31,   13.14,   18.12,   21.17,   19.00,   16.73,    9.03,    4.74,    0.80,    9.33
45.06307,7.70011,T2M,1983,    2.42,   -2.17,    4.85,    7.20,   11.53,   16.45,   21.93,   17.97,   15.55,   10.77,    4.06,   -0.34,    9.26
45.06307,7.70011,T2M,1984,   -1.49,   -1.49,    2.24,    7.04,    8.91,   15.45,   19.02,   17.41,   13.61,   10.16,    4.50,    1.03,    8.06
45.06307,7.70011,T2M,1985,   -5.79,    0.40,    2.08,    8.20,   11.72,   15.63,   20.37,   19.24,   17.71,   11.20,    1.48,    2.30,    8.76
45.06307,7.70011,T2M,1986,   -2.32,   -4.61,    3.03,    6.23,   14.51,   16.70,   18.76,   19.14,   15.67,   11.40,    5.19,    0.13,    8.74
45.06307,7.70011,T2M,1987,   -2.91,    0.22,    1.48,    8.65,   11.71,   16.28,   20.28,   20.10,   18.74,    9.58,    4.43,    2.08,    9.26
45.06307,7.70011,T2M,1988,    0.64,    0.91,    3.59,    8.27,   12.71,   15.35,   19.62,   19.69,   15.87,   11.58,    2.90,    1.42,    9.41
45.06307,7.70011,T2M,1989,    1.82,    3.42,    7.81,    6.57,   13.82,   16.22,   20.23,   19.67,   14.95,   10.86,    3.83,    1.15,   10.08
45.06307,7.70011,T2M,1990,    0.89,    5.14,    7.89,    7.37,   14.51,   17.07,   21.04,   20.26,   15.93,   10.76,    3.39,   -2.47,   10.18
45.06307,7.70011,T2M,1991,   -0.71,   -1.48,    6.25,    7.12,   10.66,   16.63,   21.96,   21.69,   17.29,    8.13,    3.50,    0.24,    9.34
45.06307,7.70011,T2M,1992,    0.29,    2.14,    5.60,    8.58,   14.39,   14.59,   19.31,   21.54,   15.37,    7.60,    5.76,    0.61,    9.67
45.06307,7.70011,T2M,1993,    1.28,    1.28,    3.81,    8.28,   13.57,   17.53,   18.61,   20.79,   13.87,    8.62,    2.42,    1.01,    9.31
45.06307,7.70011,T2M,1994,    0.62,   -0.26,    7.81,    7.11,   13.45,   16.97,   21.64,   21.39,   14.11,    9.12,    7.53,    2.35,   10.23
45.06307,7.70011,T2M,1995,   -1.69,    3.00,    2.82,    8.67,   12.73,   15.41,   20.94,   18.38,   12.78,   12.07,    3.42,   -0.29,    9.06
45.06307,7.70011,T2M,1996,   -0.49,   -1.63,    2.53,    8.78,   12.81,   17.55,   18.39,   17.75,   12.01,    9.45,    3.64,   -0.54,    8.39
45.06307,7.70011,T2M,1997,   -0.02,    3.06,    7.35,    8.49,   13.81,   16.17,   18.64,   20.01,   17.32,   10.53,    4.11,    0.20,   10.01
45.06307,7.70011,T2M,1998,   -0.25,    4.54,    5.44,    7.70,   13.96,   17.99,   21.14,   20.98,   14.49,    9.67,    2.24,   -0.47,    9.82
45.06307,7.70011,T2M,1999,    0.26,    0.18,    5.16,    8.72,   14.80,   16.95,   19.85,   19.59,   16.41,   10.19,    2.95,   -0.95,    9.57
45.06307,7.70011,T2M,2000,   -0.68,    2.78,    5.35,    8.45,   14.60,   18.12,   17.84,   20.02,   15.86,   10.17,    3.43,    1.26,    9.79
45.06307,7.70011,T2M,2001,   -1.37,    1.97,    5.93,    7.14,   14.49,   16.70,   19.51,   20.77,   12.65,   12.95,    4.05,   -1.15,    9.52
45.06307,7.70011,T2M,2002,   -0.01,    2.28,    6.35,    8.44,   12.80,   19.03,   18.78,   17.91,   13.89,   10.13,    5.70,    1.49,    9.77
45.06307,7.70011,T2M,2003,   -0.66,   -2.07,    5.80,    8.05,   14.89,   21.71,   21.65,   23.67,   15.09,    7.51,    4.79,    0.60,   10.16
45.06307,7.70011,T2M,2004,   -1.11,    0.90,    3.53,    7.98,   12.01,   18.08,   20.00,   19.72,   16.51,   11.29,    5.13,    1.29,    9.63
45.06307,7.70011,T2M,2005,   -0.51,   -1.71,    4.49,    8.37,   14.84,   19.82,   20.87,   18.64,   15.74,   10.05,    4.11,   -1.62,    9.49
45.06307,7.70011,T2M,2006,   -1.71,    0.09,    3.18,    9.58,   13.84,   18.91,   22.85,   17.87,   17.12,   12.13,    6.64,    2.36,   10.29
45.06307,7.70011,T2M,2007,    2.84,    3.65,    5.91,   12.70,   14.48,   17.20,   19.92,   18.78,   14.69,   10.23,    3.45,    0.66,   10.41
45.06307,7.70011,T2M,2008,    1.13,    2.71,    4.70,    7.88,   13.38,   17.54,   19.41,   19.67,   14.22,   11.12,    4.46,   -1.21,    9.61
45.06307,7.70011,T2M,2009,   -1.95,   -0.65,    4.56,    9.28,   15.51,   17.60,   19.82,   20.95,   16.21,   10.09,    5.17,   -1.33,    9.66
45.06307,7.70011,T2M,2010,   -3.30,   -0.84,    3.28,    8.71,   12.29,   17.03,   21.01,   18.22,   14.55,    8.46,    3.65,   -2.94,    8.39
45.06307,7.70011,T2M,2011,   -1.00,    2.42,    4.63,   11.58,   14.99,   16.99,   17.79,   20.21,   17.78,   10.17,    5.71,    1.24,   10.24
45.06307,7.70011,T2M,2012,    0.11,   -1.84,    8.09,    7.73,   13.40,   18.70,   20.63,   21.68,   15.67,   10.87,    5.39,   -1.07,    9.99
45.06307,7.70011,T2M,2013,    0.04,   -1.42,    2.35,    8.65,   11.21,   16.50,   20.33,   19.52,   16.07,   10.90,    4.32,    1.75,    9.25
45.06307,7.70011,T2M,2014,    0.67,    1.52,    6.26,   10.49,   12.50,   17.62,   18.04,   17.63,   15.62,   11.89,    6.63,    2.05,   10.12
45.06307,7.70011,T2M,2015,    0.49,    0.03,    5.13,    9.52,   14.52,   18.31,   22.61,   19.60,   14.39,    9.75,    7.16,    4.41,   10.56
45.06307,7.70011,T2M,2016,    0.47,    2.46,    4.16,    9.54,   12.32,   17.07,   20.68,   20.04,   17.32,    9.50,    4.26,    2.64,   10.06
45.06307,7.70011,T2M,2017,   -2.07,    2.50,    7.81,    9.93,   14.08,   20.20,   21.17,   21.73,   14.43,   12.39,    4.47,   -0.66,   10.54
45.06307,7.70011,T2M,2018,    2.42,   -0.99,    2.65,   10.74,   14.03,   18.44,   21.45,   21.19,   17.74,   12.21,    5.47,    2.02,   10.68
45.06307,7.70011,T2M,2019,   -0.61,    3.74,    6.63,    8.72,   11.41,   20.23,   22.34,   21.32,   16.81,   12.31,    4.14,    2.28,   10.82
