LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.8512,10.66763,T2M,1981,    1.52,    3.10,    8.88,   11.82,   14.80,   20.13,   21.69,   22.58,   18.94,   14.27,    7.71,    5.95,   12.67
43.8512,10.66763,T2M,1982,    4.77,    3.75,    6.55,   10.23,   15.84,   21.34,   24.70,   22.50,   20.48,   13.70,    9.89,    6.75,   13.43
43.8512,10.66763,T2M,1983,    6.06,    2.76,    8.17,   11.06,   14.48,   19.39,   25.45,   22.48,   19.44,   13.99,    7.95,    4.94,   13.08
43.8512,10.66763,T2M,1984,    4.45,    2.98,    5.91,    9.99,   12.46,   17.82,   22.50,   21.32,   17.23,   13.33,    9.54,    5.69,   11.97
43.8512,10.66763,T2M,1985,    1.23,    4.17,    6.60,   10.66,   14.73,   19.08,   24.26,   23.08,   20.84,   14.63,    7.70,    7.11,   12.89
43.8512,10.66763,T2M,1986,    4.00,    2.02,    6.78,   10.39,   17.21,   18.81,   22.09,   23.35,   18.59,   14.93,    8.87,    4.46,   12.70
43.8512,10.66763,T2M,1987,    2.57,    4.23,    4.30,   11.16,   13.99,   19.09,   23.70,   23.21,   21.38,   14.80,    9.01,    6.03,   12.83
43.8512,10.66763,T2M,1988,    6.52,    5.53,    7.38,   11.35,   15.70,   18.14,   23.76,   23.67,   18.37,   15.96,    6.21,    4.90,   13.16
43.8512,10.66763,T2M,1989,    3.98,    6.82,   10.30,   11.16,   15.49,   19.05,   22.62,   22.98,   17.55,   13.11,    7.30,    5.55,   13.03
43.8512,10.66763,T2M,1990,    4.54,    8.13,    9.16,   10.28,   16.45,   19.95,   22.96,   22.68,   18.68,   15.43,    8.28,    2.86,   13.31
43.8512,10.66763,T2M,1991,    3.72,    2.85,    9.54,    9.36,   12.16,   18.51,   24.27,   24.35,   20.14,   12.36,    8.14,    2.54,   12.39
43.8512,10.66763,T2M,1992,    4.10,    5.19,    7.94,   10.95,   16.69,   18.13,   22.51,   24.61,   19.53,   13.74,   10.26,    5.21,   13.27
43.8512,10.66763,T2M,1993,    4.07,    3.66,    6.58,   11.01,   16.67,   21.17,   22.26,   24.68,   18.33,   13.69,    7.05,    6.38,   13.02
43.8512,10.66763,T2M,1994,    5.55,    4.39,   10.46,   10.42,   15.96,   19.82,   25.29,   25.62,   18.88,   13.27,   10.78,    6.61,   13.99
43.8512,10.66763,T2M,1995,    3.41,    7.04,    6.78,   10.61,   14.93,   18.01,   24.38,   22.02,   17.11,   15.10,    8.28,    5.79,   12.83
43.8512,10.66763,T2M,1996,    5.65,    3.12,    6.18,   11.58,   15.22,   20.41,   22.16,   22.18,   16.18,   13.07,    9.62,    5.20,   12.58
43.8512,10.66763,T2M,1997,    5.54,    6.59,    9.06,    9.28,   16.20,   19.79,   22.39,   23.24,   20.15,   14.23,    9.33,    6.23,   13.55
43.8512,10.66763,T2M,1998,    5.32,    6.31,    7.32,   11.10,   16.16,   21.00,   23.99,   24.27,   18.55,   13.67,    6.97,    3.54,   13.23
43.8512,10.66763,T2M,1999,    5.11,    3.90,    8.66,   11.58,   17.37,   20.82,   23.30,   23.78,   20.05,   14.87,    7.69,    5.06,   13.58
43.8512,10.66763,T2M,2000,    3.75,    6.15,    8.55,   11.95,   17.85,   21.56,   21.56,   24.15,   19.35,   14.76,   10.57,    7.50,   14.00
43.8512,10.66763,T2M,2001,    5.63,    5.70,   10.68,   10.25,   16.72,   20.24,   23.21,   24.69,   17.24,   16.76,    8.37,    3.19,   13.62
43.8512,10.66763,T2M,2002,    3.50,    7.33,    9.76,   11.76,   16.30,   22.47,   22.77,   21.98,   17.47,   14.54,   11.26,    6.46,   13.83
43.8512,10.66763,T2M,2003,    4.11,    1.88,    7.90,   10.43,   18.42,   24.75,   25.37,   26.69,   18.90,   13.10,   10.27,    5.61,   14.03
43.8512,10.66763,T2M,2004,    3.75,    5.64,    6.91,   11.04,   13.72,   19.96,   23.14,   23.43,   19.68,   16.18,    9.34,    6.25,   13.28
43.8512,10.66763,T2M,2005,    3.42,    1.93,    6.99,   10.55,   17.17,   21.61,   23.80,   21.95,   18.83,   14.18,    8.49,    4.01,   12.81
