LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.45699,10.14627,T2M,1981,    0.81,    2.52,    9.47,   12.49,   15.93,   21.31,   22.16,   22.96,   19.12,   13.33,    6.92,    2.27,   12.50
45.45699,10.14627,T2M,1982,    2.17,    2.73,    6.84,   11.20,   16.98,   22.50,   25.21,   22.87,   20.76,   13.23,    8.51,    4.82,   13.21
45.45699,10.14627,T2M,1983,    5.13,    1.53,    8.27,   11.86,   15.63,   20.62,   26.75,   23.49,   19.90,   14.20,    6.27,    3.17,   13.15
45.45699,10.14627,T2M,1984,    2.56,    2.66,    5.95,   10.74,   13.12,   19.02,   23.70,   21.77,   17.69,   13.32,    7.66,    4.10,   11.89
45.45699,10.14627,T2M,1985,   -2.07,    2.54,    6.26,   11.32,   15.66,   19.41,   24.69,   24.17,   21.83,   14.68,    5.39,    4.98,   12.46
45.45699,10.14627,T2M,1986,    1.67,    0.12,    6.21,   10.76,   18.55,   19.83,   22.41,   23.98,   19.39,   14.58,    7.97,    2.89,   12.44
45.45699,10.14627,T2M,1987,    0.22,    3.28,    4.33,   11.88,   14.88,   20.08,   24.73,   23.88,   22.35,   13.44,    8.06,    4.12,   12.65
45.45699,10.14627,T2M,1988,    4.43,    4.61,    7.55,   11.87,   16.51,   18.94,   24.53,   24.82,   19.82,   15.32,    4.61,    3.34,   13.07
45.45699,10.14627,T2M,1989,    2.98,    5.93,   10.69,   11.48,   16.98,   20.04,   23.16,   23.53,   18.09,   13.09,    6.11,    3.30,   12.99
45.45699,10.14627,T2M,1990,    2.77,    7.07,   10.39,   10.90,   17.98,   20.91,   24.32,   24.05,   19.41,   14.24,    7.05,    1.00,   13.38
45.45699,10.14627,T2M,1991,    2.31,    1.33,    9.88,   10.38,   13.53,   20.03,   25.84,   25.74,   21.07,   11.75,    6.57,    1.55,   12.57
45.45699,10.14627,T2M,1992,    2.47,    4.85,    8.31,   11.93,   18.33,   19.43,   23.73,   26.17,   19.70,   11.86,    8.37,    3.21,   13.22
45.45699,10.14627,T2M,1993,    3.04,    3.49,    7.22,   11.87,   18.04,   22.43,   23.24,   25.58,   18.26,   12.49,    5.62,    4.19,   13.01
45.45699,10.14627,T2M,1994,    4.37,    3.57,   10.89,   11.32,   16.95,   20.86,   26.08,   26.11,   18.37,   12.10,    9.63,    4.56,   13.80
45.45699,10.14627,T2M,1995,    1.64,    5.78,    6.53,   11.95,   16.19,   18.80,   25.27,   22.61,   16.91,   14.62,    6.69,    3.31,   12.57
45.45699,10.14627,T2M,1996,    2.99,    1.69,    5.52,   12.35,   16.47,   21.43,   22.62,   22.40,   15.73,   12.80,    8.06,    3.00,   12.12
45.45699,10.14627,T2M,1997,    2.88,    5.85,    9.75,   10.67,   17.31,   20.28,   22.81,   23.80,   21.01,   14.05,    7.80,    4.17,   13.41
45.45699,10.14627,T2M,1998,    3.11,    6.80,    7.90,   11.64,   17.45,   22.25,   25.31,   25.76,   18.56,   13.45,    5.72,    2.30,   13.39
45.45699,10.14627,T2M,1999,    3.76,    3.36,    8.75,   12.71,   18.37,   21.27,   24.41,   23.88,   20.66,   14.04,    6.21,    2.58,   13.39
