LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.965,-2.8093,T2M,1981,    4.07,    3.82,    8.62,    8.98,   11.92,   15.94,   17.22,   18.49,   16.66,   12.48,    9.20,    5.90,   11.15
42.965,-2.8093,T2M,1982,    5.79,    5.81,    6.52,    8.83,   12.85,   17.32,   19.38,   17.45,   16.73,   11.08,    7.63,    4.81,   11.21
42.965,-2.8093,T2M,1983,    4.54,    3.23,    7.55,    8.38,   10.87,   16.59,   20.31,   17.67,   17.38,   13.09,   10.26,    5.35,   11.31
42.965,-2.8093,T2M,1984,    4.56,    3.20,    4.53,   10.83,    8.62,   15.32,   19.26,   17.52,   14.87,   11.78,    8.23,    4.62,   10.29
42.965,-2.8093,T2M,1985,    0.52,    6.83,    5.13,    9.74,   10.91,   15.88,   19.52,   17.96,   18.47,   13.98,    5.32,    5.76,   10.85
42.965,-2.8093,T2M,1986,    4.37,    3.87,    6.86,    5.48,   13.87,   16.25,   18.29,   18.27,   17.05,   13.41,    7.33,    5.23,   10.91
42.965,-2.8093,T2M,1987,    2.40,    4.74,    7.35,   11.38,   11.69,   15.67,   18.30,   20.40,   20.11,   12.42,    7.81,    6.36,   11.58
42.965,-2.8093,T2M,1988,    6.18,    4.83,    6.74,    9.83,   13.07,   15.08,   17.77,   19.02,   16.86,   13.27,    8.28,    4.33,   11.29
42.965,-2.8093,T2M,1989,    4.00,    6.01,    9.00,    7.35,   15.32,   17.40,   20.77,   20.27,   16.27,   13.80,    9.54,    8.01,   12.36
42.965,-2.8093,T2M,1990,    4.62,    9.08,    8.36,    8.48,   15.27,   17.06,   21.25,   21.25,   18.71,   13.11,    7.19,    2.42,   12.25
42.965,-2.8093,T2M,1991,    3.36,    3.85,    8.18,    7.64,   10.79,   15.74,   19.74,   21.86,   18.72,    9.99,    7.15,    4.25,   10.98
42.965,-2.8093,T2M,1992,    2.14,    4.38,    6.66,    9.31,   15.00,   13.53,   19.43,   20.73,   15.91,    9.71,    9.61,    5.46,   11.01
42.965,-2.8093,T2M,1993,    5.07,    3.89,    7.11,    9.01,   13.06,   16.84,   17.32,   19.19,   14.43,    9.78,    6.47,    6.37,   10.76
42.965,-2.8093,T2M,1994,    4.36,    5.45,    9.62,    8.08,   13.74,   16.49,   20.83,   20.67,   14.70,   12.40,    9.54,    6.22,   11.89
42.965,-2.8093,T2M,1995,    5.22,    6.93,    6.98,    9.37,   14.00,   15.93,   20.71,   19.32,   14.09,   14.94,    8.93,    5.62,   11.87
42.965,-2.8093,T2M,1996,    6.06,    3.34,    6.94,    9.80,   12.62,   17.32,   19.00,   17.95,   14.73,   11.92,    8.04,    4.66,   11.06
42.965,-2.8093,T2M,1997,    4.27,    8.12,    9.85,   10.75,   14.35,   15.37,   16.71,   20.35,   17.61,   14.27,    8.15,    5.33,   12.12
42.965,-2.8093,T2M,1998,    5.00,    7.20,    8.66,    8.23,   12.81,   16.47,   18.19,   19.59,   16.78,   11.20,    6.78,    4.36,   11.30
42.965,-2.8093,T2M,1999,    3.88,    4.14,    7.39,    9.59,   14.52,   15.78,   19.14,   19.41,   17.52,   12.42,    5.57,    4.91,   11.24
42.965,-2.8093,T2M,2000,    2.29,    7.20,    7.29,    9.01,   14.62,   17.68,   18.31,   19.33,   17.52,   11.70,    6.95,    6.46,   11.54
42.965,-2.8093,T2M,2001,    5.49,    5.38,   10.01,    8.93,   13.08,   17.20,   18.22,   20.16,   14.82,   14.48,    5.38,    2.19,   11.32
42.965,-2.8093,T2M,2002,    5.45,    6.20,    8.42,    9.83,   12.44,   17.28,   18.09,   17.75,   16.29,   13.10,    8.33,    6.94,   11.71
42.965,-2.8093,T2M,2003,    3.80,    3.88,    9.38,   10.40,   13.36,   20.33,   20.03,   23.30,   17.06,   11.26,    8.72,    5.17,   12.27
42.965,-2.8093,T2M,2004,    5.74,    4.45,    5.76,    8.26,   12.17,   18.08,   18.48,   19.73,   17.29,   13.52,    7.07,    4.96,   11.31
42.965,-2.8093,T2M,2005,    3.78,    2.01,    7.40,   10.33,   14.37,   19.47,   19.84,   18.98,   16.40,   13.86,    6.57,    3.37,   11.42
42.965,-2.8093,T2M,2006,    3.22,    3.21,    8.73,   10.46,   14.54,   18.50,   22.00,   17.71,   18.63,   15.23,   10.25,    4.54,   12.30
42.965,-2.8093,T2M,2007,    4.77,    7.14,    6.58,   11.18,   13.03,   16.44,   18.29,   17.78,   15.27,   11.92,    5.74,    4.16,   11.04
42.965,-2.8093,T2M,2008,    5.87,    7.25,    7.07,    9.96,   13.14,   15.76,   18.02,   18.56,   15.43,   11.27,    6.21,    4.35,   11.09
42.965,-2.8093,T2M,2009,    3.39,    4.38,    6.92,    8.55,   14.01,   17.57,   19.30,   19.83,   16.26,   13.34,    8.86,    3.95,   11.40
42.965,-2.8093,T2M,2010,    3.04,    3.53,    6.28,   10.74,   11.48,   15.37,   19.43,   18.85,   16.34,   11.66,    6.58,    3.32,   10.59
42.965,-2.8093,T2M,2011,    4.03,    6.12,    7.34,   12.52,   14.86,   16.05,   16.88,   19.81,   18.33,   13.60,    9.87,    5.96,   12.14
42.965,-2.8093,T2M,2012,    5.02,    1.96,    8.56,    7.67,   14.22,   17.98,   18.13,   21.04,   17.01,   12.78,    7.52,    5.57,   11.50
42.965,-2.8093,T2M,2013,    4.94,    3.87,    7.00,    8.78,    9.54,   14.08,   20.19,   18.10,   16.77,   13.61,    7.08,    4.82,   10.78
42.965,-2.8093,T2M,2014,    6.08,    5.17,    7.89,   11.76,   11.85,   16.89,   17.86,   18.40,   18.37,   15.87,    9.37,    5.13,   12.09
42.965,-2.8093,T2M,2015,    4.07,    3.04,    7.11,   10.88,   13.89,   17.62,   20.60,   19.81,   14.98,   12.77,   10.22,    7.67,   11.94
42.965,-2.8093,T2M,2016,    6.64,    5.81,    5.91,    8.52,   12.99,   16.43,   19.29,   20.13,   18.20,   13.40,    7.59,    6.58,   11.81
42.965,-2.8093,T2M,2017,    3.03,    7.21,    9.20,   10.63,   15.60,   19.40,   19.73,   19.89,   15.72,   14.81,    7.58,    4.74,   12.32
42.965,-2.8093,T2M,2018,    5.16,    2.89,    6.28,   10.89,   12.43,   16.69,   19.72,   19.78,   18.49,   11.94,    8.11,    6.94,   11.66
42.965,-2.8093,T2M,2019,    3.56,    7.11,    8.28,    9.60,   11.98,   17.60,   20.46,   20.37,   16.97,   14.01,    7.63,    7.17,   12.09
42.965,-2.8093,RH2M,1981,   87.61,   79.95,   75.49,   77.73,   69.99,   69.38,   70.27,   68.94,   66.96,   75.40,   73.89,   85.77,   75.11
42.965,-2.8093,RH2M,1982,   87.90,   81.61,   77.54,   74.70,   71.49,   67.81,   63.83,   68.79,   66.08,   79.11,   81.41,   88.66,   75.73
42.965,-2.8093,RH2M,1983,   79.74,   83.22,   79.30,   72.60,   72.96,   68.49,   68.84,   75.74,   66.76,   70.93,   83.84,   78.07,   75.00
42.965,-2.8093,RH2M,1984,   85.66,   84.04,   77.24,   71.91,   77.95,   72.57,   60.94,   67.70,   70.17,   75.22,   84.12,   87.59,   76.23
42.965,-2.8093,RH2M,1985,   88.24,   79.34,   79.97,   74.63,   79.45,   73.20,   69.44,   65.76,   60.78,   67.22,   82.69,   78.86,   74.95
42.965,-2.8093,RH2M,1986,   87.43,   82.96,   76.84,   78.35,   69.77,   67.29,   65.32,   61.07,   70.01,   76.03,   80.12,   84.52,   74.92
42.965,-2.8093,RH2M,1987,   86.52,   85.10,   76.05,   70.57,   68.22,   66.59,   70.69,   60.84,   57.02,   72.40,   85.81,   85.16,   73.69
