LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
36.8909,15.07066,T2M,1981,   11.06,   11.65,   13.96,   16.12,   18.72,   23.35,   25.02,   26.16,   24.45,   21.79,   15.88,   14.56,   18.60
36.8909,15.07066,T2M,1982,   13.67,   12.29,   12.78,   15.25,   18.58,   23.62,   26.80,   26.60,   25.10,   21.57,   17.34,   13.64,   18.98
36.8909,15.07066,T2M,1983,   12.57,   11.67,   13.52,   15.58,   19.01,   22.17,   26.29,   26.02,   23.82,   20.39,   17.46,   13.61,   18.55
36.8909,15.07066,T2M,1984,   12.81,   11.95,   12.89,   15.00,   18.22,   21.77,   25.23,   25.30,   23.14,   20.41,   17.87,   14.41,   18.27
36.8909,15.07066,T2M,1985,   12.26,   12.76,   13.45,   15.65,   18.85,   23.25,   26.00,   26.40,   24.17,   20.80,   17.82,   14.82,   18.89
36.8909,15.07066,T2M,1986,   12.83,   12.45,   13.67,   15.15,   19.53,   22.63,   25.15,   27.29,   24.65,   21.46,   17.03,   13.44,   18.81
36.8909,15.07066,T2M,1987,   12.31,   12.64,   11.32,   14.90,   17.08,   21.82,   26.73,   26.57,   26.07,   22.28,   17.66,   14.96,   18.73
36.8909,15.07066,T2M,1988,   13.96,   13.02,   13.67,   16.33,   19.66,   23.01,   27.45,   27.40,   23.90,   21.43,   16.39,   13.06,   19.13
36.8909,15.07066,T2M,1989,   12.46,   12.90,   14.33,   15.68,   17.85,   21.95,   25.54,   26.23,   24.17,   19.50,   17.25,   15.29,   18.63
36.8909,15.07066,T2M,1990,   13.33,   14.36,   14.75,   15.75,   18.95,   23.04,   25.89,   26.14,   24.44,   22.53,   18.15,   13.55,   19.27
36.8909,15.07066,T2M,1991,   12.73,   12.46,   14.83,   14.94,   16.73,   21.78,   25.28,   26.39,   24.48,   21.48,   16.92,   11.81,   18.35
36.8909,15.07066,T2M,1992,   12.69,   11.77,   13.11,   15.13,   17.60,   21.25,   24.12,   26.95,   24.09,   21.59,   18.03,   14.44,   18.42
36.8909,15.07066,T2M,1993,   12.39,   11.46,   12.66,   15.44,   19.09,   22.87,   25.34,   27.08,   24.38,   21.43,   17.47,   14.61,   18.73
36.8909,15.07066,T2M,1994,   13.43,   13.16,   14.51,   15.16,   19.37,   22.54,   26.28,   28.22,   25.12,   21.64,   18.22,   14.60,   19.39
36.8909,15.07066,T2M,1995,   12.12,   13.89,   13.14,   14.43,   18.30,   22.44,   26.20,   26.55,   22.99,   20.25,   16.11,   15.23,   18.50
36.8909,15.07066,T2M,1996,   13.84,   12.50,   13.00,   14.76,   18.15,   21.84,   24.69,   26.35,   22.60,   18.80,   16.75,   14.62,   18.18
