LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.94389,13.70079,T2M,1981,    2.03,    3.81,    9.26,   11.42,   15.57,   20.22,   21.71,   22.51,   19.21,   15.34,    8.00,    6.29,   13.00
42.94389,13.70079,T2M,1982,    6.08,    4.44,    6.85,   10.12,   15.97,   22.41,   24.29,   22.53,   20.74,   14.47,   10.48,    7.16,   13.85
42.94389,13.70079,T2M,1983,    6.48,    3.56,    8.22,   11.70,   16.39,   19.06,   24.68,   22.07,   19.21,   14.21,    8.98,    6.06,   13.45
42.94389,13.70079,T2M,1984,    5.38,    4.30,    6.01,    9.71,   13.61,   18.82,   23.09,   21.15,   18.33,   14.16,   11.03,    7.00,   12.74
42.94389,13.70079,T2M,1985,    2.99,    4.70,    7.12,   11.02,   15.91,   19.77,   24.26,   23.72,   20.74,   14.78,    8.84,    7.89,   13.53
42.94389,13.70079,T2M,1986,    5.05,    3.49,    7.42,   10.94,   17.62,   18.13,   21.38,   23.80,   18.85,   15.03,    9.44,    5.28,   13.10
42.94389,13.70079,T2M,1987,    3.80,    5.22,    3.66,   10.67,   13.88,   19.27,   23.88,   23.12,   22.19,   15.73,    9.79,    7.27,   13.25
42.94389,13.70079,T2M,1988,    7.06,    5.66,    7.32,   11.30,   16.01,   19.19,   24.97,   24.23,   18.92,   16.17,    6.98,    5.37,   13.64
42.94389,13.70079,T2M,1989,    5.24,    7.10,   10.13,   11.45,   14.86,   18.22,   22.10,   22.36,   18.32,   12.70,    8.05,    6.74,   13.15
42.94389,13.70079,T2M,1990,    5.76,    8.21,    9.97,   10.33,   16.19,   20.20,   23.10,   22.35,   18.61,   15.88,    9.64,    4.61,   13.77
42.94389,13.70079,T2M,1991,    5.07,    4.05,    9.35,    8.94,   11.60,   19.16,   22.96,   23.15,   19.83,   13.01,    8.98,    3.76,   12.54
42.94389,13.70079,T2M,1992,    4.92,    5.37,    7.83,   10.87,   15.48,   18.07,   21.49,   25.21,   20.03,   14.91,   11.35,    6.81,   13.56
42.94389,13.70079,T2M,1993,    4.94,    4.22,    6.62,   11.20,   17.07,   21.23,   22.91,   24.89,   18.84,   15.19,    8.80,    7.46,   13.68
42.94389,13.70079,T2M,1994,    6.21,    5.21,   10.51,   10.14,   16.35,   20.14,   24.24,   25.96,   20.70,   14.27,   10.96,    7.34,   14.40
42.94389,13.70079,T2M,1995,    4.28,    7.46,    6.65,   10.38,   15.08,   18.75,   24.03,   21.06,   17.10,   15.01,    8.11,    7.78,   13.01
42.94389,13.70079,T2M,1996,    6.57,    3.90,    6.11,   11.11,   15.60,   20.24,   21.56,   22.02,   15.64,   12.83,    9.98,    6.30,   12.68
42.94389,13.70079,T2M,1997,    6.85,    6.36,    8.29,    7.87,   16.10,   21.01,   22.43,   22.13,   20.20,   14.21,    9.92,    6.92,   13.57
42.94389,13.70079,T2M,1998,    5.95,    7.34,    6.59,   11.44,   15.37,   21.83,   24.98,   24.38,   18.36,   14.14,    8.08,    5.05,   13.66
42.94389,13.70079,T2M,1999,    5.48,    3.82,    7.62,   10.99,   16.87,   20.52,   21.82,   23.79,   19.69,   15.12,    9.02,    5.87,   13.44
42.94389,13.70079,T2M,2000,    4.39,    5.86,    7.94,   12.24,   17.85,   21.40,   22.19,   24.36,   18.89,   14.87,   11.18,    8.26,   14.14
42.94389,13.70079,T2M,2001,    6.80,    5.96,   11.01,   10.35,   16.61,   19.68,   23.65,   24.87,   17.71,   16.83,    9.05,    3.50,   13.90
42.94389,13.70079,T2M,2002,    3.65,    7.60,    9.55,   11.45,   16.60,   22.17,   22.95,   22.13,   17.46,   14.59,   11.53,    7.63,   13.97
42.94389,13.70079,T2M,2003,    5.48,    2.64,    7.83,   10.34,   18.25,   24.46,   25.58,   26.49,   18.23,   13.86,   10.96,    6.70,   14.31
42.94389,13.70079,T2M,2004,    4.39,    6.08,    7.12,   11.01,   13.50,   19.81,   23.59,   23.79,   19.34,   16.87,   10.12,    8.08,   13.67
42.94389,13.70079,T2M,2005,    4.04,    2.56,    7.30,   10.77,   16.59,   20.35,   23.81,   21.31,   18.92,   14.24,    9.27,    5.27,   12.93
42.94389,13.70079,T2M,2006,    4.02,    5.05,    6.67,   12.00,   16.27,   20.26,   23.82,   21.84,   19.76,   15.80,   10.36,    7.55,   13.67
42.94389,13.70079,T2M,2007,    7.71,    7.76,    9.08,   13.63,   17.51,   21.74,   25.45,   23.58,   17.62,   13.53,    7.87,    5.49,   14.29
42.94389,13.70079,T2M,2008,    6.44,    6.11,    8.43,   11.34,   16.10,   21.02,   24.36,   24.97,   18.38,   15.36,   10.30,    6.40,   14.13
42.94389,13.70079,T2M,2009,    5.52,    4.57,    7.77,   12.03,   17.99,   19.53,   24.05,   24.83,   19.82,   13.51,   10.24,    6.52,   13.92
42.94389,13.70079,T2M,2010,    4.58,    5.62,    7.83,   11.20,   14.98,   19.87,   24.39,   23.55,   18.39,   13.38,   10.35,    5.32,   13.33
42.94389,13.70079,T2M,2011,    5.29,    5.81,    7.61,   12.35,   15.90,   20.85,   22.94,   25.12,   22.46,   14.17,   10.08,    7.35,   14.20
42.94389,13.70079,T2M,2012,    5.18,    2.63,   10.14,   11.51,   15.80,   23.45,   26.00,   25.78,   19.39,   15.74,   11.91,    5.51,   14.46
42.94389,13.70079,T2M,2013,    5.62,    4.25,    7.66,   12.53,   14.77,   19.65,   23.72,   24.52,   20.05,   16.20,   10.77,    7.14,   13.97
42.94389,13.70079,T2M,2014,    7.38,    8.38,    9.06,   11.80,   14.69,   20.04,   21.53,   23.07,   18.55,   15.99,   12.27,    7.04,   14.18
42.94389,13.70079,T2M,2015,    5.80,    5.40,    7.79,   11.08,   16.63,   20.63,   26.58,   24.19,   19.82,   14.35,   10.72,    7.75,   14.29
42.94389,13.70079,T2M,2016,    6.31,    8.19,    8.18,   12.94,   14.91,   20.11,   24.50,   22.73,   19.31,   14.12,   10.31,    7.05,   14.07
42.94389,13.70079,T2M,2017,    2.69,    7.31,    9.41,   11.76,   16.36,   23.27,   25.10,   26.47,   18.62,   15.21,    9.84,    5.72,   14.35
42.94389,13.70079,T2M,2018,    7.27,    4.13,    7.29,   14.11,   17.57,   21.07,   24.57,   24.53,   20.57,   15.76,   10.83,    6.56,   14.58
42.94389,13.70079,T2M,2019,    3.50,    6.34,    9.36,   11.58,   13.12,   23.12,   24.86,   25.57,   20.42,   16.54,   11.84,    7.78,   14.54
42.94389,13.70079,RH2M,1981,   79.08,   80.25,   79.24,   73.52,   63.42,   61.27,   56.36,   56.55,   67.54,   68.77,   68.98,   80.30,   69.54
42.94389,13.70079,RH2M,1982,   80.01,   76.62,   73.27,   71.37,   65.56,   52.42,   51.83,   58.50,   65.16,   74.23,   79.72,   83.14,   69.28
42.94389,13.70079,RH2M,1983,   74.54,   76.10,   76.61,   71.09,   61.20,   60.99,   51.32,   59.51,   62.20,   68.62,   78.54,   78.42,   68.20
42.94389,13.70079,RH2M,1984,   74.58,   79.17,   78.01,   76.04,   73.23,   57.24,   47.66,   57.82,   61.00,   77.46,   80.30,   83.70,   70.49
42.94389,13.70079,RH2M,1985,   82.73,   78.43,   80.44,   72.14,   70.28,   58.05,   47.95,   48.36,   55.31,   68.27,   82.80,   80.91,   68.75
42.94389,13.70079,RH2M,1986,   79.32,   85.59,   82.87,   75.17,   71.73,   70.21,   63.90,   53.99,   61.39,   68.74,   81.99,   76.34,   72.50
42.94389,13.70079,RH2M,1987,   81.52,   82.95,   73.45,   70.30,   64.67,   57.87,   56.48,   56.53,   60.74,   75.23,   80.06,   83.06,   70.17
42.94389,13.70079,RH2M,1988,   84.45,   76.69,   72.19,   74.96,   73.98,   65.30,   52.37,   50.97,   61.31,   74.44,   78.34,   77.82,   70.20
42.94389,13.70079,RH2M,1989,   76.70,   75.14,   71.02,   71.68,   66.10,   64.35,   65.72,   61.63,   71.77,   73.51,   79.52,   82.72,   71.63
42.94389,13.70079,RH2M,1990,   81.19,   77.62,   68.89,   72.89,   68.28,   59.48,   52.33,   56.11,   63.34,   76.93,   79.45,   84.83,   70.07
42.94389,13.70079,RH2M,1991,   81.76,   81.96,   81.75,   76.27,   73.90,   66.38,   59.51,   57.44,   67.16,   76.75,   83.33,   77.69,   73.59
42.94389,13.70079,RH2M,1992,   84.61,   78.97,   75.28,   77.03,   72.05,   71.42,   65.04,   55.67,   60.40,   77.83,   81.41,   83.84,   73.61
42.94389,13.70079,RH2M,1993,   81.59,   74.76,   73.26,   73.58,   67.79,   59.55,   51.20,   49.56,   64.86,   76.00,   85.13,   82.97,   69.97
42.94389,13.70079,RH2M,1994,   82.67,   85.80,   73.32,   76.86,   66.64,   61.90,   58.47,   50.37,   63.69,   73.97,   81.50,   81.62,   71.29
