LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.42385,15.00696,T2M,1981,    5.67,    6.97,   11.01,   13.38,   16.34,   21.60,   22.75,   23.93,   21.14,   18.04,   10.92,    9.84,   15.18
40.42385,15.00696,T2M,1982,    9.48,    7.37,    9.05,   12.16,   16.76,   22.03,   24.93,   24.07,   22.80,   17.42,   13.43,   10.19,   15.86
40.42385,15.00696,T2M,1983,    8.74,    6.92,   10.10,   13.30,   17.25,   20.31,   25.28,   23.98,   21.05,   16.55,   12.49,    9.49,   15.51
40.42385,15.00696,T2M,1984,    8.77,    7.64,    8.76,   11.58,   15.69,   19.29,   23.50,   22.80,   19.93,   17.28,   14.11,   10.10,   14.98
40.42385,15.00696,T2M,1985,    6.96,    7.98,    9.79,   12.65,   17.04,   20.67,   24.76,   24.27,   22.26,   17.22,   13.33,   10.97,   15.71
40.42385,15.00696,T2M,1986,    8.64,    7.84,   10.51,   13.04,   18.45,   19.89,   23.66,   25.33,   21.71,   18.12,   13.09,    8.75,   15.80
40.42385,15.00696,T2M,1987,    7.94,    8.59,    6.56,   12.35,   14.69,   20.66,   25.10,   24.76,   23.92,   18.57,   13.21,   10.64,   15.62
40.42385,15.00696,T2M,1988,   10.34,    8.53,    9.53,   13.13,   17.76,   20.81,   26.50,   25.56,   20.52,   18.14,   10.63,    8.38,   15.86
40.42385,15.00696,T2M,1989,    8.31,    9.32,   12.05,   13.27,   16.05,   19.30,   23.98,   24.10,   20.66,   15.69,   11.92,    9.82,   15.41
40.42385,15.00696,T2M,1990,    8.80,   11.00,   11.82,   12.54,   17.13,   21.13,   24.23,   23.63,   20.56,   19.04,   13.13,    8.25,   15.97
40.42385,15.00696,T2M,1991,    7.79,    7.31,   11.88,   11.14,   13.57,   20.35,   23.71,   24.45,   21.97,   16.91,   12.63,    6.10,   14.86
40.42385,15.00696,T2M,1992,    8.06,    7.78,   10.29,   12.72,   17.31,   20.02,   23.12,   25.76,   21.64,   17.80,   14.23,    9.89,   15.74
40.42385,15.00696,T2M,1993,    7.96,    6.66,    8.98,   12.75,   17.73,   21.81,   23.57,   25.92,   21.48,   18.49,   12.67,   11.11,   15.82
40.42385,15.00696,T2M,1994,    9.48,    8.79,   11.71,   12.19,   17.72,   21.03,   25.05,   26.59,   22.76,   17.67,   13.99,   10.16,   16.48
40.42385,15.00696,T2M,1995,    7.62,   10.14,    9.00,   11.78,   16.20,   20.35,   24.79,   23.58,   19.69,   17.35,   10.97,   11.21,   15.26
40.42385,15.00696,T2M,1996,    9.55,    7.36,    8.80,   12.45,   16.59,   21.04,   23.09,   24.62,   18.77,   15.38,   13.31,   10.10,   15.12
40.42385,15.00696,T2M,1997,   10.26,    9.11,   10.14,   10.17,   17.65,   22.34,   23.57,   23.58,   21.74,   16.90,   13.56,   10.03,   15.80
40.42385,15.00696,T2M,1998,    9.18,    9.76,    8.77,   12.97,   16.61,   22.26,   25.19,   25.65,   20.55,   17.04,   11.59,    8.14,   15.68
40.42385,15.00696,T2M,1999,    8.59,    7.21,   10.32,   12.64,   18.41,   22.07,   23.73,   25.49,   21.91,   18.19,   13.17,   10.21,   16.05
40.42385,15.00696,T2M,2000,    6.92,    8.23,   10.08,   13.63,   18.80,   22.12,   23.51,   25.55,   20.81,   17.44,   14.32,   11.58,   16.11
40.42385,15.00696,T2M,2001,   10.10,    8.86,   12.64,   12.31,   18.10,   21.22,   24.38,   25.08,   20.37,   19.27,   12.81,    6.93,   16.06
40.42385,15.00696,T2M,2002,    7.15,   10.30,   11.89,   13.09,   17.31,   22.88,   23.94,   23.31,   19.82,   16.82,   14.49,   10.76,   16.01
40.42385,15.00696,T2M,2003,    9.30,    5.86,    9.55,   12.57,   19.67,   24.59,   25.85,   26.61,   20.77,   17.38,   14.10,    9.70,   16.40
40.42385,15.00696,T2M,2004,    7.51,    8.40,    9.47,   12.99,   14.86,   20.58,   24.29,   24.15,   21.21,   19.02,   13.29,   11.55,   15.63
40.42385,15.00696,T2M,2005,    7.33,    6.14,    9.67,   12.31,   17.73,   21.39,   24.37,   23.10,   20.97,   16.85,   12.91,    9.02,   15.20
40.42385,15.00696,T2M,2006,    6.97,    7.71,    9.24,   13.55,   17.80,   21.25,   24.88,   23.45,   21.29,   18.21,   13.00,   10.81,   15.73
40.42385,15.00696,T2M,2007,   10.01,   10.10,   11.08,   14.58,   17.57,   21.73,   24.94,   24.88,   19.97,   16.87,   11.95,    8.58,   16.06
40.42385,15.00696,T2M,2008,    9.22,    8.35,   10.60,   12.85,   17.61,   21.86,   24.51,   25.43,   20.53,   17.71,   13.86,    9.81,   16.06
40.42385,15.00696,T2M,2009,    9.39,    7.01,    9.67,   13.50,   18.80,   21.12,   24.65,   26.11,   21.72,   16.15,   13.43,   10.43,   16.06
40.42385,15.00696,T2M,2010,    8.04,    8.65,   10.09,   13.40,   16.26,   20.63,   24.60,   24.41,   20.19,   16.52,   13.92,    9.02,   15.52
40.42385,15.00696,T2M,2011,    8.69,    8.39,    9.70,   13.36,   16.63,   21.31,   23.63,   25.16,   23.27,   16.76,   13.44,   10.43,   15.94
40.42385,15.00696,T2M,2012,    7.63,    6.79,   11.44,   13.06,   16.63,   23.13,   25.54,   26.49,   21.82,   18.71,   14.99,    9.38,   16.33
40.42385,15.00696,T2M,2013,    8.95,    7.58,   10.42,   14.17,   16.94,   20.45,   24.06,   25.27,   21.31,   18.84,   13.72,   10.42,   16.06
40.42385,15.00696,T2M,2014,   10.12,   10.61,   10.58,   12.74,   15.95,   21.29,   22.73,   23.96,   20.96,   18.19,   15.06,   10.22,   16.06
40.42385,15.00696,T2M,2015,    8.60,    7.92,   10.13,   12.63,   17.61,   21.48,   26.42,   25.55,   22.00,   17.33,   13.92,   10.68,   16.24
40.42385,15.00696,T2M,2016,    9.28,   10.87,   10.41,   14.63,   16.27,   20.81,   24.78,   23.79,   20.74,   17.48,   13.61,    9.42,   16.02
