LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.76319,9.47184,T2M,1981,   -1.51,    0.71,    7.14,   10.45,   13.46,   18.27,   18.78,   19.94,   16.12,   10.20,    4.70,   -1.18,    9.80
45.76319,9.47184,T2M,1982,    0.01,    0.11,    3.97,    8.83,   14.41,   19.13,   21.58,   19.49,   17.84,   10.46,    6.34,    1.78,   10.38
45.76319,9.47184,T2M,1983,    3.01,   -0.85,    5.98,    9.03,   12.90,   17.87,   23.18,   19.55,   16.74,   11.84,    4.71,    0.80,   10.47
45.76319,9.47184,T2M,1984,   -0.69,   -0.33,    3.57,    8.32,   10.49,   16.74,   20.02,   18.80,   14.67,   11.37,    5.96,    1.81,    9.26
45.76319,9.47184,T2M,1985,   -4.75,    0.25,    3.58,    9.18,   13.40,   16.70,   21.25,   19.90,   18.29,   12.12,    2.56,    2.85,    9.67
45.76319,9.47184,T2M,1986,   -1.33,   -2.65,    4.32,    7.85,   16.08,   17.69,   19.52,   20.09,   16.61,   12.29,    6.04,    1.14,    9.88
45.76319,9.47184,T2M,1987,   -1.96,    1.10,    2.24,    9.67,   12.46,   17.02,   21.16,   20.51,   19.51,   11.02,    5.74,    2.80,   10.15
45.76319,9.47184,T2M,1988,    1.80,    1.51,    4.72,    9.84,   14.26,   16.63,   21.00,   20.85,   16.61,   12.72,    3.07,    1.06,   10.37
45.76319,9.47184,T2M,1989,    2.15,    4.26,    8.33,    8.49,   14.62,   17.12,   20.43,   20.15,   15.75,   11.24,    4.58,    1.84,   10.79
45.76319,9.47184,T2M,1990,    1.38,    5.27,    8.58,    8.30,   15.51,   17.91,   21.50,   21.09,   16.36,   12.00,    4.41,   -2.07,   10.89
45.76319,9.47184,T2M,1991,    0.15,   -1.16,    7.95,    8.35,   11.49,   17.42,   22.71,   22.72,   18.20,    9.43,    4.41,   -0.05,   10.21
45.76319,9.47184,T2M,1992,    0.55,    2.97,    6.31,    9.33,   15.76,   16.43,   20.54,   22.73,   16.46,    9.13,    6.39,    1.14,   10.67
45.76319,9.47184,T2M,1993,    1.69,    2.07,    4.94,    9.73,   15.45,   18.93,   19.48,   21.65,   14.99,   10.30,    3.73,    1.94,   10.46
45.76319,9.47184,T2M,1994,    1.46,    1.19,    8.88,    8.65,   14.60,   18.33,   22.73,   22.19,   15.65,   10.22,    8.03,    2.79,   11.29
45.76319,9.47184,T2M,1995,   -1.29,    3.61,    3.98,    9.65,   13.86,   16.53,   22.16,   19.28,   13.79,   12.90,    4.21,    0.88,   10.00
45.76319,9.47184,T2M,1996,    0.86,   -0.71,    3.65,   10.28,   14.08,   18.87,   19.11,   18.97,   12.94,   10.51,    5.17,    0.86,    9.58
45.76319,9.47184,T2M,1997,    0.84,    3.76,    7.94,    8.66,   14.79,   17.25,   19.23,   20.48,   17.96,   11.23,    5.39,    1.39,   10.78
45.76319,9.47184,T2M,1998,    0.32,    4.76,    5.70,    8.72,   15.02,   19.12,   21.62,   21.99,   15.42,   10.89,    3.21,    0.37,   10.63
45.76319,9.47184,T2M,1999,    1.40,    0.72,    6.25,   10.00,   15.99,   18.13,   21.13,   20.35,   17.56,   11.55,    3.95,   -0.52,   10.60
45.76319,9.47184,T2M,2000,   -0.69,    3.37,    6.47,   10.23,   16.05,   19.44,   18.81,   21.05,   16.52,   11.88,    5.54,    2.82,   10.98
45.76319,9.47184,T2M,2001,   -0.05,    2.79,    6.95,    8.30,   16.11,   17.65,   20.55,   21.61,   13.49,   13.99,    4.94,   -0.59,   10.53
45.76319,9.47184,T2M,2002,    0.40,    3.95,    7.86,    9.61,   14.47,   20.17,   20.10,   19.28,   15.10,   11.32,    7.29,    2.66,   11.05
45.76319,9.47184,T2M,2003,    0.22,   -0.71,    6.94,    9.12,   16.58,   22.72,   22.26,   24.66,   16.29,    8.89,    6.29,    2.06,   11.35
45.76319,9.47184,T2M,2004,   -1.20,    1.65,    4.81,    9.77,   13.03,   18.96,   20.85,   20.84,   17.27,   12.67,    6.07,    2.15,   10.59
45.76319,9.47184,T2M,2005,   -0.28,   -0.73,    5.46,    9.44,   15.73,   20.34,   21.66,   19.43,   17.07,   11.16,    4.78,   -1.79,   10.25
45.76319,9.47184,T2M,2006,   -1.74,    0.73,    4.09,   10.47,   15.07,   19.79,   23.96,   18.38,   18.38,   13.33,    7.37,    3.42,   11.16
45.76319,9.47184,T2M,2007,    3.43,    4.61,    7.13,   14.08,   15.98,   18.75,   21.34,   19.83,   15.26,   11.26,    4.35,    1.42,   11.49
45.76319,9.47184,T2M,2008,    1.91,    3.48,    5.99,    9.06,   14.98,   19.06,   20.61,   21.00,   15.28,   12.48,    5.85,    0.22,   10.85
45.76319,9.47184,T2M,2009,   -1.00,    0.42,    5.39,   11.40,   16.91,   18.58,   21.10,   22.43,   17.91,   11.08,    6.55,   -0.40,   10.92
45.76319,9.47184,T2M,2010,   -2.25,    0.22,    4.58,   10.14,   13.60,   18.47,   22.32,   19.47,   15.40,    9.66,    5.43,   -2.37,    9.60
45.76319,9.47184,T2M,2011,   -0.41,    3.36,    6.29,   12.64,   16.13,   18.57,   19.30,   21.78,   19.11,   11.27,    6.72,    2.27,   11.46
45.76319,9.47184,T2M,2012,    0.54,   -1.19,    9.22,    9.05,   14.78,   20.11,   22.06,   23.14,   16.91,   11.88,    6.89,   -0.09,   11.15
45.76319,9.47184,T2M,2013,    0.54,   -0.10,    3.85,   10.35,   12.77,   17.87,   21.75,   20.88,   16.90,   12.07,    5.79,    2.83,   10.52
45.76319,9.47184,T2M,2014,    2.11,    3.22,    7.65,   11.62,   14.00,   18.96,   19.39,   18.62,   16.43,   13.01,    8.58,    3.27,   11.44
45.76319,9.47184,T2M,2015,    1.28,    1.01,    6.58,   10.62,   15.65,   19.67,   23.90,   21.64,   15.63,   11.34,    8.13,    4.86,   11.76
45.76319,9.47184,T2M,2016,    1.45,    3.85,    5.92,   11.19,   13.83,   18.40,   21.86,   20.68,   18.65,   10.68,    5.65,    3.32,   11.31
45.76319,9.47184,T2M,2017,   -1.32,    3.96,    9.15,   11.16,   15.54,   21.22,   22.26,   23.00,   15.23,   12.72,    5.49,    0.10,   11.59
45.76319,9.47184,T2M,2018,    2.84,    0.24,    4.28,   12.77,   16.01,   19.85,   22.51,   22.46,   18.67,   13.45,    7.25,    2.29,   11.95
45.76319,9.47184,T2M,2019,   -0.12,    4.26,    7.97,   10.22,   12.34,   21.71,   23.23,   22.18,   17.70,   13.24,    6.21,    3.33,   11.90
45.76319,9.47184,RH2M,1981,   64.37,   72.13,   74.78,   72.06,   71.30,   67.39,   70.19,   67.10,   79.66,   78.09,   67.86,   77.07,   71.83
45.76319,9.47184,RH2M,1982,   77.36,   75.60,   70.25,   66.56,   68.55,   67.32,   66.08,   69.87,   74.37,   78.28,   83.07,   77.40,   72.87
45.76319,9.47184,RH2M,1983,   67.73,   74.65,   72.88,   75.79,   75.98,   71.21,   64.55,   68.25,   67.91,   67.81,   70.05,   71.80,   70.68
45.76319,9.47184,RH2M,1984,   72.32,   71.65,   69.09,   69.40,   79.13,   72.46,   62.26,   70.98,   70.74,   79.02,   80.35,   79.75,   73.10
45.76319,9.47184,RH2M,1985,   79.03,   78.26,   79.53,   71.32,   76.28,   71.73,   68.63,   65.36,   65.36,   69.58,   79.78,   79.53,   73.68
45.76319,9.47184,RH2M,1986,   76.93,   81.36,   76.33,   80.95,   74.79,   71.19,   69.08,   67.70,   69.74,   67.97,   75.63,   69.36,   73.34
